




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	low.genes.gt3.lt10.txt (Oryza sativa)
Reference List:	BACKGROUND.txt (Oryza sativa)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	BACKGROUND.txt - REFLIST (27264)	low.genes.gt3.lt10.txt (8209)	low.genes.gt3.lt10.txt (expected)	low.genes.gt3.lt10.txt (over/under)	low.genes.gt3.lt10.txt (fold Enrichment)	low.genes.gt3.lt10.txt (raw P-value)	low.genes.gt3.lt10.txt (FDR)
cell cycle process (GO:0022402)	139	26	41.85	-	.62	2.88E-03	1.55E-02
rRNA processing (GO:0006364)	99	18	29.81	-	.60	8.31E-03	3.74E-02
protein dephosphorylation (GO:0006470)	96	17	28.90	-	.59	7.22E-03	3.42E-02
regulation of cell cycle (GO:0051726)	78	13	23.49	-	.55	9.03E-03	4.05E-02
cell cycle (GO:0007049)	160	26	48.17	-	.54	6.33E-05	6.77E-04
mitotic cell cycle (GO:0000278)	113	16	34.02	-	.47	1.20E-04	1.13E-03
methylation (GO:0032259)	100	14	30.11	-	.46	2.67E-04	2.12E-03
phosphorylation (GO:0016310)	468	60	140.91	-	.43	1.07E-18	4.63E-16
RNA modification (GO:0009451)	172	22	51.79	-	.42	1.53E-07	3.25E-06
protein phosphorylation (GO:0006468)	448	51	134.89	-	.38	2.92E-21	3.78E-18
secondary metabolic process (GO:0019748)	62	7	18.67	-	.37	7.36E-04	5.15E-03
chromosome segregation (GO:0007059)	38	4	11.44	-	.35	7.16E-03	3.40E-02
glutathione metabolic process (GO:0006749)	65	5	19.57	-	.26	1.76E-05	2.28E-04
phytosteroid metabolic process (GO:0016128)	21	1	6.32	-	.16	7.94E-03	3.74E-02
negative regulation of gene expression, epigenetic (GO:0045814)	27	1	8.13	-	.12	1.21E-03	7.37E-03
long-chain fatty acid metabolic process (GO:0001676)	16	0	4.82	-	 < 0.01	4.85E-03	2.39E-02
carbohydrate transport (GO:0008643)	19	0	5.72	-	 < 0.01	1.74E-03	9.84E-03
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	20	0	6.02	-	 < 0.01	1.04E-03	6.48E-03
cell surface receptor signaling pathway (GO:0007166)	85	0	25.59	-	 < 0.01	7.26E-14	7.82E-12
jasmonic acid metabolic process (GO:0009694)	16	0	4.82	-	 < 0.01	4.85E-03	2.38E-02
sister chromatid cohesion (GO:0007062)	16	0	4.82	-	 < 0.01	4.85E-03	2.38E-02
