




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	singletons_H.txt (Oryza sativa)
Reference List:	BACKGROUND.txt (Oryza sativa)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	BACKGROUND.txt - REFLIST (27264)	singletons_H.txt (15321)	singletons_H.txt (expected)	singletons_H.txt (over/under)	singletons_H.txt (fold Enrichment)	singletons_H.txt (raw P-value)	singletons_H.txt (FDR)
purine ribonucleoside triphosphate metabolic process (GO:0009205)	48	9	26.97	-	.33	1.92E-07	1.82E-06
cellular modified amino acid metabolic process (GO:0006575)	91	17	51.14	-	.33	2.35E-13	5.73E-12
actin filament bundle organization (GO:0061572)	11	2	6.18	-	.32	1.38E-02	4.91E-02
MAPK cascade (GO:0000165)	11	2	6.18	-	.32	1.38E-02	4.90E-02
actin filament bundle assembly (GO:0051017)	11	2	6.18	-	.32	1.38E-02	4.88E-02
protein targeting to vacuole (GO:0006623)	11	2	6.18	-	.32	1.38E-02	4.87E-02
carbohydrate biosynthetic process (GO:0016051)	100	18	56.19	-	.32	6.57E-15	1.89E-13
oligosaccharide biosynthetic process (GO:0009312)	17	3	9.55	-	.31	2.14E-03	9.85E-03
nucleoside phosphate catabolic process (GO:1901292)	51	9	28.66	-	.31	1.91E-08	2.16E-07
pyrimidine nucleotide metabolic process (GO:0006220)	17	3	9.55	-	.31	2.14E-03	9.81E-03
aromatic amino acid metabolic process (GO:0009072)	40	7	22.48	-	.31	1.07E-06	9.00E-06
glutathione metabolic process (GO:0006749)	65	11	36.53	-	.30	9.20E-11	1.70E-09
ribonucleoside triphosphate metabolic process (GO:0009199)	54	9	30.35	-	.30	2.87E-09	3.91E-08
nucleotide catabolic process (GO:0009166)	42	7	23.60	-	.30	1.73E-07	1.69E-06
nucleoside triphosphate metabolic process (GO:0009141)	54	9	30.35	-	.30	2.87E-09	3.87E-08
nucleobase metabolic process (GO:0009112)	12	2	6.74	-	.30	7.22E-03	2.81E-02
purine nucleotide catabolic process (GO:0006195)	42	7	23.60	-	.30	1.73E-07	1.68E-06
organophosphate catabolic process (GO:0046434)	69	11	38.77	-	.28	7.49E-12	1.47E-10
purine-containing compound catabolic process (GO:0072523)	47	7	26.41	-	.27	6.87E-09	8.46E-08
nucleoside diphosphate metabolic process (GO:0009132)	54	8	30.35	-	.26	3.98E-10	6.68E-09
purine ribonucleotide catabolic process (GO:0009154)	41	6	23.04	-	.26	7.36E-08	7.67E-07
ribonucleotide catabolic process (GO:0009261)	41	6	23.04	-	.26	7.36E-08	7.61E-07
ceramide metabolic process (GO:0006672)	21	3	11.80	-	.25	9.93E-05	5.81E-04
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	29	4	16.30	-	.25	4.18E-06	3.14E-05
protein processing (GO:0016485)	22	3	12.36	-	.24	5.03E-05	3.06E-04
external encapsulating structure organization (GO:0045229)	15	2	8.43	-	.24	9.83E-04	4.78E-03
potassium ion transport (GO:0006813)	30	4	16.86	-	.24	2.20E-06	1.75E-05
nucleoside diphosphate catabolic process (GO:0009134)	48	6	26.97	-	.22	4.04E-10	6.70E-09
aerobic electron transport chain (GO:0019646)	16	2	8.99	-	.22	5.00E-04	2.62E-03
peptidyl-threonine phosphorylation (GO:0018107)	17	2	9.55	-	.21	2.53E-04	1.38E-03
mitochondrial respiratory chain complex assembly (GO:0033108)	9	1	5.06	-	.20	1.30E-02	4.78E-02
oxidative phosphorylation (GO:0006119)	18	2	10.12	-	.20	1.28E-04	7.32E-04
phospholipid catabolic process (GO:0009395)	18	2	10.12	-	.20	1.28E-04	7.29E-04
triglyceride biosynthetic process (GO:0019432)	9	1	5.06	-	.20	1.30E-02	4.77E-02
regulation of localization (GO:0032879)	9	1	5.06	-	.20	1.30E-02	4.76E-02
hormone transport (GO:0009914)	9	1	5.06	-	.20	1.30E-02	4.74E-02
triglyceride metabolic process (GO:0006641)	9	1	5.06	-	.20	1.30E-02	4.73E-02
acylglycerol metabolic process (GO:0006639)	9	1	5.06	-	.20	1.30E-02	4.72E-02
neutral lipid metabolic process (GO:0006638)	9	1	5.06	-	.20	1.30E-02	4.70E-02
glucan metabolic process (GO:0044042)	55	6	30.91	-	.19	3.34E-12	6.85E-11
glycolytic process (GO:0006096)	39	4	21.92	-	.18	2.66E-09	3.65E-08
cell wall organization (GO:0071555)	10	1	5.62	-	.18	6.73E-03	2.73E-02
peptide catabolic process (GO:0043171)	10	1	5.62	-	.18	6.73E-03	2.72E-02
mitophagy (GO:0000423)	10	1	5.62	-	.18	6.73E-03	2.71E-02
iron ion transmembrane transport (GO:0034755)	10	1	5.62	-	.18	6.73E-03	2.70E-02
actin filament depolymerization (GO:0030042)	10	1	5.62	-	.18	6.73E-03	2.69E-02
actin polymerization or depolymerization (GO:0008154)	10	1	5.62	-	.18	6.73E-03	2.69E-02
secondary metabolic process (GO:0019748)	62	6	34.84	-	.17	3.09E-14	8.15E-13
glucose 6-phosphate metabolic process (GO:0051156)	21	2	11.80	-	.17	1.65E-05	1.10E-04
mitotic cytokinesis (GO:0000281)	23	2	12.92	-	.15	4.26E-06	3.18E-05
cytoskeleton-dependent cytokinesis (GO:0061640)	23	2	12.92	-	.15	4.26E-06	3.16E-05
proton transmembrane transport (GO:1902600)	12	1	6.74	-	.15	8.17E-04	4.03E-03
cytokinesis (GO:0000910)	25	2	14.05	-	.14	5.69E-07	5.01E-06
ceramide biosynthetic process (GO:0046513)	14	1	7.87	-	.13	1.81E-04	1.01E-03
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	14	1	7.87	-	.13	1.81E-04	1.01E-03
ATP synthesis coupled electron transport (GO:0042773)	14	1	7.87	-	.13	1.81E-04	1.00E-03
maintenance of location in cell (GO:0051651)	16	1	8.99	-	.11	3.94E-05	2.45E-04
detoxification (GO:0098754)	18	1	10.12	-	.10	8.45E-06	5.97E-05
response to toxic substance (GO:0009636)	18	1	10.12	-	.10	8.45E-06	5.94E-05
beta-glucan biosynthetic process (GO:0051274)	19	1	10.68	-	.09	3.89E-06	2.94E-05
hormone biosynthetic process (GO:0042446)	20	1	11.24	-	.09	1.79E-06	1.48E-05
glucan biosynthetic process (GO:0009250)	40	2	22.48	-	.09	5.94E-12	1.18E-10
secondary metabolite biosynthetic process (GO:0044550)	42	2	23.60	-	.08	1.25E-12	2.79E-11
intracellular glucose homeostasis (GO:0001678)	6	0	3.37	-	 < 0.01	7.06E-03	2.79E-02
carbohydrate phosphorylation (GO:0046835)	6	0	3.37	-	 < 0.01	7.06E-03	2.78E-02
mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122)	9	0	5.06	-	 < 0.01	5.93E-04	3.08E-03
folic acid-containing compound metabolic process (GO:0006760)	10	0	5.62	-	 < 0.01	2.60E-04	1.41E-03
aromatic amino acid family catabolic process (GO:0009074)	16	0	8.99	-	 < 0.01	1.83E-06	1.51E-05
establishment of protein localization to extracellular region (GO:0035592)	10	0	5.62	-	 < 0.01	2.60E-04	1.40E-03
protein secretion (GO:0009306)	10	0	5.62	-	 < 0.01	2.60E-04	1.40E-03
glucose homeostasis (GO:0042593)	6	0	3.37	-	 < 0.01	7.06E-03	2.77E-02
carbohydrate homeostasis (GO:0033500)	6	0	3.37	-	 < 0.01	7.06E-03	2.77E-02
secondary alcohol metabolic process (GO:1902652)	6	0	3.37	-	 < 0.01	7.06E-03	2.76E-02
glycosaminoglycan metabolic process (GO:0030203)	7	0	3.93	-	 < 0.01	3.09E-03	1.36E-02
protein localization to extracellular region (GO:0071692)	10	0	5.62	-	 < 0.01	2.60E-04	1.39E-03
