




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	high.genes.gt3.lt10.txt (Oryza sativa)
Reference List:	BACKGROUND.txt (Oryza sativa)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	BACKGROUND.txt - REFLIST (27264)	high.genes.gt3.lt10.txt (5577)	high.genes.gt3.lt10.txt (expected)	high.genes.gt3.lt10.txt (over/under)	high.genes.gt3.lt10.txt (fold Enrichment)	high.genes.gt3.lt10.txt (raw P-value)	high.genes.gt3.lt10.txt (FDR)
organonitrogen compound metabolic process (GO:1901564)	2117	654	433.04	+	1.51	3.41E-32	3.68E-30
cellular process (GO:0009987)	4405	1344	901.07	+	1.49	1.66E-67	7.13E-65
metabolic process (GO:0008152)	3731	1124	763.20	+	1.47	1.08E-51	3.48E-49
vesicle-mediated transport (GO:0016192)	328	98	67.09	+	1.46	4.49E-05	2.92E-04
cellular macromolecule localization (GO:0070727)	318	95	65.05	+	1.46	6.18E-05	3.92E-04
protein localization (GO:0008104)	318	95	65.05	+	1.46	6.18E-05	3.90E-04
protein modification by small protein conjugation (GO:0032446)	231	69	47.25	+	1.46	7.29E-04	3.80E-03
cellular metabolic process (GO:0044237)	2816	841	576.03	+	1.46	4.98E-36	1.07E-33
developmental process (GO:0032502)	151	44	30.89	+	1.42	1.11E-02	3.94E-02
biological_process (GO:0008150)	6583	1903	1346.59	+	1.41	3.31E-80	4.28E-77
organonitrogen compound biosynthetic process (GO:1901566)	486	140	99.41	+	1.41	1.14E-05	8.32E-05
organic substance metabolic process (GO:0071704)	3476	996	711.03	+	1.40	3.81E-35	5.47E-33
primary metabolic process (GO:0044238)	3237	923	662.15	+	1.39	1.63E-31	1.62E-29
nitrogen compound transport (GO:0071705)	316	90	64.64	+	1.39	5.73E-04	3.03E-03
protein metabolic process (GO:0019538)	1653	470	338.13	+	1.39	1.35E-15	4.60E-14
organic substance transport (GO:0071702)	359	101	73.44	+	1.38	4.63E-04	2.50E-03
macromolecule modification (GO:0043412)	1187	328	242.81	+	1.35	1.43E-09	1.92E-08
protein modification by small protein conjugation or removal (GO:0070647)	312	86	63.82	+	1.35	2.36E-03	1.07E-02
biosynthetic process (GO:0009058)	1466	400	299.88	+	1.33	1.18E-10	2.05E-09
post-translational protein modification (GO:0043687)	317	86	64.84	+	1.33	4.02E-03	1.69E-02
response to stress (GO:0006950)	752	201	153.83	+	1.31	2.89E-05	1.99E-04
macromolecule localization (GO:0033036)	367	98	75.07	+	1.31	4.05E-03	1.70E-02
cellular biosynthetic process (GO:0044249)	1368	364	279.83	+	1.30	1.93E-08	2.03E-07
amide metabolic process (GO:0043603)	327	87	66.89	+	1.30	7.05E-03	2.80E-02
organic substance biosynthetic process (GO:1901576)	1425	379	291.49	+	1.30	1.10E-08	1.18E-07
cellular localization (GO:0051641)	457	121	93.48	+	1.29	1.89E-03	8.64E-03
nitrogen compound metabolic process (GO:0006807)	2851	700	583.19	+	1.20	1.87E-08	1.98E-07
macromolecule metabolic process (GO:0043170)	2513	585	514.05	+	1.14	2.78E-04	1.57E-03
biological regulation (GO:0065007)	1480	344	302.74	+	1.14	7.25E-03	2.86E-02
Unclassified (UNCLASSIFIED)	20681	3674	4230.41	-	.87	3.31E-80	2.14E-77
cellular aromatic compound metabolic process (GO:0006725)	1097	192	224.40	-	.86	1.30E-02	4.50E-02
gene expression (GO:0010467)	792	133	162.01	-	.82	9.46E-03	3.39E-02
cellular nitrogen compound metabolic process (GO:0034641)	1174	190	240.15	-	.79	1.59E-04	9.27E-04
heterocycle metabolic process (GO:0046483)	1037	155	212.12	-	.73	4.19E-06	3.26E-05
regulation of metabolic process (GO:0019222)	857	118	175.30	-	.67	3.50E-07	3.00E-06
regulation of macromolecule metabolic process (GO:0060255)	823	109	168.35	-	.65	6.03E-08	5.95E-07
regulation of cellular metabolic process (GO:0031323)	825	107	168.76	-	.63	1.76E-08	1.88E-07
regulation of primary metabolic process (GO:0080090)	695	90	142.17	-	.63	2.38E-07	2.11E-06
nucleobase-containing compound metabolic process (GO:0006139)	963	123	196.99	-	.62	3.13E-10	4.71E-09
regulation of nitrogen compound metabolic process (GO:0051171)	685	87	140.12	-	.62	9.06E-08	8.74E-07
regulation of cellular biosynthetic process (GO:0031326)	763	96	156.08	-	.62	1.08E-08	1.18E-07
regulation of biosynthetic process (GO:0009889)	764	96	156.28	-	.61	8.60E-09	9.67E-08
regulation of gene expression (GO:0010468)	742	90	151.78	-	.59	2.17E-09	2.78E-08
regulation of macromolecule biosynthetic process (GO:0010556)	743	90	151.98	-	.59	1.70E-09	2.25E-08
DNA damage response (GO:0006974)	143	17	29.25	-	.58	9.16E-03	3.32E-02
RNA splicing (GO:0008380)	139	15	28.43	-	.53	3.09E-03	1.33E-02
mRNA metabolic process (GO:0016071)	226	24	46.23	-	.52	1.24E-04	7.28E-04
regulation of RNA metabolic process (GO:0051252)	585	61	119.66	-	.51	9.32E-11	1.65E-09
DNA repair (GO:0006281)	136	14	27.82	-	.50	2.63E-03	1.16E-02
regulation of transcription by RNA polymerase II (GO:0006357)	273	28	55.84	-	.50	7.62E-06	5.67E-05
regulation of nucleobase-containing compound metabolic process (GO:0019219)	601	61	122.94	-	.50	1.02E-11	2.07E-10
ribosome biogenesis (GO:0042254)	159	16	32.52	-	.49	7.23E-04	3.78E-03
mRNA processing (GO:0006397)	150	15	30.68	-	.49	7.70E-04	4.00E-03
regulation of DNA-templated transcription (GO:0006355)	518	51	105.96	-	.48	8.47E-11	1.54E-09
regulation of RNA biosynthetic process (GO:2001141)	518	51	105.96	-	.48	8.47E-11	1.52E-09
positive regulation of biological process (GO:0048518)	184	18	37.64	-	.48	1.50E-04	8.75E-04
ribonucleoprotein complex biogenesis (GO:0022613)	204	19	41.73	-	.46	2.45E-05	1.71E-04
positive regulation of nitrogen compound metabolic process (GO:0051173)	160	14	32.73	-	.43	1.06E-04	6.26E-04
positive regulation of macromolecule metabolic process (GO:0010604)	162	14	33.14	-	.42	7.72E-05	4.73E-04
positive regulation of metabolic process (GO:0009893)	162	14	33.14	-	.42	7.72E-05	4.71E-04
tRNA metabolic process (GO:0006399)	105	9	21.48	-	.42	1.47E-03	7.09E-03
DNA metabolic process (GO:0006259)	164	14	33.55	-	.42	5.63E-05	3.61E-04
RNA metabolic process (GO:0016070)	628	46	128.46	-	.36	5.86E-20	2.61E-18
nucleic acid metabolic process (GO:0090304)	783	57	160.17	-	.36	9.17E-25	5.64E-23
RNA processing (GO:0006396)	344	24	70.37	-	.34	5.08E-12	1.13E-10
positive regulation of cellular process (GO:0048522)	162	10	33.14	-	.30	6.57E-07	5.41E-06
macromolecule methylation (GO:0043414)	50	3	10.23	-	.29	7.82E-03	2.95E-02
chromosome organization (GO:0051276)	67	4	13.71	-	.29	2.02E-03	9.18E-03
ncRNA metabolic process (GO:0034660)	218	13	44.59	-	.29	3.05E-09	3.83E-08
ncRNA processing (GO:0034470)	159	9	32.52	-	.28	2.88E-07	2.54E-06
RNA catabolic process (GO:0006401)	56	3	11.46	-	.26	2.55E-03	1.14E-02
double-strand break repair (GO:0006302)	56	3	11.46	-	.26	2.55E-03	1.14E-02
DNA recombination (GO:0006310)	57	3	11.66	-	.26	2.59E-03	1.15E-02
RNA modification (GO:0009451)	172	8	35.18	-	.23	5.64E-09	6.63E-08
positive regulation of cellular metabolic process (GO:0031325)	140	6	28.64	-	.21	7.28E-08	7.13E-07
purine nucleotide biosynthetic process (GO:0006164)	53	2	10.84	-	.18	9.58E-04	4.84E-03
purine-containing compound biosynthetic process (GO:0072522)	53	2	10.84	-	.18	9.58E-04	4.82E-03
positive regulation of RNA metabolic process (GO:0051254)	125	3	25.57	-	.12	4.37E-09	5.33E-08
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	127	3	25.98	-	.12	2.87E-09	3.64E-08
rRNA processing (GO:0006364)	99	1	20.25	-	.05	5.24E-09	6.22E-08
rRNA metabolic process (GO:0016072)	111	1	22.71	-	.04	3.71E-10	5.52E-09
maturation of SSU-rRNA (GO:0030490)	26	0	5.32	-	 < 0.01	5.45E-03	2.18E-02
positive regulation of macromolecule biosynthetic process (GO:0010557)	97	0	19.84	-	 < 0.01	3.94E-10	5.78E-09
positive regulation of transcription by RNA polymerase II (GO:0045944)	34	0	6.95	-	 < 0.01	8.68E-04	4.49E-03
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	28	0	5.73	-	 < 0.01	3.44E-03	1.46E-02
chloroplast organization (GO:0009658)	34	0	6.95	-	 < 0.01	8.68E-04	4.47E-03
plastid organization (GO:0009657)	38	0	7.77	-	 < 0.01	3.48E-04	1.92E-03
RNA 3'-end processing (GO:0031123)	45	0	9.20	-	 < 0.01	5.26E-05	3.40E-04
positive regulation of DNA-templated transcription (GO:0045893)	82	0	16.77	-	 < 0.01	9.32E-09	1.03E-07
negative regulation of gene expression, epigenetic (GO:0045814)	27	0	5.52	-	 < 0.01	3.25E-03	1.39E-02
positive regulation of biosynthetic process (GO:0009891)	97	0	19.84	-	 < 0.01	3.94E-10	5.72E-09
tissue development (GO:0009888)	22	0	4.50	-	 < 0.01	1.37E-02	4.71E-02
DNA-templated DNA replication (GO:0006261)	39	0	7.98	-	 < 0.01	2.07E-04	1.18E-03
DNA replication (GO:0006260)	45	0	9.20	-	 < 0.01	5.26E-05	3.38E-04
positive regulation of RNA biosynthetic process (GO:1902680)	82	0	16.77	-	 < 0.01	9.32E-09	1.02E-07
positive regulation of cellular biosynthetic process (GO:0031328)	97	0	19.84	-	 < 0.01	3.94E-10	5.66E-09
