hit,seq1,seq2,S,N,t,kappa,omega,dN,dN_SE,dS,dS_SE
Os11t0253100-00_Os11t0251200-00,Os11t0253100-00,Os11t0251200-00,463.2,1213.8,1.3418,2.1122,0.4591,0.3375,0.0201,0.735,0.0769
Os04t0652700-01_Os01t0128100-01,Os04t0652700-01,Os01t0128100-01,166.6,676.4,3.2423,1.5081,0.1048,0.4021,0.0305,3.8366,5.6217
Os03t0593600-00_Os02t0529800-00,Os03t0593600-00,Os02t0529800-00,308.8,1197.2,2.3836,1.6118,0.165,0.3899,0.0224,2.3631,1.6897
Os08t0555400-00_Os08t0134900-01,Os08t0555400-00,Os08t0134900-01,268.0,791.0,1.271,1.9285,0.5569,0.3526,0.0258,0.6332,0.0831
Os10t0525800-00_Os10t0525400-01,Os10t0525800-00,Os10t0525400-01,130.0,524.0,0.2444,4.2876,0.2982,0.0555,0.0106,0.1861,0.0433
Os11t0169200-00_Os10t0147400-01,Os11t0169200-00,Os10t0147400-01,164.2,1269.8,1.7111,1.5334,0.0391,0.1496,0.0117,3.8256,5.5813
Os02t0299000-00_Os02t0298200-01,Os02t0299000-00,Os02t0298200-01,543.8,1229.2,0.1425,6.1981,0.327,0.0291,0.005,0.0891,0.0137
Os11t0201175-00_Os08t0421600-00,Os11t0201175-00,Os08t0421600-00,79.4,370.6,1.3596,1.854,0.0868,0.1587,0.0227,1.8284,0.5971
Os03t0222600-01_Os04t0510900-01,Os03t0222600-01,Os04t0510900-01,142.2,577.8,3.1942,1.719,0.1108,0.412,0.0336,3.7178,5.1988
Os03t0130100-01_Os03t0133500-01,Os03t0130100-01,Os03t0133500-01,211.3,1438.7,2.4649,1.0915,0.0878,0.3525,0.019,4.0151,6.3245
Os02t0666200-02_Os02t0629200-02,Os02t0666200-02,Os02t0629200-02,133.8,691.2,2.3026,1.9133,0.0559,0.2051,0.0192,3.6724,5.046
Os06t0262800-01_Os06t0260500-00,Os06t0262800-01,Os06t0260500-00,209.1,1263.9,1.3698,1.5646,0.1063,0.2081,0.0143,1.958,0.4333
Os01t0638000-01_Os01t0597800-01,Os01t0638000-01,Os01t0597800-01,206.9,1263.1,0.5636,2.7612,0.1388,0.1003,0.0094,0.7226,0.114
Os03t0829100-01_Os12t0636400-01,Os03t0829100-01,Os12t0636400-01,209.3,747.7,1.8138,1.2974,0.3793,0.4452,0.0313,1.1739,0.1852
Os04t0508500-01_Os02t0618400-02,Os04t0508500-01,Os02t0618400-02,102.2,680.8,1.4599,0.7431,0.1275,0.2571,0.0224,2.016,0.6855
Os06t0642200-00_Os11t0635300-00,Os06t0642200-00,Os11t0635300-00,337.6,1078.4,0.8682,2.3773,0.2767,0.1783,0.0142,0.6443,0.0737
Os03t0772600-01_Os07t0133000-01,Os03t0772600-01,Os07t0133000-01,228.5,878.5,1.8804,2.2643,0.1769,0.3197,0.0228,1.8075,0.3428
Os02t0550800-01_Os03t0838400-01,Os02t0550800-01,Os03t0838400-01,281.6,1143.4,2.9495,2.0397,0.0433,0.1832,0.014,4.2305,7.2926
Os03t0648250-00_Os05t0489500-01,Os03t0648250-00,Os05t0489500-01,130.2,424.8,0.0273,4.6,99.0,0.0119,0.0053,-0.0,0.0
Os01t0279000-01_Os11t0133800-00,Os01t0279000-01,Os11t0133800-00,283.1,904.9,4.0761,1.6505,0.1084,0.4589,0.0291,4.2344,7.3117
Os06t0729300-01_Os07t0188000-01,Os06t0729300-01,Os07t0188000-01,757.6,2257.4,4.7633,1.3256,0.0909,0.4519,0.0183,4.9726,11.9338
Os05t0526800-01_Os05t0526900-01,Os05t0526800-01,Os05t0526900-01,229.4,1192.6,0.5458,2.8681,0.1792,0.1046,0.0099,0.5838,0.0783
Os01t0960400-01_Os05t0481100-01,Os01t0960400-01,Os05t0481100-01,664.0,2174.0,2.8454,1.5082,0.1163,0.3414,0.0151,2.9361,0.8586
Os07t0194000-01_Os03t0803000-01,Os07t0194000-01,Os03t0803000-01,117.5,542.5,1.0146,0.4372,0.0142,0.0253,0.0069,1.7826,0.9865
Os12t0217400-00_Os01t0160200-02,Os12t0217400-00,Os01t0160200-02,807.4,2201.6,2.5102,1.9289,0.1906,0.3911,0.0166,2.052,0.7543
Os02t0253601-00_Os02t0234051-00,Os02t0253601-00,Os02t0234051-00,37.9,118.1,0.2031,4.6,0.747,0.0626,0.0243,0.0838,0.0491
Os06t0718100-01_Os04t0228400-01,Os06t0718100-01,Os04t0228400-01,98.5,684.5,1.9277,1.6917,0.0697,0.2399,0.0213,3.4422,4.3393
Os06t0727400-01_Os01t0588500-01,Os06t0727400-01,Os01t0588500-01,281.1,951.9,3.9327,1.059,0.1062,0.4493,0.0282,4.229,7.2852
Os01t0695300-01_Os05t0543400-01,Os01t0695300-01,Os05t0543400-01,232.8,682.2,1.3681,2.2805,0.1446,0.182,0.018,1.2591,0.1713
Os12t0556600-01_Os05t0570400-00,Os12t0556600-01,Os05t0570400-00,404.9,1290.1,2.8632,1.3902,0.1182,0.3431,0.0197,2.9023,1.052
Os04t0525600-01_Os02t0634500-01,Os04t0525600-01,Os02t0634500-01,129.0,744.0,1.4903,1.3955,0.0588,0.1477,0.0152,2.5105,1.1194
Os04t0177400-01_Os03t0117200-01,Os04t0177400-01,Os03t0117200-01,332.3,849.7,0.835,1.8247,0.4798,0.2133,0.0178,0.4446,0.0492
Os03t0448700-01_Os07t0588000-01,Os03t0448700-01,Os07t0588000-01,334.4,973.6,1.1981,2.2359,0.1501,0.1632,0.0141,1.087,0.1801
Os04t0329200-00_Os06t0663300-00,Os04t0329200-00,Os06t0663300-00,74.0,277.0,0.665,1.5542,0.104,0.0787,0.0176,0.7568,0.2433
Os07t0685600-01_Os02t0193933-00,Os07t0685600-01,Os02t0193933-00,50.2,138.8,0.5403,1.7702,0.7625,0.1663,0.0379,0.2181,0.0765
Os12t0154900-00_Os02t0491600-00,Os12t0154900-00,Os02t0491600-00,169.6,478.4,2.2094,1.6125,0.1141,0.2429,0.0256,2.1289,0.5978
Os02t0190800-01_Os08t0487900-01,Os02t0190800-01,Os08t0487900-01,296.0,853.0,1.7061,2.2881,0.2137,0.2919,0.0219,1.3663,0.2543
Os09t0522100-00_Os09t0522200-01,Os09t0522100-00,Os09t0522200-01,83.0,607.0,1.9394,2.8042,0.085,0.2817,0.0251,3.3141,3.9913
Os09t0356800-01_Os09t0356000-00,Os09t0356800-01,Os09t0356000-00,670.7,1855.3,1.1642,2.3616,0.4585,0.2954,0.0149,0.6443,0.0525
Os03t0434800-00_Os12t0111800-00,Os03t0434800-00,Os12t0111800-00,223.1,727.9,3.6223,1.9689,0.0825,0.3345,0.0258,4.0557,6.4962
Os05t0177400-00_Os05t0177100-01,Os05t0177400-00,Os05t0177100-01,282.0,885.0,0.2286,1.5232,0.5654,0.0643,0.0088,0.1137,0.0216
Os01t0622600-01_Os02t0832000-01,Os01t0622600-01,Os02t0832000-01,259.2,1288.8,2.9674,1.2406,0.0839,0.3498,0.02,4.1682,6.998
Os10t0555700-02_Os03t0102500-01,Os10t0555700-02,Os03t0102500-01,89.3,684.7,34.9787,1.0051,0.0027,0.2722,0.0231,99.0,0.0
Os04t0462400-01_Os08t0127100-02,Os04t0462400-01,Os08t0127100-02,182.4,1125.6,2.3312,1.6478,0.0692,0.2703,0.0179,3.9046,5.8797
Os02t0206700-01_Os02t0207400-00,Os02t0206700-01,Os02t0207400-00,197.3,1293.7,0.2164,3.706,0.1459,0.0406,0.0057,0.2786,0.0481
Os03t0229500-00_Os06t0558300-00,Os03t0229500-00,Os06t0558300-00,224.9,1272.1,2.6864,1.4753,0.0827,0.3358,0.0196,4.0616,6.5218
Os08t0551900-00_Os08t0553700-00,Os08t0551900-00,Os08t0553700-00,180.0,543.0,0.9039,2.8657,0.3816,0.2147,0.0225,0.5626,0.0905
Os07t0564533-00_Os08t0344800-00,Os07t0564533-00,Os08t0344800-00,160.4,439.6,-0.0,4.6,99.0,-0.0,0.0,-0.0,0.0
Os10t0438000-00_Os03t0157500-01,Os10t0438000-00,Os03t0157500-01,247.5,634.5,0.9792,2.679,0.3136,0.2022,0.02,0.6448,0.0839
Os06t0330400-00_Os07t0627700-01,Os06t0330400-00,Os07t0627700-01,154.7,607.3,3.2006,1.8314,0.0993,0.3756,0.0306,3.781,5.4197
Os08t0409100-01_Os10t0553300-01,Os08t0409100-01,Os10t0553300-01,256.7,838.3,3.9704,1.7531,0.1092,0.4545,0.0301,4.161,6.9647
Os06t0202900-01_Os05t0110900-01,Os06t0202900-01,Os05t0110900-01,244.6,916.4,3.7175,1.5779,0.1136,0.4688,0.0295,4.1249,6.8003
Os01t0823150-00_Os03t0155566-00,Os01t0823150-00,Os03t0155566-00,186.8,383.2,0.9771,0.5424,1.078,0.3336,0.0364,0.3095,0.0485
Os06t0608700-03_Os05t0402700-01,Os06t0608700-03,Os05t0402700-01,135.1,863.9,1.9606,0.7791,0.049,0.1802,0.0159,3.6797,5.0702
Os07t0197500-00_Os07t0197300-00,Os07t0197500-00,Os07t0197300-00,699.6,2108.4,0.8425,2.1033,0.4761,0.2204,0.0115,0.4629,0.0376
Os03t0146100-01_Os02t0658100-01,Os03t0146100-01,Os02t0658100-01,65.5,549.5,1.5955,1.6801,0.0705,0.2212,0.0226,3.1367,3.5568
Os12t0154900-00_Os02t0491700-00,Os12t0154900-00,Os02t0491700-00,171.1,479.9,2.1516,1.8223,0.1223,0.2485,0.026,2.0313,1.2148
Os08t0189600-01_Os08t0189100-01,Os08t0189600-01,Os08t0189100-01,186.9,470.1,0.8715,2.2532,0.1458,0.109,0.0161,0.7472,0.1276
Os02t0586400-01_Os01t0848700-01,Os02t0586400-01,Os01t0848700-01,148.6,481.4,2.8678,1.227,0.2307,0.535,0.0454,2.3191,1.7971
Os11t0655900-01_Os01t0368900-01,Os11t0655900-01,Os01t0368900-01,37.0,272.0,1.9363,1.7542,0.0615,0.2281,0.0327,3.7099,10.0797
Os10t0553300-01_Os02t0753000-01,Os10t0553300-01,Os02t0753000-01,251.2,804.8,4.0303,1.5536,0.1132,0.4691,0.0315,4.1447,6.89
Os02t0440900-00_Os10t0122600-01,Os02t0440900-00,Os10t0122600-01,490.3,1303.7,0.155,4.987,0.2718,0.0298,0.0049,0.1097,0.0164
Os08t0189500-01_Os12t0154900-00,Os08t0189500-01,Os12t0154900-00,182.3,489.7,1.486,1.9721,0.1206,0.1663,0.0201,1.3792,0.2248
Os03t0102500-01_Os10t0555600-01,Os03t0102500-01,Os10t0555600-01,89.9,717.1,33.6945,1.2323,0.0022,0.2214,0.0198,99.0,0.0
Os08t0197700-00_Os03t0821100-01,Os08t0197700-00,Os03t0821100-01,321.9,1592.1,2.9057,1.4509,0.0667,0.2887,0.0158,4.3308,7.7933
Os01t0372400-01_Os01t0370200-00,Os01t0372400-01,Os01t0370200-00,93.1,557.9,1.965,1.9012,0.1081,0.3006,0.0273,2.7799,3.1562
Os09t0429000-00_Os09t0429200-00,Os09t0429000-00,Os09t0429200-00,658.3,2116.7,1.9147,2.0039,0.2026,0.33,0.015,1.6292,0.344
Os01t0905800-01_Os10t0163340-01,Os01t0905800-01,Os10t0163340-01,164.9,909.1,0.6659,1.3475,0.0415,0.0489,0.0075,1.1763,0.3036
Os06t0254700-01_Os03t0222600-01,Os06t0254700-01,Os03t0222600-01,145.6,487.4,2.3324,1.8394,0.2753,0.4842,0.0417,1.759,0.4041
Os05t0474500-01_Os01t0827200-01,Os05t0474500-01,Os01t0827200-01,405.8,1082.2,1.0271,2.3472,0.4015,0.2434,0.0172,0.6062,0.0622
Os07t0515100-01_Os12t0169800-00,Os07t0515100-01,Os12t0169800-00,339.5,1148.5,2.5616,1.2647,0.1264,0.3313,0.0204,2.6215,0.7967
Os07t0687200-02_Os01t0279300-01,Os07t0687200-02,Os01t0279300-01,78.9,368.1,0.9172,0.9868,0.0048,0.0082,0.0047,1.6934,0.5055
Os07t0695100-01_Os03t0284100-01,Os07t0695100-01,Os03t0284100-01,513.1,1607.9,1.5718,2.3491,0.1953,0.2624,0.0148,1.3435,0.2508
Os09t0482200-01_Os09t0482500-01,Os09t0482200-01,Os09t0482500-01,177.8,1277.2,-0.0,4.6,99.0,-0.0,0.0,-0.0,0.0
Os06t0662900-00_Os06t0663300-00,Os06t0662900-00,Os06t0663300-00,65.3,285.7,0.1532,3.9069,0.1179,0.0213,0.0088,0.181,0.0631
Os05t0458500-00_Os05t0458600-01,Os05t0458500-00,Os05t0458600-01,192.0,1530.0,-0.0,4.6,99.0,-0.0,0.0,-0.0,0.0
Os04t0390500-02_Os04t0674600-01,Os04t0390500-02,Os04t0674600-01,417.4,1589.6,3.6638,1.226,0.0781,0.3537,0.0181,4.5255,8.8676
Os09t0442100-01_Os03t0159100-01,Os09t0442100-01,Os03t0159100-01,253.2,865.8,3.8229,1.2771,0.1044,0.4333,0.0285,4.1505,6.9167
Os06t0141700-01_Os06t0142350-01,Os06t0141700-01,Os06t0142350-01,62.4,237.6,0.423,3.0412,0.1212,0.0562,0.0159,0.4638,0.1177
Os06t0273200-00_Os06t0272800-00,Os06t0273200-00,Os06t0272800-00,161.7,1098.3,2.4127,1.4943,0.0947,0.3611,0.0221,3.8143,5.5397
Os05t0465800-01_Os05t0528000-01,Os05t0465800-01,Os05t0528000-01,578.2,1848.8,2.5446,1.32,0.1735,0.3973,0.0183,2.2901,0.398
Os01t0829800-02_Os03t0773800-02,Os01t0829800-02,Os03t0773800-02,294.3,767.7,2.6975,1.1783,0.1898,0.4119,0.0291,2.1702,1.1097
Os09t0350900-01_Os09t0356800-01,Os09t0350900-01,Os09t0356800-01,510.9,1499.1,1.285,2.2355,0.3932,0.3077,0.017,0.7824,0.0808
Os01t0936100-01_Os01t0259200-02,Os01t0936100-01,Os01t0259200-02,349.8,1012.2,2.0374,2.0724,0.2018,0.3369,0.022,1.6694,0.233
Os02t0626600-00_Os04t0518400-01,Os02t0626600-00,Os04t0518400-01,320.2,1821.8,1.2522,1.837,0.0503,0.1093,0.0082,2.1707,0.459
Os04t0530700-01_Os11t0297800-01,Os04t0530700-01,Os11t0297800-01,525.3,1763.7,4.3165,1.2899,0.0996,0.468,0.0212,4.698,9.9436
Os01t0117000-00_Os01t0116000-00,Os01t0117000-00,Os01t0116000-00,490.2,1498.8,2.0643,1.7848,0.2163,0.3635,0.019,1.6804,0.4145
Os06t0228600-01_Os02t0102200-01,Os06t0228600-01,Os02t0102200-01,213.9,1229.1,2.6589,1.7935,0.0846,0.3403,0.0201,4.0241,6.3621
Os12t0563700-01_Os11t0683800-02,Os12t0563700-01,Os11t0683800-02,150.9,1073.1,2.2526,1.5198,0.087,0.3273,0.0209,3.7625,5.3541
Os07t0525500-00_Os05t0213100-00,Os07t0525500-00,Os05t0213100-00,274.1,874.9,2.3929,1.9473,0.2112,0.4218,0.0278,1.9972,0.3977
Os11t0181800-01_Os11t0181700-02,Os11t0181800-01,Os11t0181700-02,273.3,710.7,1.0433,3.4871,0.216,0.1732,0.0172,0.8019,0.1119
Os03t0423300-01_Os01t0880800-01,Os03t0423300-01,Os01t0880800-01,135.9,1007.1,2.3282,1.7492,0.1041,0.3836,0.0242,3.684,5.0847
Os05t0576900-01_Os06t0660200-01,Os05t0576900-01,Os06t0660200-01,298.2,1465.8,1.9589,1.2476,0.1457,0.3279,0.0179,2.2508,0.761
Os07t0202000-00_Os03t0702500-01,Os07t0202000-00,Os03t0702500-01,205.4,1165.6,2.6425,2.045,0.0832,0.3323,0.0203,3.9937,6.2357
Os01t0369300-02_Os01t0935500-01,Os01t0369300-02,Os01t0935500-01,482.1,1425.9,4.1804,1.9336,0.0643,0.2981,0.017,4.6336,9.5269
Os10t0103380-00_Os07t0248550-00,Os10t0103380-00,Os07t0248550-00,153.0,270.0,0.0578,1.1717,8.644,0.0283,0.0104,0.0033,0.0046
Os07t0170000-00_Os07t0561500-01,Os07t0170000-00,Os07t0561500-01,136.8,658.2,1.0913,1.2926,0.1321,0.1708,0.0177,1.2924,0.4378
Os01t0714225-00_Os10t0191000-00,Os01t0714225-00,Os10t0191000-00,77.2,300.8,1.8905,1.3848,0.235,0.3784,0.0442,1.6103,0.4606
Os06t0514800-00_Os06t0513781-01,Os06t0514800-00,Os06t0513781-01,42.0,93.0,0.0224,4.6,99.0,0.0108,0.0108,-0.0,0.0
Os02t0508801-00_Os05t0103300-01,Os02t0508801-00,Os05t0103300-01,32.3,174.7,0.9711,3.7178,0.8207,0.313,0.0513,0.3814,0.1695
Os06t0720400-01_Os06t0722450-01,Os06t0720400-01,Os06t0722450-01,354.3,1109.7,-0.0,4.6,99.0,-0.0,0.0,-0.0,0.0
Os01t0628900-01_Os05t0372300-01,Os01t0628900-01,Os05t0372300-01,378.4,1166.6,2.1314,1.7792,0.1938,0.352,0.0211,1.8158,0.2692
Os04t0404900-01_Os05t0155700-01,Os04t0404900-01,Os05t0155700-01,373.7,946.3,2.379,2.1551,0.3181,0.4934,0.0303,1.5515,0.2898
Os02t0730000-02_Os01t0591000-02,Os02t0730000-02,Os01t0591000-02,212.0,1294.0,2.4749,1.5405,0.0751,0.3019,0.018,4.0175,6.3346
Os10t0527400-01_Os10t0529500-01,Os10t0527400-01,Os10t0529500-01,100.9,604.1,0.9498,2.1752,0.2154,0.2081,0.0208,0.9661,0.2139
Os02t0237000-00_Os12t0111800-00,Os02t0237000-00,Os12t0111800-00,229.6,721.4,4.0,2.1327,0.1129,0.4601,0.033,4.0772,6.5893
Os07t0148600-00_Os07t0605800-01,Os07t0148600-00,Os07t0605800-01,154.7,856.3,2.6513,2.0537,0.0953,0.3603,0.0251,3.7811,5.4201
Os02t0822100-01_Os10t0447900-01,Os02t0822100-01,Os10t0447900-01,244.0,1346.0,1.6211,1.1504,0.113,0.2451,0.0154,2.1692,0.8797
Os02t0641800-02_Os04t0533000-02,Os02t0641800-02,Os04t0533000-02,381.4,1109.6,0.5262,2.2079,0.096,0.0515,0.007,0.5361,0.0583
Os07t0537600-01_Os07t0538700-01,Os07t0537600-01,Os07t0538700-01,502.5,1492.5,1.0983,1.7362,0.4624,0.2832,0.0161,0.6124,0.0536
Os02t0112600-01_Os01t0704100-02,Os02t0112600-01,Os01t0704100-02,152.7,1389.3,30.1774,1.5833,0.0029,0.2859,0.0167,99.0,0.0
Os01t0245532-00_Os01t0244400-01,Os01t0245532-00,Os01t0244400-01,149.6,975.4,1.1874,1.8624,0.2397,0.2784,0.0197,1.1613,0.2916
Os08t0540400-01_Os01t0832300-00,Os08t0540400-01,Os01t0832300-00,312.7,1301.3,3.2576,1.6926,0.0723,0.3114,0.0184,4.3089,7.6813
Os03t0328100-01_Os06t0284200-02,Os03t0328100-01,Os06t0284200-02,354.7,1106.3,2.7302,1.3967,0.1354,0.3569,0.0219,2.6357,0.794
Os08t0190200-00_Os03t0569900-01,Os08t0190200-00,Os03t0569900-01,275.6,903.4,1.8715,1.0269,0.127,0.2392,0.0185,1.8845,0.6018
Os05t0514200-01_Os07t0678600-01,Os05t0514200-01,Os07t0678600-01,296.5,1020.5,3.7959,1.5999,0.0919,0.3925,0.0245,4.2691,7.4814
Os11t0110200-00_Os11t0195200-00,Os11t0110200-00,Os11t0195200-00,176.9,408.1,0.031,4.6,2.1776,0.0124,0.0055,0.0057,0.0057
Os12t0258700-01_Os12t0257600-00,Os12t0258700-01,Os12t0257600-00,264.8,1433.2,1.1572,1.5058,0.1309,0.1895,0.0127,1.4476,0.2362
Os03t0255100-01_Os12t0429200-01,Os03t0255100-01,Os12t0429200-01,648.4,1997.6,3.6199,1.1126,0.1305,0.4582,0.0196,3.5123,1.855
Os05t0156900-01_Os02t0802500-01,Os05t0156900-01,Os02t0802500-01,450.0,1836.0,3.1412,1.766,0.0395,0.1808,0.0109,4.5819,9.2056
Os02t0572400-01_Os08t0481950-01,Os02t0572400-01,Os08t0481950-01,377.9,1227.1,1.7024,1.4155,0.1426,0.2349,0.0157,1.6474,0.2181
Os01t0348000-00_Os01t0347500-00,Os01t0348000-00,Os01t0347500-00,18.7,275.3,-0.0,4.6,99.0,-0.0,0.0,-0.0,0.0
Os06t0503400-01_Os05t0526400-01,Os06t0503400-01,Os05t0526400-01,170.3,582.7,3.5291,1.1638,0.1023,0.394,0.0324,3.8532,5.6836
Os01t0514600-01_Os02t0588300-01,Os01t0514600-01,Os02t0588300-01,484.7,1504.3,2.3916,1.4886,0.1518,0.3376,0.0181,2.2237,0.3992
Os10t0527400-01_Os10t0529400-01,Os10t0527400-01,Os10t0529400-01,99.8,614.2,0.9197,1.9358,0.2132,0.2023,0.0202,0.9486,0.2328
Os11t0619800-01_Os11t0622600-00,Os11t0619800-01,Os11t0622600-00,184.4,904.6,2.7097,1.5358,0.1757,0.5034,0.0314,2.865,3.5694
Os05t0277500-01_Os12t0154700-01,Os05t0277500-01,Os12t0154700-01,140.0,514.0,3.2795,1.1636,0.1029,0.3814,0.0336,3.7062,5.1595
Os04t0659500-02_Os02t0149800-01,Os04t0659500-02,Os02t0149800-01,213.5,632.5,2.0352,1.8632,0.0749,0.1648,0.0176,2.2003,0.5837
Os10t0539600-01_Os11t0171500-01,Os10t0539600-01,Os11t0171500-01,371.3,1152.7,2.3824,1.7039,0.1657,0.3566,0.0215,2.1525,0.4164
Os03t0835900-01_Os01t0860601-01,Os03t0835900-01,Os01t0860601-01,99.4,359.6,3.1335,1.4897,0.1102,0.3801,0.0401,3.4491,4.359
Os01t0248900-01_Os02t0268400-00,Os01t0248900-01,Os02t0268400-00,125.8,627.2,2.6384,1.7774,0.0906,0.3284,0.0275,3.6262,4.8953
Os11t0206200-01_Os11t0206400-01,Os11t0206200-01,Os11t0206400-01,250.4,904.6,0.7185,1.9089,0.5818,0.2072,0.0169,0.3562,0.0496
Os07t0668900-02_Os01t0259200-02,Os07t0668900-02,Os01t0259200-02,327.9,1025.1,2.2068,1.4633,0.2088,0.3835,0.0239,1.8366,0.2969
Os08t0552100-00_Os08t0551366-00,Os08t0552100-00,Os08t0551366-00,184.4,511.6,1.4247,3.3354,0.4059,0.3422,0.0317,0.8431,0.1569
Os02t0580600-01_Os07t0112100-00,Os02t0580600-01,Os07t0112100-00,185.4,1161.6,1.0901,1.6777,0.1829,0.225,0.0157,1.2303,0.2401
Os03t0681800-00_Os04t0485100-02,Os03t0681800-00,Os04t0485100-02,330.6,1166.4,3.681,1.6394,0.0786,0.3418,0.0206,4.3506,7.8963
Os03t0319100-01_Os05t0491200-01,Os03t0319100-01,Os05t0491200-01,227.7,597.3,1.761,1.76,0.3444,0.3848,0.0314,1.1174,0.1723
Os10t0131800-01_Os11t0689100-01,Os10t0131800-01,Os11t0689100-01,715.8,2260.2,1.266,1.5376,0.3322,0.2844,0.0131,0.8563,0.074
Os09t0566050-00_Os04t0406600-01,Os09t0566050-00,Os04t0406600-01,130.8,1087.2,1.6571,1.1204,0.0489,0.1789,0.0141,3.6555,4.9902
Os08t0553000-00_Os08t0551500-00,Os08t0553000-00,Os08t0551500-00,191.2,498.8,0.9818,4.1226,0.4192,0.2365,0.025,0.5642,0.0934
Os01t0672400-04_Os05t0562200-01,Os01t0672400-04,Os05t0562200-01,186.9,491.1,0.7991,2.828,0.3442,0.1746,0.0207,0.5074,0.0731
Os01t0268100-01_Os12t0133100-02,Os01t0268100-01,Os12t0133100-02,389.9,1059.1,1.8809,1.9006,0.2514,0.3481,0.0219,1.3846,0.1548
Os05t0489800-01_Os02t0457100-00,Os05t0489800-01,Os02t0457100-00,107.2,339.8,3.7735,1.8768,0.1564,0.5485,0.0552,3.5061,4.5245
Os07t0185432-00_Os03t0799100-01,Os07t0185432-00,Os03t0799100-01,244.4,727.6,1.6969,2.2216,0.2573,0.3278,0.0257,1.2738,0.2814
Os03t0199800-00_Os01t0308700-00,Os03t0199800-00,Os01t0308700-00,115.7,577.3,2.1796,1.4911,0.0443,0.1577,0.0181,3.5635,4.698
Os11t0635300-00_Os01t0377000-01,Os11t0635300-00,Os01t0377000-01,323.8,1248.2,1.9375,2.2066,0.1409,0.2862,0.0177,2.032,0.3825
Os02t0675400-00_Os03t0658800-03,Os02t0675400-00,Os03t0658800-03,333.3,1100.7,2.6193,2.4469,0.1566,0.3878,0.0234,2.476,0.666
Os11t0652900-00_Os04t0269100-00,Os11t0652900-00,Os04t0269100-00,90.7,455.3,2.6424,1.5944,0.1131,0.3824,0.036,3.381,4.1693
Os11t0637200-01_Os01t0966900-00,Os11t0637200-01,Os01t0966900-00,171.4,1256.6,2.3018,1.7283,0.0896,0.3458,0.0201,3.8578,5.7009
Os01t0338000-02_Os06t0225000-00,Os01t0338000-02,Os06t0225000-00,110.7,468.3,1.1388,2.7692,0.092,0.1316,0.018,1.4291,0.307
Os01t0588500-01_Os01t0936100-01,Os01t0588500-01,Os01t0936100-01,312.9,962.1,4.4711,1.2239,0.133,0.5733,0.0341,4.3095,7.6844
Os12t0554800-01_Os11t0658800-01,Os12t0554800-01,Os11t0658800-01,349.6,922.4,0.9454,2.6596,0.2029,0.1515,0.0139,0.7467,0.0856
Os07t0677300-01_Os01t0263300-01,Os07t0677300-01,Os01t0263300-01,167.2,768.8,3.1455,1.6552,0.1151,0.4417,0.0307,3.8392,5.6316
Os01t0370200-00_Os05t0148900-01,Os01t0370200-00,Os05t0148900-01,91.9,505.1,1.7978,1.5352,0.1384,0.306,0.0291,2.211,2.5504
Os04t0658000-02_Os04t0603000-00,Os04t0658000-02,Os04t0603000-00,244.0,731.0,1.579,1.6259,0.1279,0.1945,0.0181,1.5203,0.2316
Os08t0522500-01_Os09t0494200-02,Os08t0522500-01,Os09t0494200-02,150.5,788.5,2.3326,2.0764,0.0553,0.2079,0.0182,3.7607,5.3478
Os08t0270400-00_Os04t0612700-01,Os08t0270400-00,Os04t0612700-01,138.4,773.6,1.3206,1.931,0.1299,0.2183,0.0189,1.6806,0.3757
Os06t0662850-00_Os04t0317400-00,Os06t0662850-00,Os04t0317400-00,78.4,272.6,0.4466,7.8015,0.0997,0.0494,0.0138,0.4949,0.1386
Os01t0795200-01_Os02t0271600-00,Os01t0795200-01,Os02t0271600-00,536.7,1404.3,2.4381,1.7809,0.2459,0.4398,0.0227,1.7885,0.2184
Os08t0561250-00_Os09t0545250-00,Os08t0561250-00,Os09t0545250-00,77.5,282.5,2.601,1.4078,0.0644,0.2102,0.0306,3.2624,3.8592
Os08t0378300-00_Os09t0482640-01,Os08t0378300-00,Os09t0482640-01,257.3,726.7,2.9081,2.5526,0.1335,0.3594,0.0274,2.6924,4.054
Os05t0429700-01_Os04t0683800-01,Os05t0429700-01,Os04t0683800-01,617.6,1782.4,4.4915,1.6589,0.0718,0.3459,0.0168,4.8194,10.7788
Os10t0468301-00_Os07t0115800-00,Os10t0468301-00,Os07t0115800-00,327.7,911.3,0.0097,4.6,99.0,0.0044,0.0022,-0.0,0.0
Os06t0557100-01_Os02t0227700-01,Os06t0557100-01,Os02t0227700-01,549.7,2441.3,3.4276,1.7414,0.0707,0.3343,0.0141,4.732,10.1705
Os03t0805300-01_Os01t0691700-01,Os03t0805300-01,Os01t0691700-01,206.2,699.8,3.6936,1.4027,0.1041,0.4161,0.0308,3.9968,6.2483
Os12t0258700-01_Os07t0101000-00,Os12t0258700-01,Os07t0101000-00,275.1,1434.9,2.8716,1.219,0.079,0.333,0.0183,4.2129,7.2079
Os05t0444200-01_Os01t0859100-01,Os05t0444200-01,Os01t0859100-01,171.5,884.5,1.2518,1.838,0.1646,0.2287,0.0182,1.3894,0.3643
Os06t0288300-01_Os06t0289200-01,Os06t0288300-01,Os06t0289200-01,224.1,1185.9,1.1272,2.2411,0.1065,0.161,0.0127,1.5119,0.5184
Os05t0467000-01_Os03t0788500-01,Os05t0467000-01,Os03t0788500-01,361.4,1255.6,2.2543,1.5041,0.2062,0.4039,0.0225,1.9589,0.33
