Analysis Type:	PANTHER Enrichment Test (release 20231017)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	moderate_OB2GO_for_PANTHER.clean.uniq.txt (Oryza sativa)	There are duplicate IDs in the file.   For duplicates, the first id/value pair in the file will be used.
Correction:	FDR
PANTHER GO-Slim Biological Process	number	overUnder	pvalue	fdr
cellular developmental process (GO:0048869)	6	+	2.85E-01	8.26E-01
process utilizing autophagic mechanism (GO:0061919)	10	-	2.86E-01	8.27E-01
purine-containing compound biosynthetic process (GO:0072522)	10	-	2.86E-01	8.25E-01
purine nucleotide biosynthetic process (GO:0006164)	10	-	2.86E-01	8.23E-01
autophagy (GO:0006914)	10	-	2.86E-01	8.21E-01
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	24	-	2.89E-01	8.27E-01
protein localization to nucleus (GO:0034504)	5	-	2.89E-01	8.25E-01
import into nucleus (GO:0051170)	5	-	2.89E-01	8.23E-01
protein import into nucleus (GO:0006606)	5	-	2.89E-01	8.21E-01
RNA destabilization (GO:0050779)	6	+	2.92E-01	8.27E-01
positive regulation of mRNA metabolic process (GO:1903313)	6	+	2.92E-01	8.25E-01
regulation of mRNA stability (GO:0043488)	6	+	2.92E-01	8.22E-01
positive regulation of mRNA catabolic process (GO:0061014)	6	+	2.92E-01	8.20E-01
regulation of mRNA catabolic process (GO:0061013)	6	+	2.92E-01	8.18E-01
positive regulation of cellular catabolic process (GO:0031331)	6	+	2.92E-01	8.16E-01
mRNA destabilization (GO:0061157)	6	+	2.92E-01	8.14E-01
macromolecule modification (GO:0043412)	128	+	2.94E-01	8.17E-01
transmembrane transport (GO:0055085)	59	+	2.99E-01	8.28E-01
response to organic substance (GO:0010033)	16	+	3.00E-01	8.29E-01
protein folding (GO:0006457)	16	+	3.01E-01	8.30E-01
cellular response to stimulus (GO:0051716)	74	+	3.08E-01	8.47E-01
cytoskeleton organization (GO:0007010)	20	+	3.09E-01	8.48E-01
liposaccharide metabolic process (GO:1903509)	2	+	3.11E-01	8.52E-01
glycolipid metabolic process (GO:0006664)	2	+	3.11E-01	8.50E-01
glycolipid biosynthetic process (GO:0009247)	2	+	3.11E-01	8.48E-01
ERAD pathway (GO:0036503)	5	+	3.16E-01	8.58E-01
response to organonitrogen compound (GO:0010243)	5	+	3.16E-01	8.56E-01
mitotic cell cycle (GO:0000278)	9	+	3.21E-01	8.66E-01
regulation of macromolecule biosynthetic process (GO:0010556)	117	-	3.21E-01	8.64E-01
regulation of gene expression (GO:0010468)	117	-	3.21E-01	8.62E-01
regulation of multicellular organismal process (GO:0051239)	5	-	3.21E-01	8.61E-01
response to radiation (GO:0009314)	5	-	3.21E-01	8.59E-01
regulation of multicellular organismal development (GO:2000026)	5	-	3.21E-01	8.56E-01
positive regulation of transcription by RNA polymerase II (GO:0045944)	5	-	3.21E-01	8.54E-01
response to light stimulus (GO:0009416)	5	-	3.21E-01	8.52E-01
chromosome segregation (GO:0007059)	5	-	3.21E-01	8.50E-01
protein targeting (GO:0006605)	16	-	3.22E-01	8.50E-01
protein transport (GO:0015031)	38	-	3.22E-01	8.49E-01
phospholipid dephosphorylation (GO:0046839)	7	+	3.25E-01	8.54E-01
regulation of metabolic process (GO:0019222)	131	-	3.28E-01	8.59E-01
monocarboxylic acid metabolic process (GO:0032787)	27	+	3.30E-01	8.62E-01
cellular homeostasis (GO:0019725)	18	-	3.30E-01	8.61E-01
polysaccharide biosynthetic process (GO:0000271)	11	+	3.31E-01	8.62E-01
secretion (GO:0046903)	8	-	3.33E-01	8.63E-01
secretion by cell (GO:0032940)	8	-	3.33E-01	8.61E-01
amino acid catabolic process (GO:0009063)	7	+	3.36E-01	8.69E-01
regulation of macromolecule metabolic process (GO:0060255)	125	-	3.38E-01	8.71E-01
protein localization to endoplasmic reticulum (GO:0070972)	4	+	3.39E-01	8.71E-01
pyridine-containing compound metabolic process (GO:0072524)	16	+	3.44E-01	8.81E-01
organic substance metabolic process (GO:0071704)	493	-	3.46E-01	8.84E-01
regulation of cellular metabolic process (GO:0031323)	125	-	3.46E-01	8.83E-01
regulation of cell cycle process (GO:0010564)	6	-	3.47E-01	8.85E-01
monocarboxylic acid biosynthetic process (GO:0072330)	6	-	3.47E-01	8.82E-01
response to endoplasmic reticulum stress (GO:0034976)	7	+	3.50E-01	8.86E-01
cellular component disassembly (GO:0022411)	15	-	3.51E-01	8.87E-01
vesicle organization (GO:0016050)	15	-	3.51E-01	8.85E-01
nucleotide biosynthetic process (GO:0009165)	15	-	3.52E-01	8.85E-01
nucleoside phosphate biosynthetic process (GO:1901293)	15	-	3.52E-01	8.83E-01
steroid metabolic process (GO:0008202)	6	+	3.58E-01	8.97E-01
protein-DNA complex organization (GO:0071824)	17	-	3.60E-01	8.99E-01
nuclear transport (GO:0051169)	8	-	3.62E-01	9.03E-01
nucleocytoplasmic transport (GO:0006913)	8	-	3.62E-01	9.01E-01
vesicle-mediated transport (GO:0016192)	47	-	3.65E-01	9.05E-01
cell division (GO:0051301)	3	+	3.65E-01	9.03E-01
peptidyl-serine phosphorylation (GO:0018105)	8	+	3.70E-01	9.12E-01
peptidyl-serine modification (GO:0018209)	8	+	3.70E-01	9.10E-01
translational initiation (GO:0006413)	7	-	3.71E-01	9.11E-01
peptidyl-amino acid modification (GO:0018193)	17	+	3.72E-01	9.12E-01
protein targeting to membrane (GO:0006612)	5	+	3.76E-01	9.19E-01
meiotic cell cycle (GO:0051321)	4	-	3.78E-01	9.22E-01
sexual reproduction (GO:0019953)	4	-	3.78E-01	9.20E-01
protein dephosphorylation (GO:0006470)	11	+	3.80E-01	9.23E-01
aspartate family amino acid biosynthetic process (GO:0009067)	5	-	3.85E-01	9.32E-01
aspartate family amino acid metabolic process (GO:0009066)	5	-	3.85E-01	9.30E-01
activation of GTPase activity (GO:0090630)	5	-	3.85E-01	9.28E-01
positive regulation of hydrolase activity (GO:0051345)	5	-	3.85E-01	9.26E-01
regulation of hydrolase activity (GO:0051336)	5	-	3.85E-01	9.24E-01
positive regulation of GTPase activity (GO:0043547)	5	-	3.85E-01	9.22E-01
regulation of GTPase activity (GO:0043087)	5	-	3.85E-01	9.20E-01
positive regulation of multicellular organismal process (GO:0051240)	1	-	3.85E-01	9.19E-01
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790)	1	-	3.85E-01	9.17E-01
mitotic DNA replication (GO:1902969)	1	-	3.85E-01	9.15E-01
membrane protein proteolysis (GO:0033619)	1	-	3.85E-01	9.13E-01
vacuolar acidification (GO:0007035)	1	-	3.85E-01	9.11E-01
endosome organization (GO:0007032)	1	-	3.85E-01	9.08E-01
signal transduction in response to DNA damage (GO:0042770)	1	-	3.85E-01	9.06E-01
microtubule depolymerization (GO:0007019)	1	-	3.85E-01	9.04E-01
DNA duplex unwinding (GO:0032508)	1	-	3.85E-01	9.02E-01
regulation of circadian rhythm (GO:0042752)	1	-	3.85E-01	9.00E-01
negative regulation of catabolic process (GO:0009895)	1	-	3.85E-01	8.98E-01
base-excision repair (GO:0006284)	1	-	3.85E-01	8.97E-01
telomere maintenance via telomerase (GO:0007004)	1	-	3.85E-01	8.95E-01
leucine biosynthetic process (GO:0009098)	1	-	3.85E-01	8.93E-01
regulation of dephosphorylation (GO:0035303)	1	-	3.85E-01	8.91E-01
root development (GO:0048364)	1	-	3.85E-01	8.89E-01
regulation of cellular response to stress (GO:0080135)	1	-	3.85E-01	8.87E-01
DNA unwinding involved in DNA replication (GO:0006268)	1	-	3.85E-01	8.85E-01
mitochondrial DNA metabolic process (GO:0032042)	1	-	3.85E-01	8.83E-01
DNA geometric change (GO:0032392)	1	-	3.85E-01	8.81E-01
positive regulation of developmental process (GO:0051094)	1	-	3.85E-01	8.79E-01
negative regulation of DNA-templated transcription (GO:0045892)	1	-	3.85E-01	8.77E-01
organic hydroxy compound transport (GO:0015850)	1	-	3.85E-01	8.75E-01
intracellular lipid transport (GO:0032365)	1	-	3.85E-01	8.73E-01
carotenoid biosynthetic process (GO:0016117)	1	-	3.85E-01	8.72E-01
seed development (GO:0048316)	1	-	3.85E-01	8.70E-01
mitotic DNA integrity checkpoint signaling (GO:0044774)	1	-	3.85E-01	8.68E-01
mitotic DNA damage checkpoint signaling (GO:0044773)	1	-	3.85E-01	8.66E-01
cellular response to topologically incorrect protein (GO:0035967)	1	-	3.85E-01	8.64E-01
response to topologically incorrect protein (GO:0035966)	1	-	3.85E-01	8.62E-01
regulation of DNA metabolic process (GO:0051052)	1	-	3.85E-01	8.61E-01
telomere maintenance via telomere lengthening (GO:0010833)	1	-	3.85E-01	8.59E-01
positive regulation of mitotic nuclear division (GO:0045840)	1	-	3.85E-01	8.57E-01
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	1	-	3.85E-01	8.55E-01
endoplasmic reticulum unfolded protein response (GO:0030968)	1	-	3.85E-01	8.53E-01
negative regulation of transcription by RNA polymerase II (GO:0000122)	1	-	3.85E-01	8.52E-01
glycerophospholipid catabolic process (GO:0046475)	1	-	3.85E-01	8.50E-01
kinetochore organization (GO:0051383)	1	-	3.85E-01	8.48E-01
negative regulation of cell cycle G2/M phase transition (GO:1902750)	1	-	3.85E-01	8.46E-01
circadian rhythm (GO:0007623)	1	-	3.85E-01	8.45E-01
reticulophagy (GO:0061709)	1	-	3.85E-01	8.43E-01
vesicle targeting, to, from or within Golgi (GO:0048199)	1	-	3.85E-01	8.41E-01
regulation of cell cycle G2/M phase transition (GO:1902749)	1	-	3.85E-01	8.39E-01
maturation of 5.8S rRNA (GO:0000460)	1	-	3.85E-01	8.38E-01
arginine metabolic process (GO:0006525)	1	-	3.85E-01	8.36E-01
tRNA methylation (GO:0030488)	1	-	3.85E-01	8.34E-01
pseudouridine synthesis (GO:0001522)	1	-	3.85E-01	8.32E-01
rRNA transcription (GO:0009303)	1	-	3.85E-01	8.31E-01
UDP-N-acetylglucosamine metabolic process (GO:0006047)	1	-	3.85E-01	8.29E-01
DNA conformation change (GO:0071103)	1	-	3.85E-01	8.27E-01
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	1	-	3.85E-01	8.26E-01
metaphase chromosome alignment (GO:0051310)	1	-	3.85E-01	8.24E-01
mitochondrial transcription (GO:0006390)	1	-	3.85E-01	8.22E-01
mitotic nuclear division (GO:0140014)	1	-	3.85E-01	8.21E-01
iron ion transport (GO:0006826)	1	-	3.85E-01	8.19E-01
establishment of chromosome localization (GO:0051303)	1	-	3.85E-01	8.17E-01
adenosine to inosine editing (GO:0006382)	1	-	3.85E-01	8.16E-01
establishment of vesicle localization (GO:0051650)	1	-	3.85E-01	8.14E-01
siRNA processing (GO:0030422)	1	-	3.85E-01	8.13E-01
protein-containing complex localization (GO:0031503)	1	-	3.85E-01	8.11E-01
RNA stabilization (GO:0043489)	1	-	3.85E-01	8.09E-01
vesicle localization (GO:0051648)	1	-	3.85E-01	8.08E-01
transcription elongation by RNA polymerase I (GO:0006362)	1	-	3.85E-01	8.06E-01
regulation of chromosome separation (GO:1905818)	1	-	3.85E-01	8.05E-01
COPII-coated vesicle budding (GO:0090114)	1	-	3.85E-01	8.03E-01
purine ribonucleoside monophosphate metabolic process (GO:0009167)	1	-	3.85E-01	8.01E-01
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	1	-	3.85E-01	8.00E-01
regulation of chromosome segregation (GO:0051983)	1	-	3.85E-01	7.98E-01
regulation of mitotic sister chromatid separation (GO:0010965)	1	-	3.85E-01	7.97E-01
microtubule organizing center organization (GO:0031023)	1	-	3.85E-01	7.95E-01
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	1	-	3.85E-01	7.94E-01
mitochondrial protein processing (GO:0034982)	1	-	3.85E-01	7.92E-01
cellular response to unfolded protein (GO:0034620)	1	-	3.85E-01	7.91E-01
endocytic recycling (GO:0032456)	1	-	3.85E-01	7.89E-01
sterol transport (GO:0015918)	1	-	3.85E-01	7.87E-01
purine nucleoside monophosphate metabolic process (GO:0009126)	1	-	3.85E-01	7.86E-01
DNA methylation (GO:0006306)	1	-	3.85E-01	7.84E-01
DNA alkylation (GO:0006305)	1	-	3.85E-01	7.83E-01
DNA modification (GO:0006304)	1	-	3.85E-01	7.81E-01
double-strand break repair via nonhomologous end joining (GO:0006303)	1	-	3.85E-01	7.80E-01
long-chain fatty acid transport (GO:0015909)	1	-	3.85E-01	7.78E-01
positive regulation of mitotic cell cycle (GO:0045931)	1	-	3.85E-01	7.77E-01
meiotic chromosome segregation (GO:0045132)	1	-	3.85E-01	7.76E-01
membrane assembly (GO:0071709)	1	-	3.85E-01	7.74E-01
negative regulation of cellular catabolic process (GO:0031330)	1	-	3.85E-01	7.73E-01
protein processing involved in protein targeting to mitochondrion (GO:0006627)	1	-	3.85E-01	7.71E-01
response to unfolded protein (GO:0006986)	1	-	3.85E-01	7.70E-01
protein targeting to vacuole (GO:0006623)	1	-	3.85E-01	7.68E-01
IMP biosynthetic process (GO:0006188)	1	-	3.85E-01	7.67E-01
regulation of sister chromatid segregation (GO:0033045)	1	-	3.85E-01	7.65E-01
embryo development (GO:0009790)	1	-	3.85E-01	7.64E-01
mitotic G2/M transition checkpoint (GO:0044818)	1	-	3.85E-01	7.62E-01
regulation of chromosome organization (GO:0033044)	1	-	3.85E-01	7.61E-01
intracellular pH reduction (GO:0051452)	1	-	3.85E-01	7.60E-01
nucleotide-sugar transmembrane transport (GO:0015780)	1	-	3.85E-01	7.58E-01
chromosome localization (GO:0050000)	1	-	3.85E-01	7.57E-01
establishment of protein localization to vacuole (GO:0072666)	1	-	3.85E-01	7.55E-01
protein localization to vacuole (GO:0072665)	1	-	3.85E-01	7.54E-01
negative regulation of RNA catabolic process (GO:1902369)	1	-	3.85E-01	7.53E-01
tetrapyrrole metabolic process (GO:0033013)	1	-	3.85E-01	7.51E-01
purine nucleobase metabolic process (GO:0006144)	1	-	3.85E-01	7.50E-01
glycerolipid catabolic process (GO:0046503)	1	-	3.85E-01	7.48E-01
DNA damage checkpoint signaling (GO:0000077)	1	-	3.85E-01	7.47E-01
DNA replication checkpoint signaling (GO:0000076)	1	-	3.85E-01	7.46E-01
mitotic sister chromatid segregation (GO:0000070)	1	-	3.85E-01	7.44E-01
heme metabolic process (GO:0042168)	1	-	3.85E-01	7.43E-01
positive regulation of response to stimulus (GO:0048584)	1	-	3.85E-01	7.42E-01
response to gibberellin (GO:0009739)	1	-	3.85E-01	7.40E-01
protein N-linked glycosylation (GO:0006487)	1	-	3.85E-01	7.39E-01
mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)	1	-	3.85E-01	7.38E-01
mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122)	1	-	3.85E-01	7.36E-01
mitochondrial electron transport, succinate to ubiquinone (GO:0006121)	1	-	3.85E-01	7.35E-01
ribosomal subunit export from nucleus (GO:0000054)	1	-	3.85E-01	7.34E-01
DNA biosynthetic process (GO:0071897)	1	-	3.85E-01	7.32E-01
IMP metabolic process (GO:0046040)	1	-	3.85E-01	7.31E-01
vesicle targeting (GO:0006903)	1	-	3.85E-01	7.30E-01
negative regulation of RNA biosynthetic process (GO:1902679)	1	-	3.85E-01	7.28E-01
meiotic DNA double-strand break formation (GO:0042138)	1	-	3.85E-01	7.27E-01
nuclear chromosome segregation (GO:0098813)	1	-	3.85E-01	7.26E-01
regulation of mitotic metaphase/anaphase transition (GO:0030071)	1	-	3.85E-01	7.25E-01
iron ion transmembrane transport (GO:0034755)	1	-	3.85E-01	7.23E-01
mRNA cis splicing, via spliceosome (GO:0045292)	1	-	3.85E-01	7.22E-01
mitotic G2 DNA damage checkpoint signaling (GO:0007095)	1	-	3.85E-01	7.21E-01
mitotic cell cycle checkpoint signaling (GO:0007093)	1	-	3.85E-01	7.19E-01
sister chromatid segregation (GO:0000819)	1	-	3.85E-01	7.18E-01
attachment of spindle microtubules to kinetochore (GO:0008608)	1	-	3.85E-01	7.17E-01
regulation of mitotic nuclear division (GO:0007088)	1	-	3.85E-01	7.16E-01
mitotic metaphase chromosome alignment (GO:0007080)	1	-	3.85E-01	7.14E-01
cyclic-nucleotide-mediated signaling (GO:0019935)	1	-	3.85E-01	7.13E-01
cAMP-mediated signaling (GO:0019933)	1	-	3.85E-01	7.12E-01
mitochondrial genome maintenance (GO:0000002)	1	-	3.85E-01	7.11E-01
heme biosynthetic process (GO:0006783)	1	-	3.85E-01	7.09E-01
rhythmic process (GO:0048511)	1	-	3.85E-01	7.08E-01
mitotic sister chromatid cohesion (GO:0007064)	1	-	3.85E-01	7.07E-01
sister chromatid cohesion (GO:0007062)	1	-	3.85E-01	7.06E-01
porphyrin-containing compound metabolic process (GO:0006778)	1	-	3.85E-01	7.05E-01
microtubule polymerization or depolymerization (GO:0031109)	1	-	3.85E-01	7.03E-01
ceramide biosynthetic process (GO:0046513)	3	+	3.86E-01	7.04E-01
reproductive system development (GO:0061458)	3	+	3.91E-01	7.11E-01
shoot system development (GO:0048367)	3	+	3.91E-01	7.10E-01
reproductive structure development (GO:0048608)	3	+	3.91E-01	7.09E-01
developmental process involved in reproduction (GO:0003006)	3	+	3.91E-01	7.08E-01
mitotic cell cycle process (GO:1903047)	7	+	3.95E-01	7.13E-01
terpenoid metabolic process (GO:0006721)	5	+	3.96E-01	7.15E-01
cellular process (GO:0009987)	631	-	4.00E-01	7.20E-01
regulation of cellular component size (GO:0032535)	1	+	4.01E-01	7.21E-01
regulation of anatomical structure size (GO:0090066)	1	+	4.01E-01	7.19E-01
regulation of localization (GO:0032879)	1	+	4.01E-01	7.18E-01
release of sequestered calcium ion into cytosol (GO:0051209)	1	+	4.01E-01	7.17E-01
calcium ion transmembrane import into cytosol (GO:0097553)	1	+	4.01E-01	7.16E-01
defense response to bacterium (GO:0042742)	1	+	4.01E-01	7.15E-01
negative regulation of supramolecular fiber organization (GO:1902904)	1	+	4.01E-01	7.13E-01
regulation of supramolecular fiber organization (GO:1902903)	1	+	4.01E-01	7.12E-01
polyamine biosynthetic process (GO:0006596)	1	+	4.01E-01	7.11E-01
cell migration (GO:0016477)	1	+	4.01E-01	7.10E-01
tyrosine metabolic process (GO:0006570)	1	+	4.01E-01	7.09E-01
regulation of actin filament organization (GO:0110053)	1	+	4.01E-01	7.07E-01
reciprocal homologous recombination (GO:0140527)	1	+	4.01E-01	7.06E-01
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	1	+	4.01E-01	7.05E-01
G protein-coupled receptor signaling pathway (GO:0007186)	1	+	4.01E-01	7.04E-01
establishment or maintenance of cell polarity (GO:0007163)	1	+	4.01E-01	7.03E-01
amide transport (GO:0042886)	1	+	4.01E-01	7.02E-01
reciprocal meiotic recombination (GO:0007131)	1	+	4.01E-01	7.00E-01
meiosis I (GO:0007127)	1	+	4.01E-01	6.99E-01
regulation of actin filament-based process (GO:0032970)	1	+	4.01E-01	6.98E-01
import across plasma membrane (GO:0098739)	1	+	4.01E-01	6.97E-01
aminoglycan metabolic process (GO:0006022)	1	+	4.01E-01	6.96E-01
regulation of actin cytoskeleton organization (GO:0032956)	1	+	4.01E-01	6.95E-01
sodium ion transport (GO:0006814)	1	+	4.01E-01	6.94E-01
negative regulation of organelle organization (GO:0010639)	1	+	4.01E-01	6.92E-01
response to bacterium (GO:0009617)	1	+	4.01E-01	6.91E-01
response to wounding (GO:0009611)	1	+	4.01E-01	6.90E-01
regulation of membrane potential (GO:0042391)	1	+	4.01E-01	6.89E-01
sodium ion transmembrane transport (GO:0035725)	1	+	4.01E-01	6.88E-01
unsaturated fatty acid metabolic process (GO:0033559)	1	+	4.01E-01	6.87E-01
regulation of actin polymerization or depolymerization (GO:0008064)	1	+	4.01E-01	6.86E-01
regulation of cellular component biogenesis (GO:0044087)	1	+	4.01E-01	6.85E-01
negative regulation of cytoskeleton organization (GO:0051494)	1	+	4.01E-01	6.84E-01
regulation of cytoskeleton organization (GO:0051493)	1	+	4.01E-01	6.82E-01
regulation of defense response (GO:0031347)	1	+	4.01E-01	6.81E-01
negative regulation of cellular component organization (GO:0051129)	1	+	4.01E-01	6.80E-01
negative regulation of protein-containing complex assembly (GO:0031333)	1	+	4.01E-01	6.79E-01
unsaturated fatty acid biosynthetic process (GO:0006636)	1	+	4.01E-01	6.78E-01
regulation of meiotic cell cycle (GO:0051445)	1	+	4.01E-01	6.77E-01
intermembrane lipid transfer (GO:0120009)	1	+	4.01E-01	6.76E-01
glycosaminoglycan metabolic process (GO:0030203)	1	+	4.01E-01	6.75E-01
regulation of protein-containing complex assembly (GO:0043254)	1	+	4.01E-01	6.74E-01
negative regulation of protein polymerization (GO:0032272)	1	+	4.01E-01	6.73E-01
regulation of protein polymerization (GO:0032271)	1	+	4.01E-01	6.72E-01
negative regulation of sequestering of calcium ion (GO:0051283)	1	+	4.01E-01	6.71E-01
regulation of sequestering of calcium ion (GO:0051282)	1	+	4.01E-01	6.69E-01
homologous recombination (GO:0035825)	1	+	4.01E-01	6.68E-01
negative regulation of actin filament polymerization (GO:0030837)	1	+	4.01E-01	6.67E-01
regulation of actin filament polymerization (GO:0030833)	1	+	4.01E-01	6.66E-01
regulation of actin filament length (GO:0030832)	1	+	4.01E-01	6.65E-01
cell motility (GO:0048870)	1	+	4.01E-01	6.64E-01
supramolecular fiber organization (GO:0097435)	12	+	4.01E-01	6.64E-01
response to lipid (GO:0033993)	4	+	4.06E-01	6.71E-01
autophagosome maturation (GO:0097352)	2	+	4.08E-01	6.73E-01
peptide catabolic process (GO:0043171)	2	+	4.08E-01	6.72E-01
regulation of protein stability (GO:0031647)	2	+	4.08E-01	6.71E-01
regulation of biosynthetic process (GO:0009889)	119	-	4.09E-01	6.71E-01
regulation of cellular biosynthetic process (GO:0031326)	119	-	4.09E-01	6.70E-01
protein transmembrane transport (GO:0071806)	11	-	4.15E-01	6.79E-01
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	3	-	4.17E-01	6.81E-01
endosome transport via multivesicular body sorting pathway (GO:0032509)	3	-	4.17E-01	6.80E-01
triglyceride biosynthetic process (GO:0019432)	3	-	4.17E-01	6.79E-01
multivesicular body sorting pathway (GO:0071985)	3	-	4.17E-01	6.78E-01
response to starvation (GO:0042594)	3	-	4.17E-01	6.77E-01
protein insertion into mitochondrial inner membrane (GO:0045039)	3	-	4.17E-01	6.76E-01
cellular response to external stimulus (GO:0071496)	3	-	4.17E-01	6.75E-01
regulation of mitotic cell cycle phase transition (GO:1901990)	3	-	4.17E-01	6.74E-01
negative regulation of cell cycle phase transition (GO:1901988)	3	-	4.17E-01	6.73E-01
iron-sulfur cluster assembly (GO:0016226)	3	-	4.17E-01	6.72E-01
negative regulation of cell cycle process (GO:0010948)	3	-	4.17E-01	6.71E-01
macromolecule glycosylation (GO:0043413)	3	-	4.17E-01	6.70E-01
glycoprotein biosynthetic process (GO:0009101)	3	-	4.17E-01	6.69E-01
glycoprotein metabolic process (GO:0009100)	3	-	4.17E-01	6.68E-01
triglyceride metabolic process (GO:0006641)	3	-	4.17E-01	6.67E-01
acylglycerol metabolic process (GO:0006639)	3	-	4.17E-01	6.66E-01
neutral lipid metabolic process (GO:0006638)	3	-	4.17E-01	6.65E-01
cellular response to nutrient levels (GO:0031669)	3	-	4.17E-01	6.64E-01
cellular response to extracellular stimulus (GO:0031668)	3	-	4.17E-01	6.63E-01
negative regulation of cell cycle (GO:0045786)	3	-	4.17E-01	6.62E-01
protein glycosylation (GO:0006486)	3	-	4.17E-01	6.61E-01
cellular response to starvation (GO:0009267)	3	-	4.17E-01	6.60E-01
metabolic process (GO:0008152)	528	-	4.20E-01	6.64E-01
regulation of response to stimulus (GO:0048583)	8	+	4.23E-01	6.67E-01
protein localization to membrane (GO:0072657)	10	+	4.24E-01	6.68E-01
aromatic amino acid metabolic process (GO:0009072)	10	+	4.27E-01	6.71E-01
establishment of protein localization (GO:0045184)	43	-	4.33E-01	6.80E-01
acyl-CoA metabolic process (GO:0006637)	4	+	4.37E-01	6.86E-01
inorganic ion homeostasis (GO:0098771)	10	-	4.38E-01	6.86E-01
response to temperature stimulus (GO:0009266)	7	+	4.38E-01	6.86E-01
regulation of signaling (GO:0023051)	6	+	4.42E-01	6.90E-01
regulation of cell communication (GO:0010646)	6	+	4.42E-01	6.89E-01
regulation of signal transduction (GO:0009966)	6	+	4.42E-01	6.88E-01
macromolecule catabolic process (GO:0009057)	67	-	4.43E-01	6.88E-01
regulation of RNA biosynthetic process (GO:2001141)	87	-	4.43E-01	6.87E-01
regulation of DNA-templated transcription (GO:0006355)	87	-	4.43E-01	6.86E-01
positive regulation of catabolic process (GO:0009896)	10	+	4.43E-01	6.86E-01
membrane fusion (GO:0061025)	11	-	4.45E-01	6.87E-01
nicotinamide nucleotide metabolic process (GO:0046496)	15	+	4.46E-01	6.89E-01
pyridine nucleotide metabolic process (GO:0019362)	15	+	4.46E-01	6.88E-01
intracellular monoatomic cation homeostasis (GO:0030003)	9	-	4.49E-01	6.90E-01
intracellular monoatomic ion homeostasis (GO:0006873)	9	-	4.49E-01	6.89E-01
carboxylic acid metabolic process (GO:0019752)	60	+	4.49E-01	6.89E-01
post-transcriptional regulation of gene expression (GO:0010608)	12	-	4.49E-01	6.88E-01
cellular response to stress (GO:0033554)	40	-	4.49E-01	6.87E-01
intracellular protein transport (GO:0006886)	29	-	4.54E-01	6.94E-01
purine ribonucleotide biosynthetic process (GO:0009152)	7	-	4.56E-01	6.96E-01
organic acid catabolic process (GO:0016054)	14	+	4.57E-01	6.96E-01
carboxylic acid catabolic process (GO:0046395)	14	+	4.57E-01	6.95E-01
lipid oxidation (GO:0034440)	6	+	4.64E-01	7.05E-01
organophosphate metabolic process (GO:0019637)	52	+	4.66E-01	7.07E-01
intracellular signal transduction (GO:0035556)	16	+	4.68E-01	7.09E-01
membrane organization (GO:0061024)	28	-	4.74E-01	7.17E-01
carbohydrate derivative biosynthetic process (GO:1901137)	21	-	4.78E-01	7.23E-01
positive regulation of DNA-templated transcription, elongation (GO:0032786)	3	+	4.80E-01	7.23E-01
regulation of DNA-templated transcription elongation (GO:0032784)	3	+	4.80E-01	7.22E-01
response to heat (GO:0009408)	6	+	4.82E-01	7.26E-01
glycerolipid biosynthetic process (GO:0045017)	9	-	4.85E-01	7.28E-01
regulation of primary metabolic process (GO:0080090)	108	-	4.89E-01	7.34E-01
generation of precursor metabolites and energy (GO:0006091)	23	-	4.93E-01	7.38E-01
tissue development (GO:0009888)	4	-	4.99E-01	7.47E-01
regulation of nucleobase-containing compound metabolic process (GO:0019219)	98	-	4.99E-01	7.46E-01
L-amino acid metabolic process (GO:0170033)	16	+	5.02E-01	7.49E-01
vesicle fusion (GO:0006906)	9	-	5.05E-01	7.53E-01
RNA catabolic process (GO:0006401)	9	-	5.07E-01	7.55E-01
receptor-mediated endocytosis (GO:0006898)	4	+	5.11E-01	7.59E-01
clathrin-dependent endocytosis (GO:0072583)	4	+	5.11E-01	7.58E-01
cellular lipid metabolic process (GO:0044255)	54	+	5.11E-01	7.57E-01
organic hydroxy compound metabolic process (GO:1901615)	17	+	5.13E-01	7.59E-01
phosphatidylinositol metabolic process (GO:0046488)	9	+	5.14E-01	7.59E-01
regulation of RNA stability (GO:0043487)	7	+	5.17E-01	7.63E-01
regulation of cellular catabolic process (GO:0031329)	7	+	5.17E-01	7.62E-01
regulation of nitrogen compound metabolic process (GO:0051171)	106	-	5.18E-01	7.62E-01
small molecule biosynthetic process (GO:0044283)	41	-	5.21E-01	7.65E-01
organic acid metabolic process (GO:0006082)	61	+	5.22E-01	7.65E-01
oxoacid metabolic process (GO:0043436)	61	+	5.22E-01	7.64E-01
chemical homeostasis (GO:0048878)	23	+	5.23E-01	7.65E-01
epigenetic regulation of gene expression (GO:0040029)	5	+	5.23E-01	7.65E-01
