Analysis Type:	PANTHER Enrichment Test (release 20231017)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	strict_OB2GO_for_PANTHER.clean.uniq.txt (Oryza sativa)	There are duplicate IDs in the file.   For duplicates, the first id/value pair in the file will be used.
Correction:	FDR
PANTHER GO-Slim Molecular Function	number	overUnder	pvalue	fdr
UDP-glycosyltransferase activity (GO:0008194)	10	+	7.70E-01	9.30E-01
carboxylic acid transmembrane transporter activity (GO:0046943)	14	+	7.83E-01	9.42E-01
organic acid transmembrane transporter activity (GO:0005342)	14	+	7.83E-01	9.40E-01
acyltransferase activity, transferring groups other than amino-acyl groups (GO:0016747)	37	-	7.98E-01	9.55E-01
O-acyltransferase activity (GO:0008374)	15	-	7.99E-01	9.53E-01
ribosome binding (GO:0043022)	3	-	8.04E-01	9.57E-01
3'-5'-RNA exonuclease activity (GO:0000175)	3	-	8.04E-01	9.55E-01
disulfide oxidoreductase activity (GO:0015036)	3	-	8.04E-01	9.52E-01
protein-disulfide reductase activity (GO:0015035)	3	-	8.04E-01	9.49E-01
exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters (GO:0016796)	3	-	8.04E-01	9.47E-01
thiolester hydrolase activity (GO:0016790)	3	-	8.04E-01	9.44E-01
phosphotransferase activity, phosphate group as acceptor (GO:0016776)	3	-	8.04E-01	9.41E-01
lipid binding (GO:0008289)	15	+	8.05E-01	9.40E-01
RNA endonuclease activity (GO:0004521)	3	+	8.06E-01	9.38E-01
flavin adenine dinucleotide binding (GO:0050660)	8	-	8.13E-01	9.44E-01
ligase activity, forming carbon-sulfur bonds (GO:0016877)	6	+	8.17E-01	9.45E-01
protein-containing complex binding (GO:0044877)	25	-	8.18E-01	9.44E-01
translation regulator activity, nucleic acid binding (GO:0090079)	11	+	8.18E-01	9.42E-01
translation factor activity, RNA binding (GO:0008135)	11	+	8.18E-01	9.39E-01
translation regulator activity (GO:0045182)	11	+	8.18E-01	9.37E-01
amide binding (GO:0033218)	14	+	8.21E-01	9.38E-01
enzyme regulator activity (GO:0030234)	31	-	8.29E-01	9.44E-01
phosphatidylinositol phosphate binding (GO:1901981)	4	-	8.31E-01	9.44E-01
phosphatidylinositol bisphosphate binding (GO:1902936)	4	-	8.31E-01	9.41E-01
prenyltransferase activity (GO:0004659)	4	-	8.31E-01	9.38E-01
antiporter activity (GO:0015297)	13	+	8.32E-01	9.37E-01
ubiquitin-protein transferase activity (GO:0004842)	29	+	8.33E-01	9.35E-01
carbohydrate derivative binding (GO:0097367)	18	-	8.43E-01	9.44E-01
ribonucleoprotein complex binding (GO:0043021)	4	+	8.50E-01	9.49E-01
ubiquitin-like protein conjugating enzyme binding (GO:0044390)	4	+	8.50E-01	9.47E-01
metal cation:proton antiporter activity (GO:0051139)	4	+	8.50E-01	9.44E-01
ubiquitin-like protein binding (GO:0032182)	4	+	8.50E-01	9.42E-01
translation elongation factor activity (GO:0003746)	4	+	8.50E-01	9.39E-01
ubiquitin binding (GO:0043130)	4	+	8.50E-01	9.37E-01
monoatomic ion channel activity (GO:0005216)	10	+	8.56E-01	9.41E-01
transcription coregulator activity (GO:0003712)	6	+	8.60E-01	9.44E-01
cation binding (GO:0043169)	28	+	8.66E-01	9.48E-01
small molecule binding (GO:0036094)	75	-	8.72E-01	9.52E-01
rRNA binding (GO:0019843)	7	+	8.85E-01	9.63E-01
organic anion transmembrane transporter activity (GO:0008514)	18	+	8.87E-01	9.62E-01
gated channel activity (GO:0022836)	8	+	8.91E-01	9.65E-01
proton channel activity (GO:0015252)	2	+	8.93E-01	9.65E-01
monoatomic ion-gated channel activity (GO:0022839)	2	+	8.93E-01	9.62E-01
calcium-activated cation channel activity (GO:0005227)	2	+	8.93E-01	9.60E-01
proton-transporting ATP synthase activity, rotational mechanism (GO:0046933)	2	+	8.93E-01	9.57E-01
long-chain fatty acid-CoA ligase activity (GO:0004467)	2	+	8.93E-01	9.55E-01
steroid binding (GO:0005496)	2	+	8.93E-01	9.52E-01
ligand-gated monoatomic cation channel activity (GO:0099094)	2	+	8.93E-01	9.50E-01
sterol binding (GO:0032934)	2	+	8.93E-01	9.48E-01
N-acyltransferase activity (GO:0016410)	2	+	8.93E-01	9.45E-01
pentosyltransferase activity (GO:0016763)	2	+	8.93E-01	9.43E-01
UDP-galactosyltransferase activity (GO:0035250)	2	+	8.93E-01	9.41E-01
proteasome binding (GO:0070628)	2	+	8.93E-01	9.38E-01
peptidyl-prolyl cis-trans isomerase activity (GO:0003755)	4	-	8.95E-01	9.38E-01
methyltransferase activity (GO:0008168)	14	-	9.00E-01	9.40E-01
enzyme binding (GO:0019899)	16	-	9.04E-01	9.42E-01
phosphatidylinositol-4,5-bisphosphate binding (GO:0005546)	3	+	9.12E-01	9.48E-01
monoatomic cation channel activity (GO:0005261)	5	-	9.15E-01	9.49E-01
protein transmembrane transporter activity (GO:0008320)	5	-	9.15E-01	9.46E-01
MAP kinase kinase kinase activity (GO:0004709)	5	-	9.15E-01	9.44E-01
heterocyclic compound binding (GO:1901363)	31	-	9.27E-01	9.55E-01
lipid kinase activity (GO:0001727)	5	+	9.31E-01	9.56E-01
signal sequence binding (GO:0005048)	5	+	9.31E-01	9.53E-01
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds (GO:0016810)	5	+	9.31E-01	9.51E-01
transferase activity, transferring one-carbon groups (GO:0016741)	16	+	9.33E-01	9.51E-01
histone modifying activity (GO:0140993)	8	-	9.34E-01	9.50E-01
lipid transporter activity (GO:0005319)	8	-	9.34E-01	9.48E-01
mRNA binding (GO:0003729)	28	-	9.73E-01	9.84E-01
acyltransferase activity (GO:0016746)	68	-	9.77E-01	9.87E-01
metal ion binding (GO:0046872)	27	+	9.87E-01	9.94E-01
S-adenosylmethionine-dependent methyltransferase activity (GO:0008757)	11	-	9.90E-01	9.94E-01
palmitoyltransferase activity (GO:0016409)	6	+	9.97E-01	9.99E-01
RNA nuclease activity (GO:0004540)	6	-	9.99E-01	9.99E-01
