Analysis Type:	PANTHER Enrichment Test (release 20231017)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	strict_OB2GO_for_PANTHER.clean.uniq.txt (Oryza sativa)	There are duplicate IDs in the file.   For duplicates, the first id/value pair in the file will be used.
Correction:	FDR
PANTHER GO-Slim Biological Process	number	overUnder	pvalue	fdr
nucleotide biosynthetic process (GO:0009165)	12	-	3.65E-01	1.00E00
nucleoside phosphate biosynthetic process (GO:1901293)	12	-	3.65E-01	1.00E00
RNA catabolic process (GO:0006401)	9	-	3.66E-01	1.00E00
secretion (GO:0046903)	9	-	3.66E-01	1.00E00
inorganic ion homeostasis (GO:0098771)	9	-	3.66E-01	1.00E00
purine-containing compound biosynthetic process (GO:0072522)	9	-	3.66E-01	1.00E00
secretion by cell (GO:0032940)	9	-	3.66E-01	1.00E00
purine nucleotide biosynthetic process (GO:0006164)	9	-	3.66E-01	1.00E00
phospholipid dephosphorylation (GO:0046839)	8	+	3.71E-01	1.00E00
establishment of protein localization to organelle (GO:0072594)	17	-	3.77E-01	1.00E00
organic acid biosynthetic process (GO:0016053)	32	-	3.78E-01	1.00E00
carboxylic acid biosynthetic process (GO:0046394)	32	-	3.78E-01	1.00E00
RNA export from nucleus (GO:0006405)	2	-	3.82E-01	1.00E00
RNA localization (GO:0006403)	2	-	3.82E-01	1.00E00
regulation of proteasomal protein catabolic process (GO:0061136)	2	-	3.82E-01	1.00E00
tRNA modification (GO:0006400)	2	-	3.82E-01	1.00E00
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790)	2	-	3.82E-01	1.00E00
establishment of RNA localization (GO:0051236)	2	-	3.82E-01	1.00E00
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	2	-	3.82E-01	1.00E00
ATP synthesis coupled electron transport (GO:0042773)	2	-	3.82E-01	1.00E00
P-body assembly (GO:0033962)	2	-	3.82E-01	1.00E00
positive regulation of cell cycle process (GO:0090068)	2	-	3.82E-01	1.00E00
triglyceride biosynthetic process (GO:0019432)	2	-	3.82E-01	1.00E00
inner mitochondrial membrane organization (GO:0007007)	2	-	3.82E-01	1.00E00
mitochondrial membrane organization (GO:0007006)	2	-	3.82E-01	1.00E00
regulation of response to stress (GO:0080134)	2	-	3.82E-01	1.00E00
positive regulation of proteasomal protein catabolic process (GO:1901800)	2	-	3.82E-01	1.00E00
mitochondrial RNA metabolic process (GO:0000959)	2	-	3.82E-01	1.00E00
positive regulation of proteolysis (GO:0045862)	2	-	3.82E-01	1.00E00
thylakoid membrane organization (GO:0010027)	2	-	3.82E-01	1.00E00
positive regulation of proteolysis involved in protein catabolic process (GO:1903052)	2	-	3.82E-01	1.00E00
regulation of proteolysis involved in protein catabolic process (GO:1903050)	2	-	3.82E-01	9.99E-01
regulation of proteolysis (GO:0030162)	2	-	3.82E-01	9.97E-01
protein import into chloroplast stroma (GO:0045037)	2	-	3.82E-01	9.94E-01
tricarboxylic acid cycle (GO:0006099)	2	-	3.82E-01	9.92E-01
protein localization to chloroplast (GO:0072598)	2	-	3.82E-01	9.89E-01
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	2	-	3.82E-01	9.87E-01
inorganic anion transport (GO:0015698)	2	-	3.82E-01	9.84E-01
post-translational protein targeting to membrane, translocation (GO:0031204)	2	-	3.82E-01	9.82E-01
ncRNA transcription (GO:0098781)	2	-	3.82E-01	9.80E-01
mitochondrial gene expression (GO:0140053)	2	-	3.82E-01	9.77E-01
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	2	-	3.82E-01	9.75E-01
plastid membrane organization (GO:0009668)	2	-	3.82E-01	9.72E-01
rRNA transcription (GO:0009303)	2	-	3.82E-01	9.70E-01
mitophagy (GO:0000423)	2	-	3.82E-01	9.68E-01
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	2	-	3.82E-01	9.65E-01
meiotic nuclear division (GO:0140013)	2	-	3.82E-01	9.63E-01
transcription by RNA polymerase III (GO:0006383)	2	-	3.82E-01	9.60E-01
phosphate ion transport (GO:0006817)	2	-	3.82E-01	9.58E-01
positive regulation of organelle organization (GO:0010638)	2	-	3.82E-01	9.56E-01
transcription elongation by RNA polymerase I (GO:0006362)	2	-	3.82E-01	9.53E-01
transcription by RNA polymerase I (GO:0006360)	2	-	3.82E-01	9.51E-01
nuclear division (GO:0000280)	2	-	3.82E-01	9.49E-01
iron-sulfur cluster assembly (GO:0016226)	2	-	3.82E-01	9.47E-01
regulation of intracellular signal transduction (GO:1902531)	2	-	3.82E-01	9.44E-01
spliceosomal complex assembly (GO:0000245)	2	-	3.82E-01	9.42E-01
tRNA processing (GO:0008033)	2	-	3.82E-01	9.40E-01
cellular response to heat (GO:0034605)	2	-	3.82E-01	9.38E-01
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	2	-	3.82E-01	9.35E-01
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	2	-	3.82E-01	9.33E-01
positive regulation of cellular component organization (GO:0051130)	2	-	3.82E-01	9.31E-01
RNA polymerase II preinitiation complex assembly (GO:0051123)	2	-	3.82E-01	9.29E-01
triglyceride metabolic process (GO:0006641)	2	-	3.82E-01	9.27E-01
acylglycerol metabolic process (GO:0006639)	2	-	3.82E-01	9.24E-01
neutral lipid metabolic process (GO:0006638)	2	-	3.82E-01	9.22E-01
post-translational protein targeting to endoplasmic reticulum membrane (GO:0006620)	2	-	3.82E-01	9.20E-01
regionalization (GO:0003002)	2	-	3.82E-01	9.18E-01
regulation of nuclear division (GO:0051783)	2	-	3.82E-01	9.16E-01
positive regulation of cell cycle (GO:0045787)	2	-	3.82E-01	9.14E-01
regulatory ncRNA processing (GO:0070918)	2	-	3.82E-01	9.12E-01
signal peptide processing (GO:0006465)	2	-	3.82E-01	9.09E-01
RNA transport (GO:0050658)	2	-	3.82E-01	9.07E-01
nucleic acid transport (GO:0050657)	2	-	3.82E-01	9.05E-01
meiosis I cell cycle process (GO:0061982)	2	-	3.82E-01	9.03E-01
anaphase-promoting complex-dependent catabolic process (GO:0031145)	2	-	3.82E-01	9.01E-01
transport (GO:0006810)	172	+	3.83E-01	9.02E-01
DNA repair (GO:0006281)	13	-	3.85E-01	9.04E-01
sterol metabolic process (GO:0016125)	7	-	3.89E-01	9.11E-01
post-translational protein modification (GO:0043687)	42	+	3.89E-01	9.11E-01
protein modification by small protein conjugation or removal (GO:0070647)	42	+	3.89E-01	9.09E-01
peptidyl-threonine phosphorylation (GO:0018107)	4	+	3.99E-01	9.30E-01
potassium ion transport (GO:0006813)	8	+	4.03E-01	9.36E-01
inorganic cation transmembrane transport (GO:0098662)	19	+	4.04E-01	9.36E-01
polyamine metabolic process (GO:0006595)	3	+	4.08E-01	9.45E-01
intracellular signal transduction (GO:0035556)	23	+	4.11E-01	9.50E-01
anatomical structure development (GO:0048856)	11	-	4.15E-01	9.55E-01
regulation of cellular component size (GO:0032535)	1	+	4.19E-01	9.63E-01
regulation of anatomical structure size (GO:0090066)	1	+	4.19E-01	9.61E-01
positive regulation of phosphorus metabolic process (GO:0010562)	1	+	4.19E-01	9.58E-01
nucleotide-excision repair (GO:0006289)	1	+	4.19E-01	9.56E-01
positive regulation of protein modification process (GO:0031401)	1	+	4.19E-01	9.54E-01
lipid translocation (GO:0034204)	1	+	4.19E-01	9.52E-01
negative regulation of supramolecular fiber organization (GO:1902904)	1	+	4.19E-01	9.50E-01
regulation of supramolecular fiber organization (GO:1902903)	1	+	4.19E-01	9.48E-01
pyrimidine nucleotide metabolic process (GO:0006220)	1	+	4.19E-01	9.46E-01
tyrosine metabolic process (GO:0006570)	1	+	4.19E-01	9.44E-01
pyrimidine nucleobase metabolic process (GO:0006206)	1	+	4.19E-01	9.42E-01
regulation of membrane lipid distribution (GO:0097035)	1	+	4.19E-01	9.40E-01
phosphatidylcholine metabolic process (GO:0046470)	1	+	4.19E-01	9.38E-01
regulation of actin filament organization (GO:0110053)	1	+	4.19E-01	9.36E-01
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	1	+	4.19E-01	9.34E-01
G protein-coupled receptor signaling pathway (GO:0007186)	1	+	4.19E-01	9.32E-01
glycerol-3-phosphate metabolic process (GO:0006072)	1	+	4.19E-01	9.30E-01
regulation of lipid metabolic process (GO:0019216)	1	+	4.19E-01	9.28E-01
phospholipid translocation (GO:0045332)	1	+	4.19E-01	9.26E-01
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	1	+	4.19E-01	9.24E-01
regulation of actin filament-based process (GO:0032970)	1	+	4.19E-01	9.22E-01
import across plasma membrane (GO:0098739)	1	+	4.19E-01	9.20E-01
regulation of actin cytoskeleton organization (GO:0032956)	1	+	4.19E-01	9.18E-01
sodium ion transport (GO:0006814)	1	+	4.19E-01	9.16E-01
mRNA polyadenylation (GO:0006378)	1	+	4.19E-01	9.14E-01
negative regulation of organelle organization (GO:0010639)	1	+	4.19E-01	9.12E-01
sodium ion transmembrane transport (GO:0035725)	1	+	4.19E-01	9.10E-01
regulation of actin polymerization or depolymerization (GO:0008064)	1	+	4.19E-01	9.08E-01
mitochondrial fission (GO:0000266)	1	+	4.19E-01	9.06E-01
regulation of cellular component biogenesis (GO:0044087)	1	+	4.19E-01	9.04E-01
phosphatidylcholine biosynthetic process (GO:0006656)	1	+	4.19E-01	9.02E-01
positive regulation of phosphorylation (GO:0042327)	1	+	4.19E-01	9.01E-01
positive regulation of phosphate metabolic process (GO:0045937)	1	+	4.19E-01	8.99E-01
negative regulation of cytoskeleton organization (GO:0051494)	1	+	4.19E-01	8.97E-01
regulation of cytoskeleton organization (GO:0051493)	1	+	4.19E-01	8.95E-01
negative regulation of cellular component organization (GO:0051129)	1	+	4.19E-01	8.93E-01
negative regulation of protein-containing complex assembly (GO:0031333)	1	+	4.19E-01	8.91E-01
protein neddylation (GO:0045116)	1	+	4.19E-01	8.89E-01
Rho protein signal transduction (GO:0007266)	1	+	4.19E-01	8.88E-01
small GTPase-mediated signal transduction (GO:0007264)	1	+	4.19E-01	8.86E-01
regulation of cell cycle G1/S phase transition (GO:1902806)	1	+	4.19E-01	8.84E-01
regulation of protein-containing complex assembly (GO:0043254)	1	+	4.19E-01	8.82E-01
negative regulation of protein polymerization (GO:0032272)	1	+	4.19E-01	8.80E-01
regulation of protein polymerization (GO:0032271)	1	+	4.19E-01	8.79E-01
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	1	+	4.19E-01	8.77E-01
positive regulation of protein phosphorylation (GO:0001934)	1	+	4.19E-01	8.75E-01
negative regulation of actin filament polymerization (GO:0030837)	1	+	4.19E-01	8.73E-01
regulation of actin filament polymerization (GO:0030833)	1	+	4.19E-01	8.71E-01
regulation of actin filament length (GO:0030832)	1	+	4.19E-01	8.70E-01
protein localization to organelle (GO:0033365)	19	-	4.28E-01	8.87E-01
aromatic amino acid metabolic process (GO:0009072)	12	-	4.35E-01	9.00E-01
ribosomal small subunit biogenesis (GO:0042274)	12	-	4.35E-01	8.98E-01
glucose metabolic process (GO:0006006)	8	+	4.36E-01	8.98E-01
hexose metabolic process (GO:0019318)	8	+	4.36E-01	8.96E-01
microtubule cytoskeleton organization (GO:0000226)	13	+	4.40E-01	9.02E-01
microtubule-based process (GO:0007017)	15	+	4.43E-01	9.06E-01
Unclassified (UNCLASSIFIED)	1690	-	4.44E-01	9.07E-01
negative regulation of gene expression, epigenetic (GO:0045814)	2	+	4.47E-01	9.12E-01
heterochromatin organization (GO:0070828)	2	+	4.47E-01	9.10E-01
heterochromatin formation (GO:0031507)	2	+	4.47E-01	9.09E-01
regulation of signaling (GO:0023051)	6	-	4.50E-01	9.13E-01
regulation of cell communication (GO:0010646)	6	-	4.50E-01	9.11E-01
regulation of signal transduction (GO:0009966)	6	-	4.50E-01	9.09E-01
protein lipidation (GO:0006497)	6	-	4.50E-01	9.07E-01
lipoprotein biosynthetic process (GO:0042158)	6	-	4.50E-01	9.06E-01
lipoprotein metabolic process (GO:0042157)	6	-	4.50E-01	9.04E-01
aspartate family amino acid biosynthetic process (GO:0009067)	5	-	4.56E-01	9.14E-01
aspartate family amino acid metabolic process (GO:0009066)	5	-	4.56E-01	9.13E-01
protein import into mitochondrial matrix (GO:0030150)	5	-	4.56E-01	9.11E-01
intracellular calcium ion homeostasis (GO:0006874)	5	-	4.56E-01	9.09E-01
lipid homeostasis (GO:0055088)	5	-	4.56E-01	9.07E-01
calcium ion homeostasis (GO:0055074)	5	-	4.56E-01	9.06E-01
positive regulation of transcription by RNA polymerase II (GO:0045944)	5	-	4.56E-01	9.04E-01
negative regulation of macromolecule biosynthetic process (GO:0010558)	17	-	4.58E-01	9.05E-01
negative regulation of metabolic process (GO:0009892)	17	-	4.58E-01	9.03E-01
negative regulation of biosynthetic process (GO:0009890)	17	-	4.58E-01	9.02E-01
negative regulation of gene expression (GO:0010629)	17	-	4.58E-01	9.00E-01
negative regulation of macromolecule metabolic process (GO:0010605)	17	-	4.58E-01	8.98E-01
negative regulation of cellular biosynthetic process (GO:0031327)	17	-	4.58E-01	8.97E-01
negative regulation of cellular metabolic process (GO:0031324)	17	-	4.58E-01	8.95E-01
actin filament organization (GO:0007015)	7	+	4.59E-01	8.96E-01
actin cytoskeleton organization (GO:0030036)	7	+	4.59E-01	8.94E-01
actin filament-based process (GO:0030029)	7	+	4.59E-01	8.92E-01
mRNA catabolic process (GO:0006402)	8	-	4.59E-01	8.91E-01
exocytosis (GO:0006887)	8	-	4.59E-01	8.89E-01
ribonucleotide biosynthetic process (GO:0009260)	8	-	4.59E-01	8.88E-01
L-amino acid metabolic process (GO:0170033)	16	+	4.63E-01	8.93E-01
cell surface receptor signaling pathway (GO:0007166)	14	+	4.64E-01	8.93E-01
establishment of localization (GO:0051234)	180	+	4.64E-01	8.92E-01
carbohydrate derivative biosynthetic process (GO:1901137)	19	-	4.65E-01	8.92E-01
monoatomic cation transport (GO:0006812)	24	+	4.66E-01	8.93E-01
biological process involved in interspecies interaction between organisms (GO:0044419)	25	+	4.68E-01	8.95E-01
response to biotic stimulus (GO:0009607)	25	+	4.68E-01	8.93E-01
defense response to other organism (GO:0098542)	25	+	4.68E-01	8.92E-01
response to external biotic stimulus (GO:0043207)	25	+	4.68E-01	8.90E-01
response to other organism (GO:0051707)	25	+	4.68E-01	8.88E-01
sphingolipid biosynthetic process (GO:0030148)	5	+	4.69E-01	8.87E-01
ERAD pathway (GO:0036503)	5	+	4.69E-01	8.86E-01
ceramide metabolic process (GO:0006672)	5	+	4.69E-01	8.84E-01
response to organonitrogen compound (GO:0010243)	5	+	4.69E-01	8.82E-01
metal ion transport (GO:0030001)	21	+	4.89E-01	9.18E-01
regulation of mRNA processing (GO:0050684)	2	+	4.91E-01	9.22E-01
reproductive process (GO:0022414)	6	-	4.97E-01	9.31E-01
reproduction (GO:0000003)	6	-	4.97E-01	9.29E-01
inorganic ion transmembrane transport (GO:0098660)	20	+	4.99E-01	9.31E-01
intracellular transport (GO:0046907)	45	-	5.01E-01	9.33E-01
membrane lipid metabolic process (GO:0006643)	9	+	5.05E-01	9.40E-01
phospholipid biosynthetic process (GO:0008654)	6	+	5.08E-01	9.42E-01
cellular metabolic process (GO:0044237)	419	+	5.08E-01	9.42E-01
multicellular organismal process (GO:0032501)	10	-	5.09E-01	9.41E-01
multicellular organism development (GO:0007275)	10	-	5.09E-01	9.40E-01
response to salt stress (GO:0009651)	2	+	5.19E-01	9.57E-01
nucleosome assembly (GO:0006334)	2	+	5.19E-01	9.56E-01
nucleosome organization (GO:0034728)	2	+	5.19E-01	9.54E-01
dicarboxylic acid metabolic process (GO:0043648)	8	+	5.22E-01	9.57E-01
post-Golgi vesicle-mediated transport (GO:0006892)	6	-	5.23E-01	9.58E-01
establishment of protein localization to membrane (GO:0090150)	11	-	5.29E-01	9.67E-01
export from cell (GO:0140352)	11	-	5.29E-01	9.65E-01
fatty acid biosynthetic process (GO:0006633)	4	+	5.33E-01	9.70E-01
lipid biosynthetic process (GO:0008610)	33	+	5.34E-01	9.70E-01
mitochondrial translation (GO:0032543)	1	-	5.36E-01	9.72E-01
mRNA export from nucleus (GO:0006406)	1	-	5.36E-01	9.70E-01
positive regulation of multicellular organismal process (GO:0051240)	1	-	5.36E-01	9.69E-01
membrane protein proteolysis (GO:0033619)	1	-	5.36E-01	9.67E-01
mitochondrial cytochrome c oxidase assembly (GO:0033617)	1	-	5.36E-01	9.65E-01
inorganic anion transmembrane transport (GO:0098661)	1	-	5.36E-01	9.64E-01
vacuolar acidification (GO:0007035)	1	-	5.36E-01	9.62E-01
endosome organization (GO:0007032)	1	-	5.36E-01	9.60E-01
signal transduction in response to DNA damage (GO:0042770)	1	-	5.36E-01	9.59E-01
protein insertion into membrane (GO:0051205)	1	-	5.36E-01	9.57E-01
mitochondrial calcium ion homeostasis (GO:0051560)	1	-	5.36E-01	9.55E-01
mitochondrial mRNA modification (GO:0080156)	1	-	5.36E-01	9.54E-01
regulation of circadian rhythm (GO:0042752)	1	-	5.36E-01	9.52E-01
base-excision repair (GO:0006284)	1	-	5.36E-01	9.50E-01
leucine biosynthetic process (GO:0009098)	1	-	5.36E-01	9.49E-01
defense response to bacterium (GO:0042742)	1	-	5.36E-01	9.47E-01
regulation of dephosphorylation (GO:0035303)	1	-	5.36E-01	9.46E-01
tissue development (GO:0009888)	1	-	5.36E-01	9.44E-01
protein localization to extracellular region (GO:0071692)	1	-	5.36E-01	9.42E-01
DNA replication initiation (GO:0006270)	1	-	5.36E-01	9.41E-01
immune system process (GO:0002376)	1	-	5.36E-01	9.39E-01
regulation of cellular response to stress (GO:0080135)	1	-	5.36E-01	9.38E-01
mitochondrial DNA metabolic process (GO:0032042)	1	-	5.36E-01	9.36E-01
glycogen metabolic process (GO:0005977)	1	-	5.36E-01	9.34E-01
positive regulation of developmental process (GO:0051094)	1	-	5.36E-01	9.33E-01
negative regulation of DNA-templated transcription (GO:0045892)	1	-	5.36E-01	9.31E-01
Golgi to plasma membrane protein transport (GO:0043001)	1	-	5.36E-01	9.30E-01
organic hydroxy compound transport (GO:0015850)	1	-	5.36E-01	9.28E-01
purine nucleoside metabolic process (GO:0042278)	1	-	5.36E-01	9.27E-01
mitochondrial respiratory chain complex assembly (GO:0033108)	1	-	5.36E-01	9.25E-01
miRNA processing (GO:0035196)	1	-	5.36E-01	9.24E-01
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972)	1	-	5.36E-01	9.22E-01
innate immune response (GO:0045087)	1	-	5.36E-01	9.20E-01
intracellular lipid transport (GO:0032365)	1	-	5.36E-01	9.19E-01
carotenoid biosynthetic process (GO:0016117)	1	-	5.36E-01	9.17E-01
cell migration (GO:0016477)	1	-	5.36E-01	9.16E-01
pigment biosynthetic process (GO:0046148)	1	-	5.36E-01	9.14E-01
mitotic DNA integrity checkpoint signaling (GO:0044774)	1	-	5.36E-01	9.13E-01
mitotic DNA damage checkpoint signaling (GO:0044773)	1	-	5.36E-01	9.11E-01
unidimensional cell growth (GO:0009826)	1	-	5.36E-01	9.10E-01
positive regulation of mitotic nuclear division (GO:0045840)	1	-	5.36E-01	9.08E-01
defense response to symbiont (GO:0140546)	1	-	5.36E-01	9.07E-01
protein K63-linked deubiquitination (GO:0070536)	1	-	5.36E-01	9.05E-01
protein localization to Golgi apparatus (GO:0034067)	1	-	5.36E-01	9.04E-01
protein insertion into mitochondrial inner membrane (GO:0045039)	1	-	5.36E-01	9.02E-01
protein localization to cell periphery (GO:1990778)	1	-	5.36E-01	9.01E-01
negative regulation of transcription by RNA polymerase II (GO:0000122)	1	-	5.36E-01	8.99E-01
mRNA transport (GO:0051028)	1	-	5.36E-01	8.98E-01
glycerophospholipid catabolic process (GO:0046475)	1	-	5.36E-01	8.97E-01
kinetochore organization (GO:0051383)	1	-	5.36E-01	8.95E-01
negative regulation of cell cycle G2/M phase transition (GO:1902750)	1	-	5.36E-01	8.94E-01
reciprocal homologous recombination (GO:0140527)	1	-	5.36E-01	8.92E-01
circadian rhythm (GO:0007623)	1	-	5.36E-01	8.91E-01
reticulophagy (GO:0061709)	1	-	5.36E-01	8.89E-01
vesicle targeting, to, from or within Golgi (GO:0048199)	1	-	5.36E-01	8.88E-01
cell morphogenesis (GO:0000902)	1	-	5.36E-01	8.87E-01
glycosyl compound catabolic process (GO:1901658)	1	-	5.36E-01	8.85E-01
glycosyl compound metabolic process (GO:1901657)	1	-	5.36E-01	8.84E-01
maturation of 5.8S rRNA (GO:0000460)	1	-	5.36E-01	8.82E-01
arginine metabolic process (GO:0006525)	1	-	5.36E-01	8.81E-01
jasmonic acid metabolic process (GO:0009694)	1	-	5.36E-01	8.79E-01
DNA integrity checkpoint signaling (GO:0031570)	1	-	5.36E-01	8.78E-01
cytoplasmic translational initiation (GO:0002183)	1	-	5.36E-01	8.77E-01
establishment or maintenance of cell polarity (GO:0007163)	1	-	5.36E-01	8.75E-01
intracellular iron ion homeostasis (GO:0006879)	1	-	5.36E-01	8.74E-01
tRNA methylation (GO:0030488)	1	-	5.36E-01	8.73E-01
programmed cell death (GO:0012501)	1	-	5.36E-01	8.71E-01
pseudouridine synthesis (GO:0001522)	1	-	5.36E-01	8.70E-01
growth (GO:0040007)	1	-	5.36E-01	8.68E-01
amide transport (GO:0042886)	1	-	5.36E-01	8.67E-01
protein secretion (GO:0009306)	1	-	5.36E-01	8.66E-01
reciprocal meiotic recombination (GO:0007131)	1	-	5.36E-01	8.64E-01
cell death (GO:0008219)	1	-	5.36E-01	8.63E-01
protein K48-linked deubiquitination (GO:0071108)	1	-	5.36E-01	8.62E-01
UDP-N-acetylglucosamine metabolic process (GO:0006047)	1	-	5.36E-01	8.60E-01
anatomical structure morphogenesis (GO:0009653)	1	-	5.36E-01	8.59E-01
meiosis I (GO:0007127)	1	-	5.36E-01	8.58E-01
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	1	-	5.36E-01	8.56E-01
dicarboxylic acid transport (GO:0006835)	1	-	5.36E-01	8.55E-01
metaphase chromosome alignment (GO:0051310)	1	-	5.36E-01	8.54E-01
mitochondrial transcription (GO:0006390)	1	-	5.36E-01	8.52E-01
mitotic nuclear division (GO:0140014)	1	-	5.36E-01	8.51E-01
establishment of chromosome localization (GO:0051303)	1	-	5.36E-01	8.50E-01
cytochrome complex assembly (GO:0017004)	1	-	5.36E-01	8.48E-01
monoatomic anion transport (GO:0006820)	1	-	5.36E-01	8.47E-01
chloroplast RNA modification (GO:1900865)	1	-	5.36E-01	8.46E-01
mitochondrial RNA modification (GO:1900864)	1	-	5.36E-01	8.45E-01
aminoglycan metabolic process (GO:0006022)	1	-	5.36E-01	8.43E-01
adenosine to inosine editing (GO:0006382)	1	-	5.36E-01	8.42E-01
establishment of vesicle localization (GO:0051650)	1	-	5.36E-01	8.41E-01
siRNA processing (GO:0030422)	1	-	5.36E-01	8.39E-01
protein-containing complex localization (GO:0031503)	1	-	5.36E-01	8.38E-01
vesicle localization (GO:0051648)	1	-	5.36E-01	8.37E-01
respiratory chain complex IV assembly (GO:0008535)	1	-	5.36E-01	8.36E-01
response to bacterium (GO:0009617)	1	-	5.36E-01	8.34E-01
response to wounding (GO:0009611)	1	-	5.36E-01	8.33E-01
regulation of membrane potential (GO:0042391)	1	-	5.36E-01	8.32E-01
primary miRNA processing (GO:0031053)	1	-	5.36E-01	8.31E-01
regulation of chromosome separation (GO:1905818)	1	-	5.36E-01	8.29E-01
COPII-coated vesicle budding (GO:0090114)	1	-	5.36E-01	8.28E-01
double-strand break repair via break-induced replication (GO:0000727)	1	-	5.36E-01	8.27E-01
telomere maintenance (GO:0000723)	1	-	5.36E-01	8.26E-01
nucleoside catabolic process (GO:0009164)	1	-	5.36E-01	8.24E-01
nucleobase-containing small molecule catabolic process (GO:0034656)	1	-	5.36E-01	8.23E-01
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	1	-	5.36E-01	8.22E-01
nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289)	1	-	5.36E-01	8.21E-01
ribonucleoside monophosphate metabolic process (GO:0009161)	1	-	5.36E-01	8.20E-01
regulation of chromosome segregation (GO:0051983)	1	-	5.36E-01	8.18E-01
microautophagy (GO:0016237)	1	-	5.36E-01	8.17E-01
regulation of mitotic sister chromatid separation (GO:0010965)	1	-	5.36E-01	8.16E-01
negative regulation of molecular function (GO:0044092)	1	-	5.36E-01	8.15E-01
microtubule organizing center organization (GO:0031023)	1	-	5.36E-01	8.14E-01
fruit development (GO:0010154)	1	-	5.36E-01	8.12E-01
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	1	-	5.36E-01	8.11E-01
mitochondrial protein processing (GO:0034982)	1	-	5.36E-01	8.10E-01
endocytic recycling (GO:0032456)	1	-	5.36E-01	8.09E-01
mitotic recombination (GO:0006312)	1	-	5.36E-01	8.08E-01
sterol transport (GO:0015918)	1	-	5.36E-01	8.06E-01
nucleoside monophosphate metabolic process (GO:0009123)	1	-	5.36E-01	8.05E-01
double-strand break repair via nonhomologous end joining (GO:0006303)	1	-	5.36E-01	8.04E-01
protein import into peroxisome matrix (GO:0016558)	1	-	5.36E-01	8.03E-01
mRNA modification (GO:0016556)	1	-	5.36E-01	8.02E-01
long-chain fatty acid transport (GO:0015909)	1	-	5.36E-01	8.01E-01
fatty acid transport (GO:0015908)	1	-	5.36E-01	7.99E-01
nucleoside metabolic process (GO:0009116)	1	-	5.36E-01	7.98E-01
long-chain fatty acid metabolic process (GO:0001676)	1	-	5.36E-01	7.97E-01
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1	-	5.36E-01	7.96E-01
chromosome organization involved in meiotic cell cycle (GO:0070192)	1	-	5.36E-01	7.95E-01
positive regulation of mitotic cell cycle (GO:0045931)	1	-	5.36E-01	7.94E-01
regulation of defense response (GO:0031347)	1	-	5.36E-01	7.93E-01
meiotic chromosome segregation (GO:0045132)	1	-	5.36E-01	7.91E-01
defense response to fungus (GO:0050832)	1	-	5.36E-01	7.90E-01
establishment of protein localization to extracellular region (GO:0035592)	1	-	5.36E-01	7.89E-01
protein stabilization (GO:0050821)	1	-	5.36E-01	7.88E-01
mitotic G2/M transition checkpoint (GO:0044818)	1	-	5.36E-01	7.87E-01
regulation of sister chromatid segregation (GO:0033045)	1	-	5.36E-01	7.86E-01
regulation of chromosome organization (GO:0033044)	1	-	5.36E-01	7.85E-01
intracellular pH reduction (GO:0051452)	1	-	5.36E-01	7.84E-01
nucleotide-sugar transmembrane transport (GO:0015780)	1	-	5.36E-01	7.82E-01
chromosome localization (GO:0050000)	1	-	5.36E-01	7.81E-01
regulation of meiotic cell cycle (GO:0051445)	1	-	5.36E-01	7.80E-01
intermembrane lipid transfer (GO:0120009)	1	-	5.36E-01	7.79E-01
immune response (GO:0006955)	1	-	5.36E-01	7.78E-01
glycosaminoglycan metabolic process (GO:0030203)	1	-	5.36E-01	7.77E-01
cell growth (GO:0016049)	1	-	5.36E-01	7.76E-01
purine nucleoside catabolic process (GO:0006152)	1	-	5.36E-01	7.75E-01
protein localization to plasma membrane (GO:0072659)	1	-	5.36E-01	7.74E-01
purine nucleobase metabolic process (GO:0006144)	1	-	5.36E-01	7.73E-01
glycerolipid catabolic process (GO:0046503)	1	-	5.36E-01	7.72E-01
succinate transport (GO:0015744)	1	-	5.36E-01	7.70E-01
DNA damage checkpoint signaling (GO:0000077)	1	-	5.36E-01	7.69E-01
rRNA base methylation (GO:0070475)	1	-	5.36E-01	7.68E-01
C4-dicarboxylate transport (GO:0015740)	1	-	5.36E-01	7.67E-01
cell cycle checkpoint signaling (GO:0000075)	1	-	5.36E-01	7.66E-01
