




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	moderate_OB2GO_for_PANTHER.Overrep.txt (Oryza sativa)
Reference List:	Oryza sativa (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Molecular Function	Oryza sativa - REFLIST (43658)	moderate_OB2GO_for_PANTHER.Overrep.txt (193)	moderate_OB2GO_for_PANTHER.Overrep.txt (expected)	moderate_OB2GO_for_PANTHER.Overrep.txt (over/under)	moderate_OB2GO_for_PANTHER.Overrep.txt (fold Enrichment)	moderate_OB2GO_for_PANTHER.Overrep.txt (raw P-value)	moderate_OB2GO_for_PANTHER.Overrep.txt (FDR)
endopeptidase inhibitor activity (GO:0004866)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
endopeptidase regulator activity (GO:0061135)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
protein serine/threonine phosphatase inhibitor activity (GO:0004865)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidase regulator activity (GO:0061134)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
protein phosphatase inhibitor activity (GO:0004864)	29	0	.13	-	 < 0.01	1.00E00	1.00E00
antioxidant activity (GO:0016209)	104	0	.46	-	 < 0.01	1.00E00	1.00E00
metal ion binding (GO:0046872)	165	0	.73	-	 < 0.01	1.00E00	1.00E00
protein kinase inhibitor activity (GO:0004860)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acid-CoA ligase activity (GO:0004467)	10	0	.04	-	 < 0.01	1.00E00	1.00E00
actin monomer binding (GO:0003785)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
G protein-coupled receptor binding (GO:0001664)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
tetrapyrrole binding (GO:0046906)	14	0	.06	-	 < 0.01	1.00E00	1.00E00
3'-5'-DNA exonuclease activity (GO:0008296)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA-binding transcription factor activity, RNA polymerase II-specific (GO:0000981)	213	0	.94	-	 < 0.01	1.00E00	1.00E00
sodium ion transmembrane transporter activity (GO:0015081)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylcholine binding (GO:0031210)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
steroid binding (GO:0005496)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
peptide transmembrane transporter activity (GO:1904680)	9	0	.04	-	 < 0.01	1.00E00	1.00E00
microtubule motor activity (GO:0003777)	30	0	.13	-	 < 0.01	1.00E00	1.00E00
iron-sulfur cluster binding (GO:0051536)	17	0	.08	-	 < 0.01	1.00E00	1.00E00
GTPase activator activity (GO:0005096)	24	0	.11	-	 < 0.01	1.00E00	1.00E00
metal cation:proton antiporter activity (GO:0051139)	16	0	.07	-	 < 0.01	1.00E00	1.00E00
nitrate transmembrane transporter activity (GO:0015112)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
proton transmembrane transporter activity (GO:0015078)	67	0	.30	-	 < 0.01	1.00E00	1.00E00
protein transmembrane transporter activity (GO:0008320)	36	0	.16	-	 < 0.01	1.00E00	1.00E00
ligand-gated monoatomic cation channel activity (GO:0099094)	10	0	.04	-	 < 0.01	1.00E00	1.00E00
ATP binding (GO:0005524)	29	0	.13	-	 < 0.01	1.00E00	1.00E00
cysteine-type deubiquitinase activity (GO:0004843)	49	0	.22	-	 < 0.01	1.00E00	1.00E00
SNAP receptor activity (GO:0005484)	35	0	.15	-	 < 0.01	1.00E00	1.00E00
3'-5'-RNA exonuclease activity (GO:0000175)	28	0	.12	-	 < 0.01	1.00E00	1.00E00
modification-dependent protein binding (GO:0140030)	25	0	.11	-	 < 0.01	1.00E00	1.00E00
chloride transmembrane transporter activity (GO:0015108)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
guanyl-nucleotide exchange factor activity (GO:0005085)	12	0	.05	-	 < 0.01	1.00E00	1.00E00
inorganic anion transmembrane transporter activity (GO:0015103)	17	0	.08	-	 < 0.01	1.00E00	1.00E00
organic cation transmembrane transporter activity (GO:0015101)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
protein methyltransferase activity (GO:0008276)	50	0	.22	-	 < 0.01	1.00E00	1.00E00
snoRNA binding (GO:0030515)	25	0	.11	-	 < 0.01	1.00E00	1.00E00
protein-folding chaperone binding (GO:0051087)	41	0	.18	-	 < 0.01	1.00E00	1.00E00
calmodulin binding (GO:0005516)	44	0	.19	-	 < 0.01	1.00E00	1.00E00
zinc ion binding (GO:0008270)	34	0	.15	-	 < 0.01	1.00E00	1.00E00
DNA exonuclease activity, producing 5'-phosphomonoesters (GO:0016895)	15	0	.07	-	 < 0.01	1.00E00	1.00E00
Hsp90 protein binding (GO:0051879)	12	0	.05	-	 < 0.01	1.00E00	1.00E00
protein disulfide isomerase activity (GO:0003756)	11	0	.05	-	 < 0.01	1.00E00	1.00E00
peptidyl-prolyl cis-trans isomerase activity (GO:0003755)	33	0	.15	-	 < 0.01	1.00E00	1.00E00
cell adhesion molecule binding (GO:0050839)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
thiosulfate sulfurtransferase activity (GO:0004792)	13	0	.06	-	 < 0.01	1.00E00	1.00E00
hexokinase activity (GO:0004396)	12	0	.05	-	 < 0.01	1.00E00	1.00E00
metalloaminopeptidase activity (GO:0070006)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
calcium ion binding (GO:0005509)	71	0	.31	-	 < 0.01	1.00E00	1.00E00
copper ion binding (GO:0005507)	18	0	.08	-	 < 0.01	1.00E00	1.00E00
iron ion binding (GO:0005506)	11	0	.05	-	 < 0.01	1.00E00	1.00E00
fatty acid binding (GO:0005504)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
ATP hydrolysis activity (GO:0016887)	59	0	.26	-	 < 0.01	1.00E00	1.00E00
SUMO binding (GO:0032183)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
ubiquitin-like protein binding (GO:0032182)	49	0	.22	-	 < 0.01	1.00E00	1.00E00
hormone binding (GO:0042562)	22	0	.10	-	 < 0.01	1.00E00	1.00E00
translation elongation factor activity (GO:0003746)	20	0	.09	-	 < 0.01	1.00E00	1.00E00
signaling receptor binding (GO:0005102)	27	0	.12	-	 < 0.01	1.00E00	1.00E00
telomeric DNA binding (GO:0042162)	11	0	.05	-	 < 0.01	1.00E00	1.00E00
helicase activity (GO:0004386)	64	0	.28	-	 < 0.01	1.00E00	1.00E00
RNA polymerase activity (GO:0097747)	40	0	.18	-	 < 0.01	1.00E00	1.00E00
5'-nucleotidase activity (GO:0008253)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleotidase activity (GO:0008252)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
tRNA-specific adenosine deaminase activity (GO:0008251)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
ligase activity, forming carbon-sulfur bonds (GO:0016877)	37	0	.16	-	 < 0.01	1.00E00	1.00E00
ligase activity (GO:0016874)	156	0	.69	-	 < 0.01	1.00E00	1.00E00
structural constituent of ribosome (GO:0003735)	220	0	.97	-	 < 0.01	1.00E00	1.00E00
rRNA methyltransferase activity (GO:0008649)	13	0	.06	-	 < 0.01	1.00E00	1.00E00
mRNA 3'-UTR binding (GO:0003730)	13	0	.06	-	 < 0.01	1.00E00	1.00E00
single-stranded DNA binding (GO:0003697)	37	0	.16	-	 < 0.01	1.00E00	1.00E00
disulfide oxidoreductase activity (GO:0015036)	27	0	.12	-	 < 0.01	1.00E00	1.00E00
protein-disulfide reductase activity (GO:0015035)	21	0	.09	-	 < 0.01	1.00E00	1.00E00
triglyceride lipase activity (GO:0004806)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
intramolecular transferase activity (GO:0016866)	35	0	.15	-	 < 0.01	1.00E00	1.00E00
histone deacetylase activity (GO:0004407)	15	0	.07	-	 < 0.01	1.00E00	1.00E00
peptidase activator activity (GO:0016504)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
single-stranded RNA binding (GO:0003727)	21	0	.09	-	 < 0.01	1.00E00	1.00E00
double-stranded RNA binding (GO:0003725)	10	0	.04	-	 < 0.01	1.00E00	1.00E00
histone acetyltransferase activity (GO:0004402)	13	0	.06	-	 < 0.01	1.00E00	1.00E00
signal sequence binding (GO:0005048)	32	0	.14	-	 < 0.01	1.00E00	1.00E00
DNA replication origin binding (GO:0003688)	9	0	.04	-	 < 0.01	1.00E00	1.00E00
pyrophosphatase activity (GO:0016462)	213	0	.94	-	 < 0.01	1.00E00	1.00E00
damaged DNA binding (GO:0003684)	21	0	.09	-	 < 0.01	1.00E00	1.00E00
adenosine deaminase activity (GO:0004000)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
metallopeptidase activity (GO:0008237)	33	0	.15	-	 < 0.01	1.00E00	1.00E00
metalloexopeptidase activity (GO:0008235)	11	0	.05	-	 < 0.01	1.00E00	1.00E00
cysteine-type peptidase activity (GO:0008234)	125	0	.55	-	 < 0.01	1.00E00	1.00E00
ferrous iron binding (GO:0008198)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
racemase and epimerase activity, acting on carbohydrates and derivatives (GO:0016857)	20	0	.09	-	 < 0.01	1.00E00	1.00E00
alcohol binding (GO:0043178)	26	0	.11	-	 < 0.01	1.00E00	1.00E00
organic acid binding (GO:0043177)	32	0	.14	-	 < 0.01	1.00E00	1.00E00
isomerase activity (GO:0016853)	134	0	.59	-	 < 0.01	1.00E00	1.00E00
RNA polymerase core enzyme binding (GO:0043175)	18	0	.08	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I transcription regulatory region sequence-specific DNA binding (GO:0001163)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
transcription corepressor activity (GO:0003714)	9	0	.04	-	 < 0.01	1.00E00	1.00E00
transcription coactivator activity (GO:0003713)	20	0	.09	-	 < 0.01	1.00E00	1.00E00
heat shock protein binding (GO:0031072)	17	0	.08	-	 < 0.01	1.00E00	1.00E00
DNA helicase activity (GO:0003678)	25	0	.11	-	 < 0.01	1.00E00	1.00E00
lipid transfer activity (GO:0120013)	13	0	.06	-	 < 0.01	1.00E00	1.00E00
amide transmembrane transporter activity (GO:0042887)	13	0	.06	-	 < 0.01	1.00E00	1.00E00
phosphorus-oxygen lyase activity (GO:0016849)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
cation binding (GO:0043169)	171	0	.76	-	 < 0.01	1.00E00	1.00E00
sterol binding (GO:0032934)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
plus-end-directed microtubule motor activity (GO:0008574)	10	0	.04	-	 < 0.01	1.00E00	1.00E00
deaminase activity (GO:0019239)	11	0	.05	-	 < 0.01	1.00E00	1.00E00
tRNA methyltransferase activity (GO:0008175)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
heme binding (GO:0020037)	13	0	.06	-	 < 0.01	1.00E00	1.00E00
RNA methyltransferase activity (GO:0008173)	25	0	.11	-	 < 0.01	1.00E00	1.00E00
ATPase-coupled intramembrane lipid transporter activity (GO:0140326)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
peptidase inhibitor activity (GO:0030414)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
N-methyltransferase activity (GO:0008170)	38	0	.17	-	 < 0.01	1.00E00	1.00E00
alpha-glucosidase activity (GO:0090599)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
carboxy-lyase activity (GO:0016831)	44	0	.19	-	 < 0.01	1.00E00	1.00E00
carbon-carbon lyase activity (GO:0016830)	72	0	.32	-	 < 0.01	1.00E00	1.00E00
exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters (GO:0016796)	48	0	.21	-	 < 0.01	1.00E00	1.00E00
single-stranded DNA helicase activity (GO:0017116)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
pre-mRNA binding (GO:0036002)	13	0	.06	-	 < 0.01	1.00E00	1.00E00
rRNA (guanine) methyltransferase activity (GO:0016435)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
rRNA (adenine) methyltransferase activity (GO:0016433)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
ribonucleoside triphosphate phosphatase activity (GO:0017111)	180	0	.80	-	 < 0.01	1.00E00	1.00E00
thiolester hydrolase activity (GO:0016790)	27	0	.12	-	 < 0.01	1.00E00	1.00E00
water transmembrane transporter activity (GO:0005372)	22	0	.10	-	 < 0.01	1.00E00	1.00E00
cyclin-dependent protein serine/threonine kinase activity (GO:0004693)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleoside diphosphate phosphatase activity (GO:0017110)	11	0	.05	-	 < 0.01	1.00E00	1.00E00
secondary active monocarboxylate transmembrane transporter activity (GO:0015355)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3,5-bisphosphate phosphatase activity (GO:0106018)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
protein kinase A binding (GO:0051018)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase binding (GO:0043548)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
molecular function activator activity (GO:0140677)	57	0	.25	-	 < 0.01	1.00E00	1.00E00
microtubule plus-end binding (GO:0051010)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
protein tyrosine phosphatase activity (GO:0004725)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
basal RNA polymerase II transcription machinery binding (GO:0001099)	20	0	.09	-	 < 0.01	1.00E00	1.00E00
oligopeptide transmembrane transporter activity (GO:0035673)	9	0	.04	-	 < 0.01	1.00E00	1.00E00
basal transcription machinery binding (GO:0001098)	20	0	.09	-	 < 0.01	1.00E00	1.00E00
sulfurtransferase activity (GO:0016783)	17	0	.08	-	 < 0.01	1.00E00	1.00E00
snRNA binding (GO:0017069)	12	0	.05	-	 < 0.01	1.00E00	1.00E00
protein kinase A regulatory subunit binding (GO:0034237)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
protein serine/threonine kinase activator activity (GO:0043539)	9	0	.04	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818)	213	0	.94	-	 < 0.01	1.00E00	1.00E00
deacetylase activity (GO:0019213)	15	0	.07	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on acid anhydrides (GO:0016817)	215	0	.95	-	 < 0.01	1.00E00	1.00E00
phosphatase inhibitor activity (GO:0019212)	29	0	.13	-	 < 0.01	1.00E00	1.00E00
3'-5' DNA helicase activity (GO:0043138)	12	0	.05	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines (GO:0016814)	14	0	.06	-	 < 0.01	1.00E00	1.00E00
protein-membrane adaptor activity (GO:0043495)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides (GO:0016812)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides (GO:0016811)	32	0	.14	-	 < 0.01	1.00E00	1.00E00
nucleotidyltransferase activity (GO:0016779)	110	0	.49	-	 < 0.01	1.00E00	1.00E00
protein tyrosine kinase activity (GO:0004713)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds (GO:0016810)	59	0	.26	-	 < 0.01	1.00E00	1.00E00
phosphotransferase activity, phosphate group as acceptor (GO:0016776)	24	0	.11	-	 < 0.01	1.00E00	1.00E00
ubiquitin binding (GO:0043130)	43	0	.19	-	 < 0.01	1.00E00	1.00E00
tRNA binding (GO:0000049)	11	0	.05	-	 < 0.01	1.00E00	1.00E00
N-acyltransferase activity (GO:0016410)	28	0	.12	-	 < 0.01	1.00E00	1.00E00
structural constituent of nuclear pore (GO:0017056)	9	0	.04	-	 < 0.01	1.00E00	1.00E00
histone methyltransferase activity (GO:0042054)	33	0	.15	-	 < 0.01	1.00E00	1.00E00
kinase activator activity (GO:0019209)	15	0	.07	-	 < 0.01	1.00E00	1.00E00
phosphatase regulator activity (GO:0019208)	40	0	.18	-	 < 0.01	1.00E00	1.00E00
peptide-lysine-N-acetyltransferase activity (GO:0061733)	15	0	.07	-	 < 0.01	1.00E00	1.00E00
solute:proton symporter activity (GO:0015295)	11	0	.05	-	 < 0.01	1.00E00	1.00E00
solute:monoatomic cation symporter activity (GO:0015294)	11	0	.05	-	 < 0.01	1.00E00	1.00E00
symporter activity (GO:0015293)	11	0	.05	-	 < 0.01	1.00E00	1.00E00
poly(A) binding (GO:0008143)	10	0	.04	-	 < 0.01	1.00E00	1.00E00
MAP kinase kinase kinase activity (GO:0004709)	10	0	.04	-	 < 0.01	1.00E00	1.00E00
carbohydrate kinase activity (GO:0019200)	30	0	.13	-	 < 0.01	1.00E00	1.00E00
palmitoyltransferase activity (GO:0016409)	37	0	.16	-	 < 0.01	1.00E00	1.00E00
cyclase activity (GO:0009975)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
pentosyltransferase activity (GO:0016763)	36	0	.16	-	 < 0.01	1.00E00	1.00E00
UDP-xylosyltransferase activity (GO:0035252)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
mannosyltransferase activity (GO:0000030)	17	0	.08	-	 < 0.01	1.00E00	1.00E00
peptide N-acetyltransferase activity (GO:0034212)	17	0	.08	-	 < 0.01	1.00E00	1.00E00
UDP-galactosyltransferase activity (GO:0035250)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
sugar-phosphatase activity (GO:0050308)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
transcription factor binding (GO:0008134)	17	0	.08	-	 < 0.01	1.00E00	1.00E00
histone demethylase activity (GO:0032452)	11	0	.05	-	 < 0.01	1.00E00	1.00E00
demethylase activity (GO:0032451)	13	0	.06	-	 < 0.01	1.00E00	1.00E00
ATP-dependent activity, acting on DNA (GO:0008094)	59	0	.26	-	 < 0.01	1.00E00	1.00E00
monosaccharide binding (GO:0048029)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
GTPase regulator activity (GO:0030695)	45	0	.20	-	 < 0.01	1.00E00	1.00E00
prenyltransferase activity (GO:0004659)	27	0	.12	-	 < 0.01	1.00E00	1.00E00
nucleoside transmembrane transporter activity (GO:0005337)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
proteasome binding (GO:0070628)	12	0	.05	-	 < 0.01	1.00E00	1.00E00
cyclin binding (GO:0030332)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
histone binding (GO:0042393)	38	0	.17	-	 < 0.01	1.00E00	1.00E00
protein kinase activator activity (GO:0030295)	15	0	.07	-	 < 0.01	1.00E00	1.00E00
serine-type endopeptidase activity (GO:0004252)	36	0	.16	-	 < 0.01	1.00E00	1.00E00
carboxylic acid binding (GO:0031406)	32	0	.14	-	 < 0.01	1.00E00	1.00E00
transaminase activity (GO:0008483)	38	0	.17	-	 < 0.01	1.00E00	1.00E00
histone modifying activity (GO:0140993)	72	0	.32	-	 < 0.01	1.00E00	1.00E00
translation initiation factor binding (GO:0031369)	11	0	.05	-	 < 0.01	1.00E00	1.00E00
receptor ligand activity (GO:0048018)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
N-acetyltransferase activity (GO:0008080)	24	0	.11	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III activity (GO:0001056)	15	0	.07	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II activity (GO:0001055)	15	0	.07	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I activity (GO:0001054)	15	0	.07	-	 < 0.01	1.00E00	1.00E00
TBP-class protein binding (GO:0017025)	10	0	.04	-	 < 0.01	1.00E00	1.00E00
signaling adaptor activity (GO:0035591)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
myosin binding (GO:0017022)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
SUMO ligase activity (GO:0061665)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
lipid transporter activity (GO:0005319)	35	0	.15	-	 < 0.01	1.00E00	1.00E00
nucleoside-triphosphatase regulator activity (GO:0060589)	45	0	.20	-	 < 0.01	1.00E00	1.00E00
four-way junction DNA binding (GO:0000400)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
core promoter sequence-specific DNA binding (GO:0001046)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
voltage-gated monoatomic cation channel activity (GO:0022843)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
L-glutamate transmembrane transporter activity (GO:0005313)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
NADH dehydrogenase activity (GO:0003954)	14	0	.06	-	 < 0.01	1.00E00	1.00E00
monoatomic anion transmembrane transporter activity (GO:0008509)	11	0	.05	-	 < 0.01	1.00E00	1.00E00
peptide alpha-N-acetyltransferase activity (GO:0004596)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
adenylyltransferase activity (GO:0070566)	11	0	.05	-	 < 0.01	1.00E00	1.00E00
protein phosphatase regulator activity (GO:0019888)	40	0	.18	-	 < 0.01	1.00E00	1.00E00
deubiquitinase activity (GO:0101005)	66	0	.29	-	 < 0.01	1.00E00	1.00E00
cysteine-type endopeptidase activity (GO:0004197)	50	0	.22	-	 < 0.01	1.00E00	1.00E00
ubiquitin-like protein ligase activity (GO:0061659)	218	0	.96	-	 < 0.01	1.00E00	1.00E00
