Analysis Type:	PANTHER Enrichment Test (release 20231017)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	moderate_OB2GO_for_PANTHER.clean.uniq.txt (Oryza sativa)	There are duplicate IDs in the file.   For duplicates, the first id/value pair in the file will be used.
Correction:	FDR
PANTHER GO-Slim Molecular Function	number	overUnder	pvalue	fdr
sequence-specific DNA binding (GO:0043565)	75	-	6.78E-01	9.15E-01
sequence-specific double-stranded DNA binding (GO:1990837)	57	-	4.17E-01	7.03E-01
serine hydrolase activity (GO:0017171)	11	+	5.73E-01	8.51E-01
serine-type endopeptidase activity (GO:0004252)	7	-	3.40E-01	7.82E-01
signal sequence binding (GO:0005048)	6	-	8.92E-01	9.70E-01
signaling receptor activity (GO:0038023)	5	+	2.64E-02	4.59E-01
signaling receptor binding (GO:0005102)	2	-	9.84E-01	9.93E-01
single-stranded DNA binding (GO:0003697)	6	-	1.02E-01	7.77E-01
single-stranded DNA helicase activity (GO:0017116)	1	-	3.85E-01	7.35E-01
single-stranded RNA binding (GO:0003727)	3	-	1.33E-01	7.91E-01
single-stranded telomeric DNA binding (GO:0043047)	1	-	3.85E-01	8.21E-01
small GTPase binding (GO:0031267)	1	-	3.85E-01	7.87E-01
small molecule binding (GO:0036094)	64	-	3.97E-01	7.16E-01
SNAP receptor activity (GO:0005484)	9	-	5.05E-01	7.94E-01
SNARE binding (GO:0000149)	11	-	6.85E-01	9.17E-01
sodium ion transmembrane transporter activity (GO:0015081)	1	+	4.01E-01	6.89E-01
solute:monoatomic cation symporter activity (GO:0015294)	1	+	7.41E-01	8.88E-01
solute:proton symporter activity (GO:0015295)	1	+	7.41E-01	8.91E-01
steroid binding (GO:0005496)	2	+	8.69E-01	9.62E-01
sterol binding (GO:0032934)	2	+	8.69E-01	9.59E-01
sterol transporter activity (GO:0015248)	1	+	2.71E-01	6.92E-01
structural constituent of cytoskeleton (GO:0005200)	1	+	1.10E-01	7.72E-01
structural constituent of nuclear pore (GO:0017056)	1	-	3.85E-01	7.16E-01
structural constituent of ribosome (GO:0003735)	45	-	6.56E-03	2.86E-01
structural molecule activity (GO:0005198)	47	-	1.07E-02	3.57E-01
succinate transmembrane transporter activity (GO:0015141)	1	+	7.41E-01	9.24E-01
sugar transmembrane transporter activity (GO:0051119)	1	+	1.06E-01	7.71E-01
sulfotransferase activity (GO:0008146)	1	+	9.66E-02	7.78E-01
sulfurtransferase activity (GO:0016783)	2	-	7.04E-01	9.14E-01
SUMO binding (GO:0032183)	1	+	7.41E-01	9.03E-01
SUMO ligase activity (GO:0061665)	2	-	7.04E-01	9.08E-01
SUMO transferase activity (GO:0019789)	2	-	7.04E-01	9.27E-01
symporter activity (GO:0015293)	1	+	7.41E-01	8.86E-01
syntaxin binding (GO:0019905)	1	-	3.85E-01	8.17E-01
TBP-class protein binding (GO:0017025)	2	-	9.84E-01	9.89E-01
telomeric DNA binding (GO:0042162)	1	-	3.85E-01	7.65E-01
tetrapyrrole binding (GO:0046906)	4	-	9.81E-01	1.00E00
thiolester hydrolase activity (GO:0016790)	5	+	9.91E-01	9.93E-01
thiosulfate sulfurtransferase activity (GO:0004792)	2	-	7.04E-01	9.19E-01
transaminase activity (GO:0008483)	6	+	2.89E-02	4.83E-01
transcription cis-regulatory region binding (GO:0000976)	56	-	4.81E-01	7.72E-01
transcription coactivator activity (GO:0003713)	3	-	1.33E-01	7.80E-01
transcription coregulator activity (GO:0003712)	10	-	5.08E-01	7.95E-01
transcription corepressor activity (GO:0003714)	1	-	3.85E-01	7.38E-01
transcription factor binding (GO:0008134)	4	-	3.78E-01	8.26E-01
transcription regulator activity (GO:0140110)	86	+	9.27E-01	9.84E-01
transcription regulatory region nucleic acid binding (GO:0001067)	56	-	4.81E-01	7.69E-01
transferase activity (GO:0016740)	248	+	3.40E-01	7.78E-01
transferase activity, transferring alkyl or aryl (other than methyl) groups (GO:0016765)	16	+	2.29E-01	6.61E-01
transferase activity, transferring one-carbon groups (GO:0016741)	15	-	5.09E-01	7.88E-01
transferase activity, transferring phosphorus-containing groups (GO:0016772)	102	+	5.88E-01	8.62E-01
transferase activity, transferring sulphur-containing groups (GO:0016782)	3	+	5.17E-01	7.97E-01
transition metal ion binding (GO:0046914)	12	-	4.04E-01	6.86E-01
translation elongation factor activity (GO:0003746)	4	+	7.17E-01	9.15E-01
translation factor activity, RNA binding (GO:0008135)	12	+	6.46E-01	8.90E-01
translation initiation factor activity (GO:0003743)	7	+	9.92E-01	9.92E-01
translation initiation factor binding (GO:0031369)	2	-	2.19E-01	6.50E-01
translation regulator activity (GO:0045182)	12	+	6.46E-01	8.87E-01
translation regulator activity, nucleic acid binding (GO:0090079)	12	+	6.46E-01	8.93E-01
transmembrane transporter activity (GO:0022857)	81	+	4.08E-03	2.54E-01
transporter activity (GO:0005215)	86	+	1.53E-03	1.33E-01
tRNA binding (GO:0000049)	2	-	7.04E-01	9.11E-01
tRNA-specific adenosine deaminase activity (GO:0008251)	1	-	3.85E-01	7.62E-01
tubulin binding (GO:0015631)	9	+	6.21E-01	8.89E-01
ubiquitin binding (GO:0043130)	6	+	9.69E-01	9.97E-01
ubiquitin conjugating enzyme activity (GO:0061631)	3	+	3.66E-02	5.49E-01
ubiquitin ligase-substrate adaptor activity (GO:1990756)	1	-	3.85E-01	8.29E-01
ubiquitin protein ligase activity (GO:0061630)	31	-	1.78E-01	6.73E-01
ubiquitin protein ligase binding (GO:0031625)	4	+	3.55E-02	5.72E-01
ubiquitin-like protein binding (GO:0032182)	7	+	8.73E-01	9.56E-01
ubiquitin-like protein conjugating enzyme activity (GO:0061650)	3	+	3.66E-02	5.69E-01
ubiquitin-like protein conjugating enzyme binding (GO:0044390)	4	+	1.96E-01	6.95E-01
ubiquitin-like protein ligase activity (GO:0061659)	33	-	1.62E-01	7.12E-01
ubiquitin-like protein ligase binding (GO:0044389)	5	+	2.41E-02	4.56E-01
ubiquitin-like protein peptidase activity (GO:0019783)	13	+	7.21E-01	9.17E-01
ubiquitin-like protein transferase activity (GO:0019787)	43	-	5.09E-01	7.93E-01
ubiquitin-protein transferase activity (GO:0004842)	41	-	5.53E-01	8.35E-01
UDP-galactose transmembrane transporter activity (GO:0005459)	1	+	1.21E-01	7.61E-01
UDP-galactosyltransferase activity (GO:0035250)	1	+	2.71E-01	6.73E-01
UDP-glucosyltransferase activity (GO:0035251)	6	+	5.70E-01	8.49E-01
UDP-glycosyltransferase activity (GO:0008194)	9	+	1.56E-01	7.02E-01
Unclassified (UNCLASSIFIED)	1936	-	2.75E-01	6.79E-01
unfolded protein binding (GO:0051082)	9	+	6.35E-01	9.00E-01
voltage-gated channel activity (GO:0022832)	1	+	4.01E-01	7.15E-01
voltage-gated monoatomic cation channel activity (GO:0022843)	1	+	4.01E-01	6.84E-01
voltage-gated monoatomic ion channel activity (GO:0005244)	1	+	4.01E-01	7.03E-01
voltage-gated potassium channel activity (GO:0005249)	1	+	4.01E-01	7.06E-01
water transmembrane transporter activity (GO:0005372)	1	-	3.85E-01	7.29E-01
xylosyltransferase activity (GO:0042285)	3	+	8.62E-01	9.61E-01
zinc ion binding (GO:0008270)	6	-	3.47E-01	7.87E-01
