pair	dS	dN	t	kappa	omega	dN_SE	dS_SE
OB01G28720.1_OB07G22580.1	1.6709	0.5607	2.5780	1.5115	0.3356	0.0388	0.2705
OB01G28770.1_OB01G14320.1	1.8737	0.2505	1.4448	1.0650	0.1337	0.0176	0.4231
OB01G28770.1_OB03G45100.1	3.7142	0.3516	2.5099	0.8919	0.0947	0.0249	5.1867
OB01G28770.1_OB05G11250.1	4.1672	0.5241	3.9417	1.2703	0.1258	0.0320	6.9933
OB01G28770.1_OB05G11270.1	4.0131	0.5128	3.8583	1.1145	0.1278	0.0352	6.3160
OB01G28770.1_OB05G14510.1	3.9304	0.2754	2.4888	0.8588	0.0701	0.0188	5.9805
OB01G28770.1_OB06G22930.1	4.0743	0.2975	2.9739	1.3895	0.0730	0.0201	6.5768
OB01G28770.1_OB07G15120.1	3.7584	0.3746	2.6770	1.0474	0.0997	0.0262	5.3397
OB01G28770.1_OB07G25380.1	4.0781	0.4477	3.4717	1.2777	0.1098	0.0280	6.5931
OB01G28800.1_OB01G36210.1	3.9276	0.4358	2.6129	1.5674	0.1110	0.0233	5.9693
OB01G28800.1_OB02G41190.1	4.3423	0.5063	3.8807	1.2122	0.1166	0.0269	7.8533
OB01G28800.1_OB03G22480.1	3.6568	0.3213	1.9248	2.0649	0.0879	0.0193	4.9947
OB01G28800.1_OB03G46070.1	4.0299	0.3675	3.3391	1.5795	0.0912	0.0256	6.3868
OB01G28800.1_OB05G21840.1	2.3660	0.0676	0.6223	4.3797	0.0286	0.0069	2.7226
OB01G28800.1_OB09G21470.1	4.2933	0.5177	3.7182	1.2437	0.1206	0.0272	7.6021
OB01G28800.1_OB11G14460.1	3.9007	0.4016	2.3761	1.4559	0.1029	0.0209	5.8645
OB01G28800.1_OB11G14480.1	3.8580	0.4125	2.5076	1.5340	0.1069	0.0232	5.7018
OB01G28800.1_OB11G14490.1	3.6571	0.3454	2.0532	1.6199	0.0945	0.0210	4.9955
OB01G28880.1_OB01G14480.1	4.4402	0.3240	3.8379	1.4080	0.0730	0.0194	8.3795
OB01G28900.1_OB01G28920.1	0.0301	0.0011	0.0307	7.6350	0.0372	0.0011	0.0088
OB01G28980.1_OB05G18830.1	1.1808	0.4128	1.7999	1.6838	0.3495	0.0311	0.2211
OB01G29190.1_OB01G29200.1	0.0466	0.0067	0.0507	3.4911	0.1433	0.0039	0.0178
OB01G29190.1_OB07G14640.1	1.9120	0.3465	2.0589	1.0299	0.1812	0.0330	0.5167
OB01G29190.1_OB07G16100.1	3.6345	0.3759	3.1800	0.8956	0.1034	0.0347	4.9219
OB01G29200.1_OB07G14640.1	2.0668	0.3438	2.1604	1.0450	0.1663	0.0328	0.6268
OB01G29280.1_OB04G27090.1	2.2303	0.3543	2.3396	1.2989	0.1589	0.0213	0.4809
OB01G29280.1_OB05G35520.1	4.1446	0.2869	2.9951	1.2948	0.0692	0.0188	6.8897
OB01G29330.1_OB01G37300.1	2.3694	0.1948	2.1535	2.1455	0.0822	0.0219	2.6531
OB01G29400.1_OB01G29370.1	1.3918	0.2082	1.1490	1.8749	0.1496	0.0155	0.4281
OB01G29400.1_OB01G29440.1	2.0453	0.2392	1.6504	2.5777	0.1170	0.0173	1.0844
OB01G29440.1_OB01G29370.1	2.1632	0.3194	1.8235	2.0419	0.1476	0.0207	0.5821
OB01G29560.1_OB12G14270.1	0.7437	0.0665	0.7651	2.4188	0.0894	0.0203	0.1904
OB01G29600.1_OB01G29620.1	0.4373	0.1480	0.6709	2.9217	0.3385	0.0107	0.0423
OB01G29690.1_OB01G29700.1	0.5075	0.0574	0.2904	2.0210	0.1132	0.0066	0.0967
OB01G29690.1_OB02G13920.1	3.6324	0.2741	1.7527	2.0072	0.0755	0.0172	4.9151
OB01G29690.1_OB03G10170.1	3.9222	0.3082	2.2476	1.6350	0.0786	0.0179	5.9481
OB01G29690.1_OB07G10490.1	3.7660	0.2021	1.6597	1.9132	0.0537	0.0134	5.3666
OB01G29690.1_OB07G11710.1	3.6747	0.3451	2.0995	2.2009	0.0939	0.0212	5.0539
OB01G29690.1_OB07G24360.1	3.7114	0.1838	1.5207	2.1381	0.0495	0.0126	5.1771
OB01G29690.1_OB08G14810.1	99.0000	0.1817	27.9210	1.7160	0.0018	0.0125	0.0000
OB01G29690.1_OB11G24260.1	3.9479	0.3733	2.4771	1.5973	0.0946	0.0206	6.0502
OB01G29700.1_OB03G10170.1	3.9004	0.3153	2.2208	1.2132	0.0808	0.0181	5.8632
OB01G29700.1_OB07G10490.1	3.6950	0.2190	1.5971	2.1220	0.0593	0.0141	5.1215
OB01G29700.1_OB07G11710.1	3.6266	0.3492	2.0298	2.3007	0.0963	0.0213	4.8964
OB01G29700.1_OB08G14810.1	99.0000	0.1969	26.9082	1.5656	0.0020	0.0132	0.0000
OB01G29700.1_OB11G24260.1	3.8769	0.3743	2.3302	2.2324	0.0966	0.0205	5.7731
OB01G29720.1_OB02G22260.1	0.2553	0.1480	0.5029	4.0306	0.5796	0.0176	0.0560
OB01G29770.1_OB01G29760.1	1.5422	0.5272	2.2090	1.2553	0.3418	0.0445	0.4101
OB01G29770.1_OB01G29780.1	-0.0000	-0.0000	-0.0000	4.6000	99.0000	0.0000	0.0000
OB01G29770.1_OB01G29790.1	-0.0000	-0.0000	-0.0000	4.6000	99.0000	0.0000	0.0000
OB01G29770.1_OB01G29800.1	0.0971	0.0563	0.1942	2.1989	0.5796	0.0107	0.0292
OB01G29780.1_OB01G29760.1	1.5422	0.5272	2.2090	1.2553	0.3418	0.0445	0.4101
OB01G29780.1_OB01G29790.1	-0.0000	-0.0000	-0.0000	4.6000	99.0000	0.0000	0.0000
OB01G29780.1_OB01G29800.1	0.0971	0.0563	0.1942	2.1989	0.5796	0.0107	0.0292
OB01G29790.1_OB01G29760.1	1.5422	0.5272	2.2090	1.2553	0.3418	0.0445	0.4101
OB01G29800.1_OB01G29760.1	0.8137	0.3723	1.3781	1.5374	0.4575	0.0312	0.1371
OB01G29800.1_OB01G29790.1	0.0971	0.0563	0.1942	2.1989	0.5796	0.0107	0.0292
OB01G29830.1_OB01G11720.1	3.8481	0.5642	3.8047	1.3452	0.1466	0.0418	5.6646
OB01G29830.1_OB01G42170.1	3.6909	0.5106	3.7394	1.1567	0.1384	0.0390	4.4275
OB01G29830.1_OB02G37010.1	3.7765	0.5060	3.4228	1.3073	0.1340	0.0376	5.4036
OB01G29830.1_OB07G22980.1	4.8519	0.3633	4.1041	1.6326	0.0749	0.0299	21.1279
OB01G29830.1_OB07G23070.1	3.9471	0.5640	4.1748	1.3090	0.1429	0.0426	6.0466
OB01G29830.1_OB07G23130.1	3.9279	0.5620	4.0940	1.2444	0.1431	0.0424	5.9708
OB01G29830.1_OB07G23330.1	3.9686	0.5592	4.2526	1.8569	0.1409	0.0427	6.1331
OB01G29830.1_OB09G25450.1	3.9531	0.4763	4.0010	1.4689	0.1205	0.0371	6.0707
OB01G29970.1_OB02G15750.1	4.2950	0.4722	3.7310	1.6828	0.1099	0.0258	7.6110
OB01G29970.1_OB02G15760.1	4.2793	0.4653	3.6932	1.6375	0.1087	0.0257	7.5320
OB01G29970.1_OB02G15770.1	4.2421	0.4173	3.4269	1.6784	0.0984	0.0233	7.3487
OB01G29970.1_OB02G15790.1	4.2201	0.4209	3.3649	1.6275	0.0997	0.0234	7.2426
OB01G29970.1_OB02G15910.1	3.7805	0.4003	2.5688	1.7074	0.1059	0.0251	5.4181
OB01G29970.1_OB02G15930.1	3.1439	0.4346	2.5425	1.2577	0.1382	0.0252	2.0492
OB01G29970.1_OB02G24200.1	3.9950	0.3795	2.7212	1.5494	0.0950	0.0219	6.2411
OB01G29970.1_OB06G23880.1	4.4021	0.4711	4.2253	2.0661	0.1070	0.0267	8.1709
OB01G29970.1_OB08G21530.1	4.0499	0.4920	3.4452	1.8233	0.1215	0.0297	6.4717
OB01G29980.1_OB01G29990.1	0.3502	0.0702	0.4359	2.5001	0.2005	0.0070	0.0325
OB01G30120.1_OB10G12410.1	1.2023	0.3753	1.7805	2.4426	0.3122	0.0170	0.1485
OB01G30120.1_OB10G12510.1	1.0745	0.3576	1.6386	2.1180	0.3328	0.0164	0.1151
OB01G30120.1_OB10G12560.1	2.1089	0.4892	2.7494	2.1851	0.2320	0.0208	0.7431
OB01G30140.1_OB06G12100.1	1.6895	0.3563	2.1483	2.2331	0.2109	0.0213	0.2150
OB01G30180.1_OB05G35500.1	1.0871	0.3301	1.5196	2.5455	0.3036	0.0107	0.0899
OB01G30250.1_OB01G30240.1	0.9106	0.1667	1.0950	2.7986	0.1830	0.0185	0.1613
OB01G30270.1_OB01G47810.1	1.7802	0.4513	2.3154	1.4376	0.2535	0.0200	0.3210
OB01G30270.1_OB02G17940.1	1.9167	0.2186	1.8328	1.4539	0.1141	0.0130	0.2689
OB01G30270.1_OB03G21180.1	2.7128	0.4060	2.8372	1.2325	0.1497	0.0190	0.7120
OB01G30270.1_OB06G26700.1	4.4732	0.2174	3.3588	1.5613	0.0486	0.0138	8.5649
OB01G30350.1_OB05G15330.1	3.1491	0.2418	1.5424	2.6403	0.0768	0.0221	3.5855
OB01G30370.1_OB01G37630.1	1.1695	0.2857	1.5914	2.0895	0.2443	0.0244	0.1839
OB01G30370.1_OB05G31640.1	1.3153	0.2512	1.6950	3.2890	0.1910	0.0267	0.2956
OB01G30630.1_OB01G37750.1	0.7649	0.3471	1.3636	2.0738	0.4538	0.0296	0.1064
OB01G30630.1_OB05G31590.1	1.0518	0.2458	1.3317	1.3684	0.2337	0.0227	0.1813
OB01G30630.1_OB09G14770.1	1.0276	0.1914	1.2214	1.7345	0.1862	0.0196	0.1777
OB01G30640.1_OB01G32260.1	0.1478	0.0582	0.2131	3.7944	0.3937	0.0081	0.0338
OB01G30690.1_OB02G11190.1	4.2096	0.3929	3.9591	1.2147	0.0933	0.0267	7.1924
OB01G30690.1_OB03G12450.1	4.0941	0.4191	4.0320	1.3309	0.1024	0.0309	6.6633
OB01G30690.1_OB03G14480.1	1.9645	0.3782	2.3739	1.7352	0.1925	0.0275	0.3859
OB01G30690.1_OB03G15340.1	4.2235	0.4045	4.0328	1.3099	0.0958	0.0272	7.2591
OB01G30690.1_OB03G15900.1	4.1111	0.3409	3.7261	1.3638	0.0829	0.0254	6.7389
OB01G30690.1_OB03G22360.1	4.1122	0.2901	3.6148	1.1740	0.0705	0.0228	6.7437
OB01G30690.1_OB05G35390.1	1.2768	0.2989	1.6509	1.6792	0.2341	0.0229	0.2724
OB01G30690.1_OB06G14270.1	4.1291	0.2170	3.4012	1.1728	0.0526	0.0184	6.8195
OB01G30690.1_OB06G35820.1	4.1693	0.3889	3.8702	1.1753	0.0933	0.0269	7.0032
OB01G30690.1_OB07G27510.1	4.1603	0.4454	3.9827	1.2763	0.1071	0.0299	6.9615
OB01G30690.1_OB07G32370.1	4.1141	0.4110	3.7417	1.3352	0.0999	0.0280	6.7523
OB01G30690.1_OB08G24400.1	4.2215	0.5329	4.2239	1.2762	0.1262	0.0331	7.2491
OB01G30690.1_OB09G18330.1	4.1796	0.4219	3.8212	1.1882	0.1010	0.0274	7.0512
OB01G30690.1_OB09G27190.1	3.9095	0.4741	3.7497	1.2423	0.1213	0.0359	5.8988
OB01G30690.1_OB10G17280.1	1.9784	0.4380	2.4803	1.2696	0.2214	0.0287	0.3751
OB01G30690.1_OB10G18400.1	4.1700	0.4479	4.0005	1.1459	0.1074	0.0299	7.0062
OB01G30690.1_OB11G11090.1	4.0677	0.2814	3.5348	1.2483	0.0692	0.0229	6.5479
OB01G30750.1_OB01G37830.1	3.4424	0.3051	2.1129	1.6505	0.0886	0.0251	4.3399
OB01G30850.1_OB02G38210.1	3.9947	0.2954	2.4019	1.5167	0.0740	0.0177	6.2399
OB01G30850.1_OB06G19550.1	4.3389	0.3502	3.6364	1.3163	0.0807	0.0209	7.8354
OB01G30850.1_OB06G27510.1	3.9509	0.1829	2.0051	1.5002	0.0463	0.0130	6.0621
OB01G30870.1_OB01G30850.1	4.0948	0.1756	2.3619	1.7471	0.0429	0.0129	6.6667
OB01G30870.1_OB02G38210.1	4.6567	0.3364	3.2792	1.5277	0.0722	0.0197	13.2298
OB01G30870.1_OB06G19550.1	1.7627	0.3732	2.1570	1.7513	0.2117	0.0223	0.2520
OB01G30870.1_OB06G27510.1	4.1529	0.2088	2.6059	1.4948	0.0503	0.0144	6.9275
OB01G30880.1_OB01G30900.1	0.3070	0.2283	0.7264	1.6366	0.7434	0.0424	0.1385
OB01G31000.1_OB01G38010.1	2.0361	0.2365	1.6690	3.1171	0.1161	0.0168	0.4471
OB01G31000.1_OB03G14620.1	2.0587	0.3729	1.8321	2.1654	0.1811	0.0224	0.5242
OB01G31010.1_OB03G34780.1	1.0952	0.3120	1.1615	0.8000	0.2849	0.0285	0.2798
OB01G31010.1_OB05G15010.1	1.0376	0.1877	0.8428	0.5411	0.1809	0.0228	0.4813
OB01G31070.1_OB12G24570.1	1.7675	0.5396	2.5423	1.7323	0.3053	0.0245	0.2085
OB01G31090.1_OB05G35360.1	4.0951	0.3101	2.5509	1.7519	0.0757	0.0246	9.3046
OB01G31170.1_OB10G12460.1	0.2616	0.1783	0.6033	1.2174	0.6815	0.0329	0.0744
OB01G31190.1_OB01G33340.1	0.7428	0.0994	0.5565	3.9177	0.1338	0.0093	0.1426
OB01G31190.1_OB01G33350.1	1.6724	0.1803	1.1709	2.4604	0.1078	0.0132	0.8663
OB01G31210.1_OB02G21490.1	1.3782	0.2509	1.5749	1.9137	0.1821	0.0262	0.2438
OB01G31210.1_OB03G34580.1	1.7005	0.3400	2.0556	2.1921	0.2000	0.0323	0.3559
OB01G31210.1_OB05G31460.1	2.3667	0.2372	2.3697	2.1321	0.1002	0.0257	0.8257
OB01G31240.1_OB05G31410.1	1.2824	0.1965	1.1901	1.7235	0.1532	0.0285	0.3746
OB01G31250.1_OB02G18190.1	2.0560	0.1864	1.8246	1.9383	0.0906	0.0165	0.4552
OB01G31250.1_OB06G26230.1	4.3330	0.1666	3.2679	1.6659	0.0385	0.0132	7.8048
OB01G31330.1_OB01G34810.1	2.4087	0.3142	2.5031	1.2298	0.1304	0.0195	0.5691
OB01G31340.1_OB01G22340.1	4.4152	0.4123	4.1448	1.6137	0.0934	0.0241	8.2420
OB01G31340.1_OB01G23250.1	4.4217	0.3924	4.0770	1.3196	0.0888	0.0230	8.2774
OB01G31340.1_OB01G33070.1	2.3242	0.3719	2.5876	1.9812	0.1600	0.0225	0.5155
OB01G31340.1_OB01G34820.1	1.7542	0.3724	2.1823	2.3281	0.2123	0.0230	0.2499
OB01G31340.1_OB12G10710.1	4.3897	0.4071	4.0174	1.4099	0.0927	0.0238	8.1037
OB01G31360.1_OB01G32870.1	2.7342	0.3411	2.6740	2.0820	0.1248	0.0212	0.9361
OB01G31360.1_OB01G32900.1	0.6584	0.1534	0.7819	2.3498	0.2329	0.0126	0.0824
OB01G31360.1_OB01G32910.1	4.1584	0.2789	3.0519	1.7284	0.0671	0.0186	6.9527
OB01G31360.1_OB01G32930.1	2.0612	0.3723	2.1927	1.6865	0.1806	0.0223	0.8096
OB01G31360.1_OB01G38560.1	1.9967	0.3430	2.2074	1.7923	0.1718	0.0214	0.3573
OB01G31370.1_OB05G35320.1	1.0770	0.1257	1.1137	2.2390	0.1167	0.0101	0.1430
OB01G31390.1_OB05G31350.1	3.2452	0.3067	3.1775	1.1368	0.0945	0.0234	10.2067
OB01G31390.1_OB05G35310.1	0.7544	0.1734	0.9903	1.5130	0.2299	0.0162	0.0926
OB01G31400.1_OB05G35300.1	1.5094	0.2682	1.5886	1.1535	0.1777	0.0237	0.3441
OB01G31460.1_OB05G35260.1	1.9415	0.2163	1.4906	1.6916	0.1114	0.0153	0.7560
OB01G31460.1_OB05G35270.1	1.6155	0.1970	1.4799	1.7679	0.1220	0.0147	0.2356
OB01G31460.1_OB07G22120.1	3.8494	0.3310	2.4615	1.4611	0.0860	0.0213	5.6696
OB01G31460.1_OB07G22130.1	3.7878	0.3152	2.4726	1.6988	0.0832	0.0222	5.4441
OB01G31680.1_OB01G52740.1	1.5632	0.2205	1.4424	2.2871	0.1410	0.0150	0.3019
OB01G31680.1_OB09G16390.1	1.0923	0.1132	0.9544	2.2521	0.1036	0.0111	0.1582
OB01G31750.1_OB02G37620.1	3.6101	0.3123	2.1790	1.6096	0.0865	0.0226	4.8439
OB01G31750.1_OB02G37630.1	0.8068	0.2336	0.9477	2.2405	0.2896	0.0158	0.1201
OB01G31760.1_OB01G31820.1	1.3530	0.1836	1.4407	1.6527	0.1357	0.0083	0.1336
OB01G31760.1_OB01G38340.1	1.8240	0.3848	2.2354	1.3916	0.2110	0.0137	0.1631
OB01G31760.1_OB07G22360.1	2.7407	0.3324	2.7714	1.3048	0.1213	0.0127	0.5516
OB01G31760.1_OB08G21270.1	2.6105	0.2225	2.4439	1.5450	0.0852	0.0093	1.2985
OB01G31760.1_OB09G14020.1	2.0681	0.2380	2.1162	1.5741	0.1151	0.0098	0.4989
OB01G31780.1_OB01G31760.1	0.7686	0.0955	0.8073	2.1040	0.1242	0.0057	0.0508
OB01G31780.1_OB01G31820.1	1.3489	0.1707	1.4127	1.7558	0.1265	0.0080	0.1307
OB01G31780.1_OB01G38340.1	1.8621	0.3884	2.2736	1.4471	0.2086	0.0137	0.1708
OB01G31780.1_OB02G17480.1	2.6170	0.2241	2.4714	1.6746	0.0856	0.0094	1.3808
OB01G31780.1_OB02G23310.1	2.2175	0.3802	2.5283	1.5995	0.1715	0.0133	0.2634
OB01G31780.1_OB04G10300.1	0.7402	0.1314	0.8616	2.3909	0.1775	0.0069	0.0468
OB01G31780.1_OB06G25940.1	3.2669	0.3431	3.1599	1.3670	0.1050	0.0123	4.5352
OB01G31780.1_OB07G22360.1	1.9232	0.3477	2.2364	1.5801	0.1808	0.0132	0.1903
OB01G31780.1_OB07G22370.1	1.8037	0.3620	2.1889	1.6372	0.2007	0.0132	0.1589
OB01G31780.1_OB08G21270.1	2.3740	0.2214	2.2545	1.7021	0.0933	0.0093	0.8554
OB01G31780.1_OB09G14020.1	1.6026	0.2384	1.7668	1.6296	0.1487	0.0098	0.1202
OB01G31780.1_OB11G23880.1	2.0877	0.3712	2.3875	1.4396	0.1778	0.0130	0.2248
OB01G31780.1_OB12G16540.1	1.8106	0.4204	2.3268	1.6441	0.2322	0.0154	0.1664
OB01G31780.1_OB12G16570.1	1.9613	0.4229	2.4419	1.5979	0.2156	0.0152	0.1988
OB01G31820.1_OB01G38340.1	1.8406	0.3765	2.2346	1.3407	0.2046	0.0134	0.1660
OB01G31820.1_OB07G22360.1	2.1277	0.3385	2.3411	1.2872	0.1591	0.0129	0.2496
OB01G31820.1_OB08G21270.1	1.7414	0.2333	1.8511	1.6625	0.1340	0.0096	0.1438
OB01G31820.1_OB09G14020.1	1.4303	0.2410	1.6575	1.8236	0.1685	0.0099	0.0962
OB01G31840.1_OB05G12920.1	0.1346	0.0192	0.1563	1.0695	0.1428	0.0073	0.0328
OB01G31980.1_OB06G12540.1	1.2858	0.0838	1.2528	2.6955	0.0652	0.0201	0.5203
OB01G31990.1_OB01G14670.1	2.1010	0.2337	2.2056	1.4452	0.1112	0.0232	1.3314
OB01G32040.1_OB01G33880.1	4.1388	0.5148	4.3846	1.5398	0.1244	0.0347	57.1307
OB01G32110.1_OB05G35140.1	4.1954	0.2857	2.7402	1.4227	0.0681	0.0186	13.6391
OB01G32160.1_OB01G32180.1	3.8328	0.1997	2.5542	1.7154	0.0521	0.0180	5.6079
OB01G32300.1_OB01G34110.1	1.5602	0.1465	1.4877	1.5248	0.0939	0.0112	0.1801
OB01G32300.1_OB05G34100.1	2.3085	0.1295	1.9299	1.2341	0.0561	0.0104	0.4752
OB01G32380.1_OB02G19750.1	1.7309	0.2152	1.7116	1.8556	0.1243	0.0209	0.3416
OB01G32380.1_OB06G33710.1	2.0742	0.4415	2.5543	1.2340	0.2129	0.0313	0.7539
OB01G32400.1_OB01G32390.1	0.4471	0.1162	0.6149	2.0159	0.2599	0.0106	0.0449
OB01G32400.1_OB06G24720.1	1.7411	0.2572	1.8905	1.8536	0.1477	0.0168	0.2369
OB01G32440.1_OB02G19810.1	2.0759	0.2636	1.7590	1.6571	0.1270	0.0181	0.5685
OB01G32440.1_OB03G11910.1	4.0346	0.4486	3.1258	1.4526	0.1112	0.0260	6.4065
OB01G32440.1_OB03G47100.1	4.3086	0.4641	4.1421	1.1669	0.1077	0.0280	7.6799
OB01G32440.1_OB06G10460.1	4.0060	0.4279	2.9623	1.3114	0.1068	0.0247	6.2864
OB01G32440.1_OB07G16430.1	3.9352	0.4990	4.0081	1.4225	0.1268	0.0297	4.6171
OB01G32440.1_OB11G26410.1	4.2978	0.5352	4.3141	1.0626	0.1245	0.0319	7.6249
OB01G32440.1_OB12G22330.1	4.1897	0.4846	4.0613	1.2684	0.1157	0.0311	7.0982
OB01G32460.1_OB01G32480.1	0.4265	0.1148	0.5589	2.8605	0.2691	0.0272	0.1318
OB01G32530.1_OB05G35000.1	1.4790	0.3532	1.8631	1.9680	0.2388	0.0174	0.2946
OB01G32580.1_OB06G24620.1	1.7697	0.4918	2.4489	1.3798	0.2779	0.0250	0.2268
OB01G32610.1_OB01G43350.1	4.2047	0.1954	2.9579	1.7319	0.0465	0.0148	7.1689
OB01G32610.1_OB01G44890.1	1.5787	0.3743	1.9861	1.7041	0.2371	0.0233	0.2961
OB01G32610.1_OB02G35490.1	1.6460	0.2939	1.8044	1.2811	0.1786	0.0196	0.2397
OB01G32610.1_OB03G12240.1	4.6990	0.3545	4.1645	1.5398	0.0754	0.0224	12.6072
OB01G32610.1_OB03G37200.1	4.0790	0.4536	3.3616	1.2881	0.1112	0.0273	6.5973
OB01G32610.1_OB03G43690.1	4.2603	0.2838	3.3902	1.4639	0.0666	0.0189	7.4378
OB01G32610.1_OB03G43730.1	2.0010	0.2792	1.9749	1.2572	0.1395	0.0188	0.6787
OB01G32610.1_OB03G45230.1	1.4572	0.3669	1.8772	1.7130	0.2518	0.0229	0.2354
OB01G32610.1_OB04G29940.1	2.9087	0.2945	2.6681	1.3475	0.1013	0.0196	4.9188
OB01G32610.1_OB07G21950.1	4.2557	0.2287	3.2696	1.0176	0.0537	0.0165	7.4153
OB01G32610.1_OB07G24940.1	1.6870	0.3627	1.9963	1.4140	0.2150	0.0226	0.4589
OB01G32610.1_OB08G28890.1	4.0843	0.3583	3.2499	1.8143	0.0877	0.0236	6.6202
OB01G32610.1_OB09G22900.1	1.9537	0.3726	2.2184	1.5787	0.1907	0.0250	0.3773
OB01G32610.1_OB11G13670.1	1.4063	0.2948	1.5920	1.0439	0.2096	0.0194	0.2339
OB01G32610.1_OB12G12230.1	4.1730	0.2084	2.8735	1.3786	0.0499	0.0153	7.0204
OB01G32610.1_OB12G16160.1	2.3472	0.3812	2.4629	1.5071	0.1624	0.0257	0.6432
OB01G32610.1_OB12G20320.1	4.1684	0.2812	3.0393	1.3644	0.0675	0.0185	6.9990
OB01G32620.1_OB05G34910.1	0.8045	0.2356	1.1274	1.6274	0.2928	0.0224	0.1262
OB01G32640.1_OB01G26150.1	4.1132	0.3230	2.5163	1.4011	0.0785	0.0173	6.7479
OB01G32650.1_OB01G18160.1	2.0754	0.3560	2.3056	1.7819	0.1715	0.0188	0.3336
OB01G32650.1_OB05G34880.1	1.1051	0.3337	1.5962	2.2788	0.3020	0.0166	0.1268
OB01G32690.1_OB01G18130.1	2.9183	0.2688	1.6656	2.5253	0.0921	0.0301	3.0894
OB01G32690.1_OB05G34830.1	2.7981	0.1557	1.1970	3.5405	0.0556	0.0212	2.8605
OB01G32730.1_OB01G25390.1	2.1459	0.3301	1.6983	1.2033	0.1538	0.0289	0.8649
OB01G32730.1_OB01G32740.1	0.5969	0.1315	0.5658	3.2918	0.2202	0.0170	0.1545
OB01G32870.1_OB01G32900.1	1.7828	0.2991	1.8852	1.8621	0.1678	0.0183	0.2680
OB01G32870.1_OB01G32910.1	3.0400	0.2679	2.4994	1.7385	0.0881	0.0183	5.6738
OB01G32880.1_OB01G31360.1	1.7574	0.3259	2.0245	1.9763	0.1854	0.0208	0.2608
OB01G32880.1_OB01G32870.1	1.4860	0.2925	1.8254	2.3627	0.1968	0.0189	0.1712
OB01G32880.1_OB01G32900.1	1.4757	0.2868	1.7408	2.1012	0.1944	0.0183	0.1751
OB01G32880.1_OB01G32910.1	4.3318	0.2970	3.8076	2.3417	0.0686	0.0201	7.7987
OB01G32880.1_OB01G32930.1	1.6689	0.3299	2.0071	2.2592	0.1977	0.0203	0.2200
OB01G32880.1_OB01G38560.1	0.5882	0.1725	0.8515	2.3133	0.2933	0.0135	0.0634
OB01G32890.1_OB01G31360.1	2.3104	0.2897	2.0706	2.1543	0.1254	0.0187	0.5850
OB01G32890.1_OB01G32870.1	2.8358	0.3213	2.5475	2.0671	0.1133	0.0192	1.0673
OB01G32890.1_OB01G32880.1	2.8901	0.2830	2.7764	2.7824	0.0979	0.0183	1.0698
OB01G32890.1_OB01G32900.1	2.5147	0.2848	2.1653	2.2926	0.1132	0.0175	0.7261
OB01G32890.1_OB01G32910.1	2.4616	0.2532	1.8825	2.3882	0.1029	0.0174	0.7934
OB01G32890.1_OB01G32920.1	2.3634	0.3000	2.0187	2.2348	0.1269	0.0179	0.6226
OB01G32890.1_OB01G32930.1	2.4664	0.3382	2.3038	2.0071	0.1371	0.0198	0.6746
OB01G32890.1_OB01G38560.1	3.1706	0.3214	2.9540	2.2370	0.1014	0.0197	1.5842
OB01G32900.1_OB01G32910.1	2.1716	0.2578	1.8275	2.0614	0.1187	0.0176	0.5234
OB01G32920.1_OB01G31360.1	4.2122	0.2905	3.1265	1.6379	0.0690	0.0185	7.2046
OB01G32920.1_OB01G32870.1	2.2942	0.3237	2.2010	1.5788	0.1411	0.0191	1.4784
OB01G32920.1_OB01G32880.1	2.4151	0.3113	2.4869	2.6056	0.1289	0.0194	0.5759
OB01G32920.1_OB01G32900.1	2.2185	0.3072	2.0402	1.9377	0.1385	0.0183	0.4947
OB01G32920.1_OB01G32910.1	0.3800	0.0596	0.3397	2.1205	0.1569	0.0075	0.0551
OB01G32920.1_OB01G32930.1	1.7131	0.3076	1.7668	1.7989	0.1796	0.0184	0.2588
OB01G32920.1_OB01G38560.1	2.0625	0.3600	2.2952	2.2307	0.1745	0.0212	0.3713
OB01G32930.1_OB01G32870.1	2.0783	0.3540	2.2469	1.9253	0.1703	0.0207	0.3832
OB01G32930.1_OB01G32900.1	1.6927	0.3587	1.9388	2.0185	0.2119	0.0207	0.2431
OB01G32930.1_OB01G32910.1	2.7121	0.2991	2.3142	2.1420	0.1103	0.0196	1.0182
OB01G32960.1_OB05G34750.1	2.3269	0.3467	1.9711	1.8157	0.1490	0.0263	0.8591
OB01G32970.1_OB01G33630.1	4.4132	0.2884	3.8234	1.4886	0.0653	0.0186	8.2307
OB01G32970.1_OB01G34840.1	1.5914	0.1839	1.5973	2.3332	0.1156	0.0132	0.1923
OB01G32970.1_OB02G12640.1	4.4188	0.2981	3.8543	2.1886	0.0675	0.0190	8.2617
OB01G32970.1_OB05G12910.1	4.4074	0.2605	3.4747	1.2290	0.0591	0.0163	8.1992
OB01G32970.1_OB05G33530.1	1.4876	0.2057	1.5729	2.0034	0.1383	0.0141	0.1676
OB01G32970.1_OB05G34340.1	4.3597	0.2777	3.5758	1.4791	0.0637	0.0180	7.9445
OB01G32970.1_OB05G34740.1	0.8072	0.1503	0.9790	3.0736	0.1862	0.0115	0.0853
OB01G32970.1_OB06G22370.1	4.4747	0.2529	3.6327	1.5235	0.0565	0.0158	8.5739
OB01G32970.1_OB06G34690.1	4.4465	0.2582	3.8236	1.8803	0.0581	0.0171	8.4147
