gene1	gene2	spacer_genes
OB02G30070.1	OB02G30080.1	0
OB02G30510.1	OB02G30530.1	1
OB02G30870.1	OB02G30880.1	0
OB02G31390.1	OB02G31420.1	2
OB02G31390.1	OB02G31460.1	6
OB02G31420.1	OB02G31460.1	3
OB02G31440.1	OB02G31480.1	3
OB02G31670.1	OB02G31780.1	9
OB02G31670.1	OB02G31790.1	10
OB02G31730.1	OB02G31740.1	0
OB02G31780.1	OB02G31790.1	0
OB02G31970.1	OB02G31980.1	0
OB02G32060.1	OB02G32080.1	1
OB02G32060.1	OB02G32090.1	2
OB02G32060.1	OB02G32100.1	3
OB02G32080.1	OB02G32090.1	0
OB02G32080.1	OB02G32100.1	1
OB02G32090.1	OB02G32100.1	0
OB02G32350.1	OB02G32360.1	1
OB02G32350.1	OB02G32380.1	3
OB02G32350.1	OB02G32390.1	4
OB02G32360.1	OB02G32380.1	1
OB02G32360.1	OB02G32390.1	2
OB02G32380.1	OB02G32390.1	0
OB02G32450.1	OB02G32460.1	0
OB02G32550.1	OB02G32560.1	1
OB02G32640.1	OB02G32650.1	0
OB02G32910.1	OB02G32930.1	1
OB02G33210.1	OB02G33230.1	1
OB02G33240.1	OB02G33350.1	10
OB02G33330.1	OB02G33340.1	0
OB02G33570.1	OB02G33580.1	0
OB02G33910.1	OB02G33920.1	0
OB02G34080.1	OB02G34090.1	0
OB02G34120.1	OB02G34130.1	0
OB02G34300.1	OB02G34330.1	2
OB02G34610.1	OB02G34620.1	0
OB02G34810.1	OB02G34820.1	0
OB02G34810.1	OB02G34840.1	2
OB02G34820.1	OB02G34840.1	1
OB02G34930.1	OB02G34940.1	0
OB02G35870.1	OB02G35880.1	0
OB02G37140.1	OB02G37150.1	0
OB02G37620.1	OB02G37630.1	0
OB02G37620.1	OB02G37650.1	2
OB02G37630.1	OB02G37650.1	1
OB02G38190.1	OB02G38200.1	0
OB02G38560.1	OB02G38580.1	0
OB02G38780.1	OB02G38790.1	0
OB02G39100.1	OB02G39110.1	1
OB02G39550.1	OB02G39560.1	0
OB02G39980.1	OB02G39990.1	0
OB02G40010.1	OB02G40030.1	1
OB02G40010.1	OB02G40070.1	5
OB02G40030.1	OB02G40070.1	3
OB02G40440.1	OB02G40450.1	0
OB02G40440.1	OB02G40460.1	1
OB02G40450.1	OB02G40460.1	0
OB02G40550.1	OB02G40560.1	0
OB02G40550.1	OB02G40570.1	1
OB02G40560.1	OB02G40570.1	0
OB02G40570.1	OB02G40580.1	0
OB02G40860.1	OB02G40870.1	0
OB02G41470.1	OB02G41480.1	0
OB02G41510.1	OB02G41520.1	0
OB02G41890.1	OB02G41900.1	0
OB02G41890.1	OB02G41910.1	1
OB02G41890.1	OB02G41920.1	2
OB02G41900.1	OB02G41910.1	0
OB02G41900.1	OB02G41920.1	1
OB02G41910.1	OB02G41920.1	0
OB02G42000.1	OB02G42020.1	1
OB02G42410.1	OB02G42420.1	0
OB02G43320.1	OB02G43350.1	2
OB02G43540.1	OB02G43580.1	3
OB02G43710.1	OB02G43720.1	0
OB02G44860.1	OB02G44900.1	2
OB03G10290.1	OB03G10300.1	0
OB03G10490.1	OB03G10500.1	0
OB03G11300.1	OB03G11310.1	0
OB03G11630.1	OB03G11640.1	0
OB03G11640.1	OB03G11660.1	1
OB03G12440.1	OB03G12450.1	0
OB03G12680.1	OB03G12690.1	0
OB03G12740.1	OB03G12750.1	0
OB03G12740.1	OB03G12760.1	1
OB03G12740.1	OB03G12770.1	2
OB03G12750.1	OB03G12760.1	0
OB03G12750.1	OB03G12770.1	1
OB03G12760.1	OB03G12770.1	0
OB03G13190.1	OB03G13200.1	0
OB03G13190.1	OB03G13210.1	1
OB03G13190.1	OB03G13220.1	2
OB03G13190.1	OB03G13230.1	3
OB03G13200.1	OB03G13210.1	0
OB03G13200.1	OB03G13220.1	1
OB03G13200.1	OB03G13230.1	2
OB03G13210.1	OB03G13220.1	0
OB03G13210.1	OB03G13230.1	1
OB03G13220.1	OB03G13230.1	0
OB03G13460.1	OB03G13470.1	0
OB03G13510.1	OB03G13520.1	0
OB03G13960.1	OB03G13990.1	2
OB03G14210.1	OB03G14220.1	0
OB03G14230.1	OB03G14250.1	1
OB03G14230.1	OB03G14260.1	2
OB03G14230.1	OB03G14280.1	4
OB03G14250.1	OB03G14260.1	0
OB03G14250.1	OB03G14280.1	2
OB03G14260.1	OB03G14280.1	1
OB03G14270.1	OB03G14290.1	1
OB03G14830.1	OB03G14840.1	0
OB03G14990.1	OB03G15000.1	0
OB03G15220.1	OB03G15270.1	3
OB03G15440.1	OB03G15490.1	4
OB03G15790.1	OB03G15800.1	0
OB03G15850.1	OB03G15860.1	0
OB03G16310.1	OB03G16320.1	0
OB03G16660.1	OB03G16670.1	0
OB03G16980.1	OB03G16990.1	0
OB03G17000.1	OB03G17010.1	0
OB03G17060.1	OB03G17080.1	1
OB03G17070.1	OB03G17080.1	0
OB03G17130.1	OB03G17150.1	1
OB03G17130.1	OB03G17180.1	4
OB03G17130.1	OB03G17190.1	5
OB03G17150.1	OB03G17180.1	2
OB03G17150.1	OB03G17190.1	3
OB03G17180.1	OB03G17190.1	0
OB03G17300.1	OB03G17310.1	0
OB03G17610.1	OB03G17650.1	2
OB03G17610.1	OB03G17660.1	3
OB03G17650.1	OB03G17660.1	0
OB03G18030.1	OB03G18040.1	0
OB03G18160.1	OB03G18170.1	0
OB03G18260.1	OB03G18370.1	8
OB03G18270.1	OB03G18280.1	0
OB03G18270.1	OB03G18290.1	1
OB03G18280.1	OB03G18290.1	0
OB03G19570.1	OB03G19580.1	0
OB03G19750.1	OB03G19760.1	0
OB03G19750.1	OB03G19790.1	3
OB03G19760.1	OB03G19790.1	2
OB03G19780.1	OB03G19800.1	1
OB03G19820.1	OB03G19840.1	1
OB03G19820.1	OB03G19850.1	2
OB03G19840.1	OB03G19850.1	0
OB03G19870.1	OB03G19880.1	0
OB03G19870.1	OB03G19890.1	1
OB03G19880.1	OB03G19890.1	0
OB03G20510.1	OB03G20520.1	0
OB03G20690.1	OB03G20720.1	2
OB03G22110.1	OB03G22120.1	0
OB03G22140.1	OB03G22160.1	1
OB03G22450.1	OB03G22480.1	2
OB03G22450.1	OB03G22520.1	5
OB03G22480.1	OB03G22520.1	2
OB03G22540.1	OB03G22550.1	0
OB03G22810.1	OB03G22820.1	0
OB03G22960.1	OB03G22980.1	1
OB03G23490.1	OB03G23520.1	1
OB03G24570.1	OB03G24590.1	1
OB03G24960.1	OB03G25100.1	9
OB03G25600.1	OB03G25670.1	6
OB03G26630.1	OB03G26720.1	7
OB03G26850.1	OB03G26860.1	0
OB03G26910.1	OB03G26920.1	0
OB03G27100.1	OB03G27110.1	0
OB03G27340.1	OB03G27350.1	0
OB03G27520.1	OB03G27600.1	7
OB03G27690.1	OB03G27700.1	0
OB03G27720.1	OB03G27730.1	0
OB03G27830.1	OB03G27840.1	0
OB03G27830.1	OB03G27850.1	1
OB03G27830.1	OB03G27860.1	2
OB03G27840.1	OB03G27850.1	0
OB03G27840.1	OB03G27860.1	1
OB03G27850.1	OB03G27860.1	0
OB03G28010.1	OB03G28040.1	2
OB03G28010.1	OB03G28080.1	6
OB03G28010.1	OB03G28090.1	7
OB03G28010.1	OB03G28100.1	8
OB03G28060.1	OB03G28070.1	0
OB03G28070.1	OB03G28120.1	4
OB03G28080.1	OB03G28090.1	0
OB03G28080.1	OB03G28100.1	1
OB03G28090.1	OB03G28100.1	0
OB03G28230.1	OB03G28240.1	0
OB03G28520.1	OB03G28530.1	0
OB03G28670.1	OB03G28680.1	0
OB03G28800.1	OB03G28820.1	1
OB03G29120.1	OB03G29130.1	0
OB03G29120.1	OB03G29140.1	1
OB03G29130.1	OB03G29140.1	0
OB03G29290.1	OB03G29300.1	0
OB03G29290.1	OB03G29390.1	9
OB03G29290.1	OB03G29400.1	10
OB03G29300.1	OB03G29390.1	8
OB03G29300.1	OB03G29400.1	9
OB03G29300.1	OB03G29410.1	10
OB03G29360.1	OB03G29370.1	0
OB03G29360.1	OB03G29440.1	7
OB03G29370.1	OB03G29440.1	6
OB03G29390.1	OB03G29400.1	0
OB03G29390.1	OB03G29410.1	1
OB03G29390.1	OB03G29420.1	2
OB03G29400.1	OB03G29410.1	0
OB03G29400.1	OB03G29420.1	1
OB03G29410.1	OB03G29420.1	0
OB03G29500.1	OB03G29510.1	0
OB03G29990.1	OB03G30010.1	1
OB03G30570.1	OB03G30580.1	0
OB03G30780.1	OB03G30800.1	1
OB03G30790.1	OB03G30800.1	0
OB03G31720.1	OB03G31730.1	0
OB03G31720.1	OB03G31740.1	1
OB03G31720.1	OB03G31750.1	2
OB03G31720.1	OB03G31760.1	3
OB03G31730.1	OB03G31740.1	0
OB03G31730.1	OB03G31750.1	1
OB03G31730.1	OB03G31760.1	2
OB03G31740.1	OB03G31750.1	0
OB03G31740.1	OB03G31760.1	1
OB03G31750.1	OB03G31760.1	0
OB03G31780.1	OB03G31790.1	0
OB03G32600.1	OB03G32610.1	0
OB03G32600.1	OB03G32620.1	1
OB03G32600.1	OB03G32640.1	3
OB03G32600.1	OB03G32700.1	9
OB03G32610.1	OB03G32620.1	0
OB03G32610.1	OB03G32640.1	2
OB03G32610.1	OB03G32700.1	8
OB03G32620.1	OB03G32640.1	1
OB03G32620.1	OB03G32700.1	7
OB03G32640.1	OB03G32700.1	5
OB03G32760.1	OB03G32780.1	1
OB03G32760.1	OB03G32790.1	2
OB03G32780.1	OB03G32790.1	0
OB03G32870.1	OB03G32900.1	2
OB03G33000.1	OB03G33010.1	0
OB03G33300.1	OB03G33310.1	0
OB03G34300.1	OB03G34330.1	2
OB03G34300.1	OB03G34360.1	5
OB03G34330.1	OB03G34360.1	2
OB03G34370.1	OB03G34380.1	0
OB03G34370.1	OB03G34390.1	1
OB03G34380.1	OB03G34390.1	0
OB03G34390.1	OB03G34400.1	0
OB03G34510.1	OB03G34520.1	0
OB03G34660.1	OB03G34670.1	0
OB03G35090.1	OB03G35120.1	2
OB03G35100.1	OB03G35130.1	2
OB03G35650.1	OB03G35660.1	0
OB03G35870.1	OB03G35890.1	1
OB03G35880.1	OB03G35890.1	0
OB03G36500.1	OB03G36530.1	2
OB03G36580.1	OB03G36610.1	2
OB03G36820.1	OB03G36830.1	0
OB03G36820.1	OB03G36840.1	1
OB03G36830.1	OB03G36840.1	0
OB03G37460.1	OB03G37500.1	3
OB03G37530.1	OB03G37540.1	0
OB03G37840.1	OB03G37890.1	4
OB03G37840.1	OB03G37900.1	5
OB03G37860.1	OB03G37870.1	0
OB03G37890.1	OB03G37900.1	0
OB03G38050.1	OB03G38080.1	2
OB03G38050.1	OB03G38090.1	3
OB03G38080.1	OB03G38090.1	0
OB03G38150.1	OB03G38160.1	0
OB03G38530.1	OB03G38550.1	1
OB03G38700.1	OB03G38710.1	1
OB03G39920.1	OB03G39930.1	0
OB03G40000.1	OB03G40030.1	2
OB03G40000.1	OB03G40060.1	5
OB03G40030.1	OB03G40060.1	2
OB03G40230.1	OB03G40240.1	0
OB03G40230.1	OB03G40260.1	2
OB03G40240.1	OB03G40250.1	0
OB03G40240.1	OB03G40260.1	1
OB03G40250.1	OB03G40260.1	0
OB03G40490.1	OB03G40500.1	0
OB03G41210.1	OB03G41220.1	0
OB03G41210.1	OB03G41240.1	2
OB03G41220.1	OB03G41240.1	1
OB03G41490.1	OB03G41500.1	0
OB03G41690.1	OB03G41700.1	0
OB03G41690.1	OB03G41720.1	2
OB03G41700.1	OB03G41720.1	1
OB03G41890.1	OB03G41910.1	1
OB03G41900.1	OB03G41940.1	3
OB03G41900.1	OB03G41950.1	4
OB03G41940.1	OB03G41950.1	0
OB03G42070.1	OB03G42150.1	7
OB03G42090.1	OB03G42100.1	0
OB03G43690.1	OB03G43730.1	3
OB03G43910.1	OB03G43940.1	2
OB03G43990.1	OB03G44010.1	1
OB03G44030.1	OB03G44040.1	0
OB03G44160.1	OB03G44170.1	0
OB03G44290.1	OB03G44300.1	0
OB03G44290.1	OB03G44310.1	1
OB03G44300.1	OB03G44310.1	0
OB03G44410.1	OB03G44420.1	0
OB03G44620.1	OB03G44630.1	0
OB03G44730.1	OB03G44760.1	1
OB03G44770.1	OB03G44820.1	4
OB03G44860.1	OB03G44870.1	0
OB03G44940.1	OB03G44970.1	2
OB03G44940.1	OB03G44980.1	3
OB03G44970.1	OB03G44980.1	0
OB03G45580.1	OB03G45590.1	0
OB03G45710.1	OB03G45720.1	0
OB03G45780.1	OB03G45790.1	0
OB03G46010.1	OB03G46020.1	0
OB03G46030.1	OB03G46040.1	0
OB03G46710.1	OB03G46720.1	0
OB03G46750.1	OB03G46770.1	1
OB03G46750.1	OB03G46780.1	2
OB03G46770.1	OB03G46780.1	0
OB03G47260.1	OB03G47270.1	0
OB03G47610.1	OB03G47620.1	0
OB03G47880.1	OB03G47900.1	1
OB03G47920.1	OB03G47940.1	1
OB03G47970.1	OB03G47980.1	0
OB03G48290.1	OB03G48300.1	0
OB03G48290.1	OB03G48360.1	5
OB03G48300.1	OB03G48360.1	4
OB03G48320.1	OB03G48330.1	0
OB03G48330.1	OB03G48350.1	1
OB03G48560.1	OB03G48610.1	1
OB03G48630.1	OB03G48640.1	0
OB04G10670.1	OB04G10690.1	1
OB04G10740.1	OB04G10750.1	0
OB04G10860.1	OB04G10880.1	1
OB04G10860.1	OB04G10970.1	10
OB04G10880.1	OB04G10970.1	8
OB04G10970.1	OB04G11020.1	4
OB04G11110.1	OB04G11120.1	0
OB04G11280.1	OB04G11290.1	0
OB04G11350.1	OB04G11360.1	0
OB04G11360.1	OB04G11470.1	10
OB04G11460.1	OB04G11540.1	7
OB04G11460.1	OB04G11550.1	8
OB04G11460.1	OB04G11560.1	9
OB04G11470.1	OB04G11480.1	0
OB04G11490.1	OB04G11550.1	5
OB04G11540.1	OB04G11550.1	0
OB04G11540.1	OB04G11570.1	2
OB04G11540.1	OB04G11620.1	7
OB04G11540.1	OB04G11630.1	8
OB04G11550.1	OB04G11560.1	0
OB04G11550.1	OB04G11570.1	1
OB04G11550.1	OB04G11620.1	6
OB04G11550.1	OB04G11630.1	7
OB04G11550.1	OB04G11660.1	10
OB04G11570.1	OB04G11630.1	5
OB04G11620.1	OB04G11630.1	0
OB04G11620.1	OB04G11640.1	1
OB04G11620.1	OB04G11660.1	3
OB04G11620.1	OB04G11690.1	6
OB04G11620.1	OB04G11700.1	7
OB04G11620.1	OB04G11730.1	10
OB04G11630.1	OB04G11660.1	2
OB04G11630.1	OB04G11690.1	5
OB04G11630.1	OB04G11700.1	6
OB04G11630.1	OB04G11730.1	9
OB04G11640.1	OB04G11660.1	1
OB04G11640.1	OB04G11680.1	3
OB04G11640.1	OB04G11690.1	4
OB04G11640.1	OB04G11730.1	8
OB04G11660.1	OB04G11690.1	2
OB04G11660.1	OB04G11730.1	6
OB04G11690.1	OB04G11700.1	0
OB04G11690.1	OB04G11730.1	3
OB04G11700.1	OB04G11730.1	2
OB04G11990.1	OB04G12010.1	1
OB04G12230.1	OB04G12290.1	5
OB04G12330.1	OB04G12340.1	0
OB04G12420.1	OB04G12440.1	1
OB04G12490.1	OB04G12530.1	3
OB04G12490.1	OB04G12550.1	5
OB04G12530.1	OB04G12550.1	1
OB04G12600.1	OB04G12660.1	5
OB04G12670.1	OB04G12680.1	0
OB04G12670.1	OB04G12690.1	1
OB04G12670.1	OB04G12710.1	3
OB04G12680.1	OB04G12690.1	0
OB04G12690.1	OB04G12710.1	1
OB04G12800.1	OB04G12830.1	2
OB04G12800.1	OB04G12860.1	5
OB04G12830.1	OB04G12860.1	2
OB04G12920.1	OB04G12960.1	3
OB04G12990.1	OB04G13000.1	0
OB04G13050.1	OB04G13060.1	0
OB04G13140.1	OB04G13170.1	2
OB04G13210.1	OB04G13260.1	4
OB04G13210.1	OB04G13300.1	8
OB04G13260.1	OB04G13300.1	3
OB04G13370.1	OB04G13380.1	0
OB04G13440.1	OB04G13450.1	0
OB04G13460.1	OB04G13490.1	2
OB04G13680.1	OB04G13750.1	7
OB04G13710.1	OB04G13720.1	0
OB04G13790.1	OB04G13820.1	2
OB04G14380.1	OB04G14390.1	0
OB04G14590.1	OB04G14640.1	4
OB04G14590.1	OB04G14680.1	8
OB04G14900.1	OB04G14960.1	4
OB04G15190.1	OB04G15200.1	0
OB04G15390.1	OB04G15400.1	0
OB04G15650.1	OB04G15670.1	1
OB04G15750.1	OB04G15810.1	5
OB04G16090.1	OB04G16120.1	2
OB04G16090.1	OB04G16140.1	4
OB04G16120.1	OB04G16140.1	1
OB04G16150.1	OB04G16190.1	3
OB04G16200.1	OB04G16210.1	0
OB04G16200.1	OB04G16220.1	1
OB04G16210.1	OB04G16220.1	0
OB04G16230.1	OB04G16240.1	0
OB04G16230.1	OB04G16280.1	3
OB04G16230.1	OB04G16290.1	4
OB04G16240.1	OB04G16280.1	2
OB04G16240.1	OB04G16290.1	3
OB04G16280.1	OB04G16290.1	0
OB04G16380.1	OB04G16400.1	1
OB04G16390.1	OB04G16440.1	4
OB04G16620.1	OB04G16640.1	1
OB04G16630.1	OB04G16640.1	0
OB04G16640.1	OB04G16650.1	0
OB04G16730.1	OB04G16750.1	1
OB04G16770.1	OB04G16780.1	0
OB04G16830.1	OB04G16840.1	0
OB04G16830.1	OB04G16850.1	1
OB04G16830.1	OB04G16860.1	2
OB04G16830.1	OB04G16900.1	6
OB04G16830.1	OB04G16940.1	10
OB04G16840.1	OB04G16850.1	0
OB04G16840.1	OB04G16860.1	1
OB04G16840.1	OB04G16900.1	5
OB04G16840.1	OB04G16940.1	9
OB04G16850.1	OB04G16860.1	0
OB04G16850.1	OB04G16900.1	4
OB04G16850.1	OB04G16940.1	8
OB04G16850.1	OB04G16960.1	10
OB04G16860.1	OB04G16900.1	3
OB04G16860.1	OB04G16940.1	7
OB04G16860.1	OB04G16960.1	9
OB04G16860.1	OB04G16970.1	10
OB04G16900.1	OB04G16940.1	3
OB04G16900.1	OB04G16960.1	5
OB04G16900.1	OB04G16970.1	6
OB04G16940.1	OB04G16960.1	1
OB04G16940.1	OB04G16970.1	2
OB04G16960.1	OB04G16970.1	0
OB04G17160.1	OB04G17170.1	0
OB04G17160.1	OB04G17180.1	1
OB04G17170.1	OB04G17180.1	0
OB04G17500.1	OB04G17510.1	0
OB04G17660.1	OB04G17670.1	0
OB04G17820.1	OB04G17830.1	0
OB04G17870.1	OB04G17880.1	0
OB04G18380.1	OB04G18390.1	0
OB04G19020.1	OB04G19040.1	1
OB04G19110.1	OB04G19160.1	4
OB04G19580.1	OB04G19590.1	0
OB04G19580.1	OB04G19600.1	1
OB04G19580.1	OB04G19610.1	2
OB04G19590.1	OB04G19600.1	0
OB04G19590.1	OB04G19610.1	1
OB04G19600.1	OB04G19610.1	0
OB04G19950.1	OB04G19980.1	2
OB04G20290.1	OB04G20300.1	0
OB04G20290.1	OB04G20310.1	1
OB04G20300.1	OB04G20310.1	0
OB04G20310.1	OB04G20320.1	0
OB04G21030.1	OB04G21040.1	0
OB04G21330.1	OB04G21380.1	4
OB04G21330.1	OB04G21390.1	5
OB04G21340.1	OB04G21360.1	1
OB04G21340.1	OB04G21370.1	2
OB04G21360.1	OB04G21370.1	0
OB04G21380.1	OB04G21390.1	0
OB04G21880.1	OB04G21890.1	0
OB04G21880.1	OB04G21900.1	1
OB04G21880.1	OB04G21910.1	2
OB04G21880.1	OB04G21940.1	5
OB04G21890.1	OB04G21900.1	0
OB04G21890.1	OB04G21910.1	1
OB04G21890.1	OB04G21940.1	4
OB04G21900.1	OB04G21910.1	0
OB04G21900.1	OB04G21940.1	3
OB04G21910.1	OB04G21940.1	2
OB04G22010.1	OB04G22020.1	0
OB04G22010.1	OB04G22030.1	1
OB04G22020.1	OB04G22030.1	0
OB04G22840.1	OB04G22850.1	0
OB04G22860.1	OB04G22870.1	0
OB04G23070.1	OB04G23080.1	0
OB04G23210.1	OB04G23230.1	1
OB04G23210.1	OB04G23240.1	2
OB04G23230.1	OB04G23240.1	0
OB04G23290.1	OB04G23300.1	0
OB04G23780.1	OB04G23790.1	0
OB04G24270.1	OB04G24280.1	0
OB04G24270.1	OB04G24290.1	1
OB04G24280.1	OB04G24290.1	0
OB04G24440.1	OB04G24450.1	0
OB04G24440.1	OB04G24460.1	1
OB04G24440.1	OB04G24470.1	2
OB04G24450.1	OB04G24460.1	0
OB04G24450.1	OB04G24470.1	1
OB04G24460.1	OB04G24470.1	0
OB04G24630.1	OB04G24700.1	5
OB04G25550.1	OB04G25560.1	1
OB04G25670.1	OB04G25680.1	0
OB04G25670.1	OB04G25690.1	1
OB04G25680.1	OB04G25690.1	0
OB04G25930.1	OB04G25950.1	1
OB04G26190.1	OB04G26200.1	0
OB04G26250.1	OB04G26270.1	1
OB04G26250.1	OB04G26290.1	3
OB04G26260.1	OB04G26280.1	1
OB04G26270.1	OB04G26290.1	1
OB04G26390.1	OB04G26410.1	1
OB04G26730.1	OB04G26750.1	1
OB04G26760.1	OB04G26770.1	0
OB04G26910.1	OB04G26920.1	0
OB04G27260.1	OB04G27350.1	7
OB04G27320.1	OB04G27330.1	0
OB04G27570.1	OB04G27580.1	0
OB04G27820.1	OB04G27840.1	1
OB04G27820.1	OB04G27850.1	2
OB04G27840.1	OB04G27850.1	0
OB04G27920.1	OB04G27930.1	0
OB04G28000.1	OB04G28010.1	0
OB04G28060.1	OB04G28070.1	0
OB04G28130.1	OB04G28150.1	1
OB04G28290.1	OB04G28300.1	0
OB04G28350.1	OB04G28380.1	2
OB04G28350.1	OB04G28390.1	3
OB04G28380.1	OB04G28390.1	0
OB04G28440.1	OB04G28450.1	0
OB04G29160.1	OB04G29170.1	1
OB04G29160.1	OB04G29180.1	2
OB04G29170.1	OB04G29180.1	0
OB04G29690.1	OB04G29700.1	0
OB04G29770.1	OB04G29780.1	0
OB04G30050.1	OB04G30080.1	2
OB04G30080.1	OB04G30090.1	0
OB04G30140.1	OB04G30150.1	0
OB04G30160.1	OB04G30170.1	0
OB04G30160.1	OB04G30180.1	1
OB04G30170.1	OB04G30180.1	0
OB04G30220.1	OB04G30250.1	2
OB04G30540.1	OB04G30560.1	1
OB04G30710.1	OB04G30720.1	0
OB04G30710.1	OB04G30730.1	1
OB04G30720.1	OB04G30730.1	0
OB04G30830.1	OB04G30840.1	0
OB04G30830.1	OB04G30850.1	1
OB04G30840.1	OB04G30850.1	0
OB04G30980.1	OB04G30990.1	0
OB04G31250.1	OB04G31270.1	1
OB04G31250.1	OB04G31280.1	2
OB04G31250.1	OB04G31290.1	3
OB04G31270.1	OB04G31280.1	0
OB04G31270.1	OB04G31290.1	1
OB04G31280.1	OB04G31290.1	0
OB04G31360.1	OB04G31370.1	0
OB04G31860.1	OB04G31870.1	0
OB04G31860.1	OB04G31880.1	1
OB04G31870.1	OB04G31880.1	0
OB04G32090.1	OB04G32110.1	1
OB04G32260.1	OB04G32270.1	0
OB04G32260.1	OB04G32280.1	1
OB04G32270.1	OB04G32280.1	0
OB04G32550.1	OB04G32560.1	0
OB04G32610.1	OB04G32630.1	1
OB04G32650.1	OB04G32660.1	0
OB04G33190.1	OB04G33200.1	0
OB04G33190.1	OB04G33210.1	1
OB04G33190.1	OB04G33230.1	3
OB04G33200.1	OB04G33210.1	0
OB04G33200.1	OB04G33230.1	2
OB04G33210.1	OB04G33230.1	1
OB04G33280.1	OB04G33290.1	0
OB04G33280.1	OB04G33310.1	2
OB04G33290.1	OB04G33310.1	1
OB04G33310.1	OB04G33340.1	2
OB04G33400.1	OB04G33420.1	0
OB04G33400.1	OB04G33430.1	2
OB04G33420.1	OB04G33430.1	1
OB04G33640.1	OB04G33650.1	0
OB04G33690.1	OB04G33700.1	0
OB04G33850.1	OB04G33860.1	0
OB04G34280.1	OB04G34290.1	0
OB04G34860.1	OB04G34920.1	5
OB04G34860.1	OB04G34930.1	6
OB04G34880.1	OB04G34890.1	0
OB04G34880.1	OB04G34900.1	1
OB04G34890.1	OB04G34900.1	0
OB04G34920.1	OB04G34930.1	0
OB04G34920.1	OB04G34940.1	1
OB04G34930.1	OB04G34940.1	0
OB04G35020.1	OB04G35040.1	1
OB04G35580.1	OB04G35590.1	0
OB04G35640.1	OB04G35720.1	6
OB04G35640.1	OB04G35730.1	7
OB04G35720.1	OB04G35730.1	0
OB04G35780.1	OB04G35790.1	0
OB04G36100.1	OB04G36110.1	0
OB04G36150.1	OB04G36190.1	3
OB04G36720.1	OB04G36740.1	1
OB04G36880.1	OB04G36890.1	0
OB04G37220.1	OB04G37230.1	0
OB04G37510.1	OB04G37520.1	0
OB04G37510.1	OB04G37530.1	1
OB04G37510.1	OB04G37540.1	2
OB04G37510.1	OB04G37550.1	3
OB04G37520.1	OB04G37530.1	0
OB04G37520.1	OB04G37540.1	1
OB04G37520.1	OB04G37550.1	2
OB04G37530.1	OB04G37540.1	0
OB04G37530.1	OB04G37550.1	1
OB04G37540.1	OB04G37550.1	0
OB05G10370.1	OB05G10380.1	0
OB05G10370.1	OB05G10390.1	1
OB05G10380.1	OB05G10390.1	0
OB05G10690.1	OB05G10710.1	1
OB05G11250.1	OB05G11270.1	1
OB05G11310.1	OB05G11350.1	3
OB05G11600.1	OB05G11610.1	0
OB05G11820.1	OB05G11830.1	0
OB05G11820.1	OB05G11930.1	9
OB05G11830.1	OB05G11930.1	8
OB05G12300.1	OB05G12330.1	2
OB05G12300.1	OB05G12340.1	3
OB05G12300.1	OB05G12350.1	4
OB05G12300.1	OB05G12360.1	5
OB05G12300.1	OB05G12370.1	6
OB05G12300.1	OB05G12380.1	7
OB05G12330.1	OB05G12340.1	0
OB05G12330.1	OB05G12350.1	1
OB05G12330.1	OB05G12360.1	2
OB05G12330.1	OB05G12370.1	3
OB05G12330.1	OB05G12380.1	4
OB05G12340.1	OB05G12350.1	0
OB05G12340.1	OB05G12360.1	1
OB05G12340.1	OB05G12370.1	2
OB05G12340.1	OB05G12380.1	3
OB05G12350.1	OB05G12360.1	0
OB05G12350.1	OB05G12370.1	1
OB05G12350.1	OB05G12380.1	2
OB05G12360.1	OB05G12370.1	0
OB05G12360.1	OB05G12380.1	1
OB05G12370.1	OB05G12380.1	0
OB05G12750.1	OB05G12770.1	1
OB05G13260.1	OB05G13270.1	0
OB05G13860.1	OB05G13870.1	0
OB05G14310.1	OB05G14320.1	0
OB05G14310.1	OB05G14330.1	1
OB05G14320.1	OB05G14330.1	0
OB05G14500.1	OB05G14560.1	4
OB05G14680.1	OB05G14690.1	0
OB05G15550.1	OB05G15560.1	0
OB05G15550.1	OB05G15570.1	1
OB05G15550.1	OB05G15580.1	2
OB05G15550.1	OB05G15590.1	3
OB05G15560.1	OB05G15570.1	0
OB05G15560.1	OB05G15580.1	1
OB05G15560.1	OB05G15590.1	2
OB05G15570.1	OB05G15580.1	0
OB05G15570.1	OB05G15590.1	1
OB05G15580.1	OB05G15590.1	0
OB05G15780.1	OB05G15800.1	1
OB05G16000.1	OB05G16010.1	0
OB05G16000.1	OB05G16050.1	4
OB05G16000.1	OB05G16060.1	5
OB05G16000.1	OB05G16090.1	8
OB05G16000.1	OB05G16100.1	9
OB05G16010.1	OB05G16050.1	3
OB05G16010.1	OB05G16060.1	4
OB05G16010.1	OB05G16090.1	7
OB05G16010.1	OB05G16100.1	8
OB05G16010.1	OB05G16120.1	10
OB05G16050.1	OB05G16060.1	0
OB05G16050.1	OB05G16090.1	3
OB05G16050.1	OB05G16100.1	4
OB05G16050.1	OB05G16120.1	6
OB05G16050.1	OB05G16130.1	7
OB05G16060.1	OB05G16090.1	2
OB05G16060.1	OB05G16100.1	3
OB05G16060.1	OB05G16120.1	5
OB05G16060.1	OB05G16130.1	6
OB05G16090.1	OB05G16100.1	0
OB05G16090.1	OB05G16120.1	2
OB05G16090.1	OB05G16130.1	3
